featureid	Propionibacteriaceae	Staphylococcus caprae or capitis	Staphylococcus epidermidis	Staphylococcus hominis	Other Staphylococci	Polyomavirus HPyV6	Polyomavirus HPyV7	Merkel Cell Polyomavirus	Malasseziaceae	Corynebacteriaceae	Micrococcaceae	Other families
X960974	0.7110363455114992	0.4177016145951258	0.6173078461334961	0.6334494735732198	0.5014550671522667	0.5426454202806207	0.2813203369886178	0.6579301081333042	0.48105174201575274	0.5713310638721537	0.28390102844999293	0.11092704350419846
X960981	0.06582422682075834	0.2645153447648162	0.18479301543904	0.11204190098515818	0.2032969328959373	0.17032046944465973	0.3620589768035102	0.23183516903358298	0.23329570693670965	0.24418122457577812	0.3242288997395137	0.2609920172631366
X960991	-0.7711761825202248	0.230463230019332	0.05254156746781177	-0.6674250976547474	-0.05559122722451493	-0.42434957574683463	0.8561636098097979	0.9034305861060419	0.10740729015285554	0.463091296072549	0.07464046778902526	-0.9220548808962981
X960998	0.6186547267397615	0.2513516117393936	0.4388330950166115	0.574859767190537	0.34359201812236906	0.48187550646556987	0.02443157249974361	0.2646651406142471	0.3232412240581244	0.3505385026191438	0.267436688903452	0.23218988054021872
X961012	0.9902041486118578	0.5314552599125625	0.742123183160275	0.8510193463806869	0.6814061924035522	0.7037252847530299	0.3406564682285468	0.7609413092722794	0.605508356094111	0.618089389653452	0.2831388995749999	0.35570224398154004
X961035	-0.7597473801238688	-0.8818820499284342	-0.8312824392165437	-0.7151604767417953	-0.872232255118409	-0.7239415561228052	-1.0213449628421156	-1.0819656677109408	-0.8532944897570127	-0.8653422372679859	-0.6836264975694842	-0.6841306810412313
X961077	0.12647881024672009	0.18529032161044034	0.03217557849387351	0.09583439396491653	0.19930923873193662	0.09818428572922822	0.26625716321923504	0.05596050509534639	0.14145975789885712	-0.01712812704441953	0.08320509877930375	0.5119233991728278
X961092	-0.23021191596310858	0.10726456264770702	0.12470937176838534	-0.08247881683818328	-0.041052439479734915	0.04038693370553037	0.19305071961359946	0.1410782814660217	0.09715437079857113	0.3048760949296639	0.4046181240981713	-0.23869681548709254
X961096	-0.21784194653983086	0.15712945165776449	-0.12636428301388472	-0.07160770928766871	0.035369306861622984	0.06217222455170501	0.2810622927090246	-0.3493133144346731	0.07561129944019739	-0.08089925670678173	0.48465574223568314	0.7769408141738332
X961105	0.4858437706587045	0.3387188258595245	0.3548979769658873	0.4391248523444774	0.3936496708322088	0.3917179167750747	0.28131798021363086	0.31744179245133647	0.35066534416785267	0.2889352614276958	0.26152049819851036	0.4550463897585415
X961124	1.9701973601353688	1.0791727908210647	1.5772669975216036	1.7130146250049085	1.3549447454863905	1.430757940294018	0.6916276128483442	1.6598578708953977	1.244612642449093	1.3818812722115945	0.6234334292991995	0.4652926275067737
X961128	-0.25883839671345527	0.08394274213434895	0.009701054836370265	-0.16748768679379858	-0.03353059354004917	-0.06337430944319478	0.23770529878558191	0.11668945024969063	0.04574230600515804	0.14460775065728632	0.2131517173093876	-0.10987521525711352
X961151	-1.2346802203580718	-0.5034270603281094	-1.0613968085958694	-0.977614603293773	-0.7295167016531665	-0.7270508565406258	-0.2309722329044613	-1.4153372151451957	-0.6670315438506957	-0.9759879818679221	0.04570152582702873	0.6457755158892147
X961177	-0.29817915415507995	-0.5506311761487429	-0.27922238105709773	-0.3437370360716402	-0.498506052024968	-0.41528351738639435	-0.6940887209537013	-0.21195005551374885	-0.4710957101043931	-0.26757335649713637	-0.615400412292893	-1.1026225457127168
X961180	-1.4739566885447206	-0.03184326872102648	-0.5722722253227184	-1.3286473829355074	-0.4080644205020616	-0.9764679053095341	0.8820151663370474	0.3871678637290848	-0.27340336572639856	-0.12614797829944818	-0.21765545762543198	-0.7132768976362314
X961193	0.2363274622117873	0.19989550071934492	0.43421638817378594	0.3084459612142695	0.15422365345459976	0.3248416853984252	0.0876850706377409	0.39349315749491903	0.26497244771143036	0.5370457065232725	0.4089743274520741	-0.34145693435819857
X961214	0.5726337575716687	0.4150997221795035	0.6107744925692289	0.572763227970671	0.4336410786434248	0.5383859927910079	0.2937103580435815	0.5909721950902043	0.474179493027858	0.6320738263044235	0.4620082434523826	0.05791904756595323
X961221	0.4398496856816772	0.3990067653745817	0.33331121193427615	0.3857657892573577	0.43807825443006043	0.35813010479204566	0.4298858540189835	0.38092536488400214	0.3814645421992733	0.2784185247017527	0.25741361255831235	0.5614373870447096
X961226	-1.3788658365014685	-1.0920818536412538	-0.9279869918361288	-1.280978126217075	-1.2255691106726174	-1.1888239881135427	-0.993603815589149	-0.6831559123916775	-1.0705482189402336	-0.6993899668894684	-0.9557718793617166	-1.9819339260911006
X961240	-1.9810769101034054	-2.215196921878611	-2.036013446476029	-1.9892223933611515	-2.1710627439725747	-2.041929078253674	-2.383151176914171	-2.1492058518211437	-2.153513811718053	-2.0614428981643442	-2.1520383654784863	-2.3805362574355415
X961242	0.31116721044527157	0.48329737304685494	0.6225213830248696	0.3872720010369213	0.3916930347983858	0.4484869485177354	0.522289715136426	0.7562129719510724	0.5075248338711748	0.7808726947841691	0.613640824411095	-0.14470455906837731
X961243	-1.1519728846997626	0.4480463153288389	0.06606872196087751	-1.1296606569146475	0.057040310579974385	-0.7935009190618981	1.6065116098574448	1.7698092424303138	0.2117558568393938	0.6690179334449445	-0.2459562706325849	-1.4492309036255007
X961246	0.2909341823457106	0.11987388183240334	0.12863793594141557	0.24607083971975116	0.18139688454819636	0.19462009993588525	0.043156762533369655	0.04614461614734183	0.1326755022484516	0.04701205576353111	0.06250238618128938	0.3163078497331002
X961263	0.7163523825665963	0.5824641901997994	0.5904564051934564	0.7039899533518864	0.6218613414592498	0.6721651709558477	0.4976282905139243	0.45724217437740916	0.5955546728462275	0.5276361728168054	0.6107465818624428	0.7950942981067575
X961282	0.639583899904892	0.47773194695847315	0.577797509255459	0.5727051158641361	0.5341734332155346	0.5137239500962613	0.42895154580835504	0.6645086237923092	0.5074464333084467	0.5468215943360828	0.3279286824983552	0.27672524536955656
X961321	0.8331030081912774	0.44751502561335055	0.6805067180526088	0.7345728951785505	0.559866259373216	0.6169085424829598	0.265376907610135	0.6943935334963707	0.5246102822684424	0.6051463836293726	0.28820162549868117	0.15621668840956215
X961325	-0.7152730429629766	0.5385084340735441	0.13928465574772383	-0.6911639880007002	0.24154176166280505	-0.42400166522638616	1.4420836540483681	1.3564454548002527	0.33171856385919485	0.561002592155586	0.03413890727145878	-0.582418516681066
X961339	-0.9801155123141441	-0.9017909533020848	-0.9214932961543256	-0.9703883402871102	-0.9242068161765595	-0.9507846616696854	-0.854474901523849	-0.8650987264395551	-0.9125115486985695	-0.8922473422185041	-0.9079354513440717	-0.9677346366705943
X961365	-0.08073936536620613	0.014602971368415329	-0.12031219794148787	-0.1076044427956662	0.015240691235542947	-0.09670813796410427	0.11765190538256844	-0.041364276633973074	-0.02816782286369436	-0.14206465160574772	-0.09764897027110338	0.213316075972243
X961417	0.5533793718639832	0.41964393416001544	0.47301877439439033	0.5232412545014001	0.4602789261240239	0.4842338929808919	0.35288780378430407	0.4389595549401933	0.44071935172397936	0.4330274945147003	0.3822350104837748	0.42491484799738743
X961423	0.5772085883775517	0.49362872141549674	0.35965417748214756	0.496783805848137	0.5622553445954466	0.45159039148623437	0.523933278561827	0.3641099163150438	0.4615744527803738	0.24812673493062082	0.30169435981559983	0.9085585714884286
X961434	0.4995384971782087	0.30067924521610057	0.45654770640371445	0.4740442591345594	0.3447187876175688	0.4222921592111314	0.17811061535047315	0.4211116166842724	0.3515994120668289	0.43643935050288446	0.2936608594565712	0.0960251650776851
X961485	-0.8563736252790757	-0.9067419049049111	-0.8048156686656507	-0.6639271727252382	-0.978266571968121	-0.6037831153870342	-1.1560515750204392	-1.363150061593472	-0.8551948062687005	-0.7738701726181835	-0.2779536497846223	-0.6260834495207013
X961553	0.578099358069271	0.6854345371465954	0.6758922962630285	0.6116254229986483	0.6450537220573811	0.645822701364929	0.7277936017474792	0.7080326135717276	0.6771643145605548	0.7252663185139275	0.739130293394742	0.5903573455000759
X961577	0.6623531706402788	0.4845996337621058	0.5780445126820599	0.6690690275403154	0.518302668150453	0.6343911959190182	0.34432545282243165	0.4109710077330833	0.5234556658707152	0.537316363765905	0.5818631181019155	0.542831892160182
X961634	0.5668998185556196	0.5520879348997348	0.3280255097979381	0.4487477593685322	0.6273406768320373	0.4045442017729818	0.6764853843450362	0.45246331265309064	0.4885341732765418	0.20405847217863377	0.21881644196918376	1.0348003966339459
X961684	0.05348020627306532	-0.02548251824925739	0.07745073308229797	0.052579174096163056	-0.016475922990404346	0.03488127958482978	-0.0854398090483287	0.0754919582987193	0.005103624968608486	0.09061122589888974	-0.0060874793303012514	-0.22430154126151858
X961686	-0.6000889202653008	-0.03416820510455386	-0.26752281882136475	-0.3900716924856983	-0.23711022265359993	-0.19462691927336462	0.15865343013403113	-0.3813140106965626	-0.11480995628086223	-0.10004847177633121	0.3905005132466722	0.19528433505205922
X961738	-0.6519009324586791	-0.018252620758933847	-0.08930353986515252	-0.5018265006104604	-0.2361156180568127	-0.3171555033095387	0.28445934485988134	0.23044338692051275	-0.07632142172384772	0.19335783809945134	0.14813395201336993	-0.6583814123763135
X961809	-0.6321336887352687	-0.34834796170827453	-0.4201129267808045	-0.5863911000367971	-0.4331108812310501	-0.5112158059540818	-0.18823581951022725	-0.24974620514491774	-0.3859863327253028	-0.3142893609650657	-0.33602293225778485	-0.5557044765077159
X970002	0.17589377002652967	0.08238912555883733	0.1888198621607803	0.1448598139524113	0.1062453979823379	0.1129511863984346	0.044458588529985535	0.2633153492673575	0.1114250215105521	0.19588664811513695	0.011468990211386296	-0.1820556425281743
X970003	0.06883671769047822	-0.22399301075689848	-0.021718759688618777	-0.015251645274939857	-0.13823938734509755	-0.10841135281888248	-0.3530129886170803	0.04215341187854521	-0.16089614827101784	-0.06622074063763579	-0.37952815453327465	-0.5590677264883066
X970007	0.5582917339941802	0.25950877395107474	0.29642774272835415	0.49119543927649023	0.36023425070018833	0.405311828855058	0.11263077247840693	0.13849213359052898	0.288116816674318	0.1650566084352833	0.1919217044089429	0.5589246823506777
X970008	0.24256474843164938	0.17295487289043143	0.09067556226756965	0.22579402060261708	0.20762170728946439	0.2064725429802875	0.14268797008723558	-0.031070752979211302	0.15905748057398572	0.013784142447398048	0.16983178957991324	0.5553783963411456
X970010	0.1913547329785546	0.10996130935051897	0.15900046659758224	0.15856836977484998	0.13810845489115697	0.12919595134010764	0.08453223699809022	0.19901016654637838	0.12472260889835239	0.14281889542114284	0.0374722537463265	0.015449692218971967
X970011	0.4202961958600811	0.16869293761771742	0.2910202092683367	0.3633514850316556	0.24273629615311743	0.2896667469710893	0.04273546793929851	0.24865845031873396	0.21323389764386924	0.22688615405721352	0.09376188933352252	0.10211583993348072
X970013	0.038038263947519246	-0.07420126756084065	-0.00407810769829367	0.00555058543266948	-0.0404363846921878	-0.030210574508075738	-0.12317079524632955	0.014270080380927197	-0.051710964631379155	-0.0248758978879305	-0.1334511888098336	-0.1778607979497655
X970015	-1.3210742678172935	-0.7457942041669497	-0.7591096293017312	-1.1049359775784688	-0.9798921772228626	-0.9081753579513737	-0.5594105316333214	-0.6640441552764351	-0.7771236887669334	-0.4747196034815438	-0.3461588450950824	-1.2841520395408004
