Eigvals	3
16.199009462003495	10.713894716515354	0.41968816731964137

Proportion explained	3
0.695356824653981	0.30417642542509077	0.0004667499209282564

Species	5	3
X940097	-0.004238189747531702	0.005917779339630849	-0.00829239395434702
X940102	0.009298382406218135	-0.015244251797993618	-0.006416192436880251
X940104	0.0046142802468104385	0.008019976045278291	-0.004075003528417403
X940108	-0.0030988495522557818	0.009744663368274191	0.019819990995892305
X940110	-0.014885681577792857	-0.01119012387689709	0.005233948828582911
X940112	-0.035740109328593304	0.037397223269349106	0.012285340308197085
X940115	0.011839909855388232	0.0275415464203196	0.04527853700701934
X940120	-0.02322255417423094	0.018503855038091935	0.04172715637964843
X940121	0.019696388486102043	-0.024756046889880305	-0.0524819185480048
X940126	0.0020819228352657246	-0.017091800152612496	-0.018380443717644076
X940127	-0.018713162256918985	0.04812742500844605	-0.04351877947275111
X940129	-0.022489282871877826	-0.0017464944882334464	-0.009874556096220228
X940130	-0.01624681459698224	0.029333666367640072	0.01952725396626455
X940133	-0.012276763895462823	0.007308990478674222	-0.009889957160616558
X940136	0.00413725690058207	-0.009776455683421222	-0.011821430139707786
X940143	0.0024123013955552972	0.011760043936891267	0.02024469407384117
X940145	-0.0047625477459004835	-0.0018263910893429518	0.006986372671323463
X940147	0.029233738275292992	0.03403120162342784	0.02065960819028521
X940148	0.0006454709923113702	-0.007070706365085614	0.01221059672058586
X940152	0.015198619149601255	0.021222274242313884	-0.03367833460841618
X940154	-0.024676442118177253	-0.018720787338327882	-0.025465923739389815
X940156	-0.005565123124708491	-0.039260832225710265	0.0056402632273126726
X940158	0.00048156107212948547	-0.0358465806774375	0.028009595915064002
X940163	-0.0011089107099847605	-0.024843292074282843	-0.01786666779265657
X940168	0.0010574974733959948	-0.00446785335477411	0.015944512823072722
X940174	-0.02165344388464751	0.011659658445139151	0.04100197898596728
X940176	0.01988787720407948	-0.0035705418783395387	-0.023559955488381405
X940178	0.004797167782369554	0.004144701334756567	0.00849682598949873
