featureid	Propionibacteriaceae	Staphylococcus caprae or capitis	Staphylococcus epidermidis	Staphylococcus hominis	Other Staphylococci
X940097	0.2639313148427534	0.21988518044098604	0.1616498957840976	0.28279956245956017	0.23991897505288756
X940102	-0.689970155276624	-0.5719283260120671	-0.4519064058271255	-0.7387169235054286	-0.615087200548603
X940104	-0.26908623236697976	-0.35452747185201905	-0.2230753229424488	-0.21560960666152418	-0.29610143672006967
X940108	0.13824845992158635	0.055729101659236724	0.03518869979446359	0.1752341611074658	0.08487897838689613
X940110	0.37198154283688584	0.5123171178342998	0.15666289128042366	0.2740222817003223	0.4024745892807115
X940112	1.1820455159895322	0.9248013627810396	0.3670559903980829	1.2662840368624944	0.9887375945616459
X940115	-0.5515800941294413	-0.8358584180256357	-0.472708201418781	-0.38801665816723474	-0.6785904160644392
X940120	0.656208710777584	0.5423337183977155	0.149419826022129	0.6772422780746191	0.5372609027076707
X940121	-0.4910626284355321	-0.310388219796627	-0.01701942642055155	-0.551291783003581	-0.3436929493090815
X940126	0.15831566358839516	0.3114233813624645	0.27715695298692833	0.08193385595348358	0.24059858978228948
X940127	0.616831930118906	0.21878017517851034	0.06388763993416557	0.8102016754228637	0.42296679428053924
X940129	-0.3863288862889555	-0.31431577532846355	-0.7797732741871336	-0.456407427006578	-0.3940024368790192
X940130	0.48966279645283245	0.2586190533573689	0.06031806405924183	0.5872988439894159	0.343453860547515
X940133	-0.3310521790072493	-0.3680380022201446	-0.5835669193776177	-0.3275272752431019	-0.36717974199231534
X940136	-0.30035422863615374	-0.22002470112943784	-0.17942202835721976	-0.335568486666478	-0.24996956338616944
X940143	0.12905064400700034	0.014249736712862449	0.11530388297091931	0.1914163197887967	0.07201502119750054
X940145	0.09562818644764254	0.12431933688021846	0.017992583734851235	0.07229717363771927	0.09539710411639786
X940147	0.05323995800478648	-0.3338596508569103	0.4165736434799264	0.3013306877229872	-0.07248933800272765
X940148	0.3466398573141592	0.41036782179672726	0.38954382306748514	0.31160474214476086	0.37029340880951306
X940152	0.24304959073477433	0.009644748214592047	0.4210435250713359	0.39610171918793047	0.18596598510873757
X940154	0.14571278919730296	0.38020821447011577	-0.20629226271777157	-0.012610540052618066	0.2145489653723031
X940156	0.04867190710892605	0.4254147676140523	0.1303992929506298	-0.1628358205252839	0.20372056117260556
X940158	0.08300908073716001	0.4129977933310529	0.25446930434469206	-0.09786393447327756	0.21774950792970177
X940163	0.4153801706965122	0.6480403389612694	0.512949350815786	0.29145383672947045	0.5267110909018977
X940168	-0.08031634888461675	-0.0417065200784299	-0.042558324658995235	-0.10180126213243122	-0.06901913542931441
X940174	0.624316074447471	0.5698317950232921	0.17745477844453295	0.6158161048635372	0.5355352410326746
X940176	-0.568788109915541	-0.5847141973968404	-0.19308631714732616	-0.5273615747663668	-0.5240524648474127
X940178	0.2756066015083974	0.22541306561382002	0.3413230572746941	0.3084940667142143	0.2583485747686815
X940179	0.4048139236583011	0.37409277517301276	0.08938964147169737	0.39743206907917117	0.3558779664603499
X940182	0.2602828607376229	0.4230366235541998	-0.16912413167904827	0.13346133128291238	0.27884222717543133
X940184	0.34527365589355546	0.023632522964817104	-0.5454033255879979	0.46069042392646875	0.11804836725838493
X940185	-0.289622548377842	-0.013509573582700662	-0.7022828463814362	-0.4791668581809406	-0.2197492664500476
X940186	-0.005659797357935481	0.18126696498303985	0.2827239008726484	-0.09501655583113676	0.08504287448034593
X940189	-0.8315378796935577	-0.7260910851008211	-0.012623863568331901	-0.8260023176280632	-0.6919298662130529
X940193	-0.20436069783248784	-0.9918679812559275	-0.7984542433030625	0.20644273801051238	-0.570383470707506
X940203	-0.3787746828432687	-0.46320057622767874	0.9717993852214877	-0.23095488340058867	-0.2863425921669958
X940211	0.123750112658984	0.14463900645082162	0.0066306231806315605	0.09664294953244758	0.0978587181117105
X940213	-0.2182407918529809	0.08790421183936714	0.2752413139780395	-0.3602720993581946	-0.05770190028290183
X940214	0.5653751353838354	0.4827665498247897	0.2647767756258049	0.5942056856715309	0.5156084800584577
