shared name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
7493	C40H80N6O2	[M + H3N + H]+	0.875	3.287	5	0.371	5811_CARA_C18_pos_SIRIUS_7493	-2.161	4.021
11991	C11H14Br3NO8	[M - H4O2 + H]+	0.875	7.279	4	0.184	4954_CARA_C18_pos_SIRIUS_11991	-73540.559	6.719
10657	C18H40N2O4	[M + H]+	0.874	8.629	2	1.0	3485_CARA_C18_pos_SIRIUS_10657	4.626	2.912
2770	C23H30O4	[M + H]+	0.874	52.48	12	0.501	3326_CARA_C18_pos_SIRIUS_2770	0.307	6.807
9206	C39H70N2O4	[M + H3N + H]+	0.874	3.714	5	0.501	2718_CARA_C18_pos_SIRIUS_9206	7.579	6.543
31814	C6H13N3O3	[M + H]+	0.874	76.142	13	0.949	4575_CARA_C18_pos_SIRIUS_31814	-3.224	10.307
6745	C40H66O2	[M + H3N + H]+	0.874	112.423	32	0.639	5046_CARA_C18_pos_SIRIUS_6745	4.179	7.184
1127	C41H74N4O	[M + H3N + H]+	0.874	19.318	4	0.558	7743_CARA_C18_pos_SIRIUS_1127	-5.617	6.279
2803	C34H67N3O5	[M - H2O + H]+	0.874	37.268	17	0.849	4387_CARA_C18_pos_SIRIUS_2803	-31033.304	5.322
34386	C26H55NO3	[M + Na]+	0.873	22.732	6	0.679	3583_CARA_C18_pos_SIRIUS_34386	-1.139	4.091
2913	C29H59N5O5	[M - H2O + H]+	0.873	5.356	9	0.205	6358_CARA_C18_pos_SIRIUS_2913	-33333.321	7.06
31519	C28H48	[M + Na]+	0.873	5.89	1	0.0	4370_CARA_C18_pos_SIRIUS_31519	1.173	1.307
12354	C23H53N7O3	[M - H2O + H]+	0.873	14.544	5	0.723	3387_CARA_C18_pos_SIRIUS_12354	-39293.307	1.333
2855	C45H87NO4	[M - H4O2 + H]+	0.873	8.569	4	0.669	1965_CARA_C18_pos_SIRIUS_2855	-53717.174	7.191
20477	C36H75N3O5	[M + H]+	0.872	51.04	20	0.797	8067_CARA_C18_pos_SIRIUS_20477	-0.712	5.631
2941	C43H93NO5S	[M - H4O2 + H]+	0.872	43.946	20	0.831	6674_CARA_C18_pos_SIRIUS_2941	-51419.614	6.37
707	C46H90O5	[M - H2O + H]+	0.872	48.404	21	0.836	1417_CARA_C18_pos_SIRIUS_707	-25532.236	3.681
35030	C15H22F2N2O2S	[M + K]+	0.872	38.047	14	0.977	2507_CARA_C18_pos_SIRIUS_35030	2.793	7.104
24974	C33H67NO6	[M + Na]+	0.872	32.113	11	0.93	7976_CARA_C18_pos_SIRIUS_24974	-6.638	5.245
767	C47H90O3	[M + H3N + H]+	0.872	20.476	13	0.497	3211_CARA_C18_pos_SIRIUS_767	-7.94	4.392
2178	C30H50O6	[M + H]+	0.872	12.054	3	0.318	2131_CARA_C18_pos_SIRIUS_2178	-4.564	4.696
20913	C21H44O2	[M + Na]+	0.872	8.093	2	0.236	1887_CARA_C18_pos_SIRIUS_20913	-1.285	1.314
10698	C30H63N7O3	[M + Na]+	0.872	22.388	12	0.71	2298_CARA_C18_pos_SIRIUS_10698	2.769	4.614
4731	C44H82O5	[M + H3N + H]+	0.871	8.005	4	0.158	5716_CARA_C18_pos_SIRIUS_4731	-4.306	6.119
14907	C25H53N7O5	[M - H2O + H]+	0.871	36.349	13	0.906	1880_CARA_C18_pos_SIRIUS_14907	-35010.699	4.936
1099	C43H77N3	[M + H]+	0.871	3.998	2	0.472	5894_CARA_C18_pos_SIRIUS_1099	4.043	21.942
7925	C36H70O5	[M + K]+	0.871	8.771	2	0.175	2672_CARA_C18_pos_SIRIUS_7925	-8.019	4.117
6298	C36H54N2O3	[M + H3N + H]+	0.871	25.311	9	0.985	3192_CARA_C18_pos_SIRIUS_6298	-5.977	2.975
2691	C26H48O4	[M + Na]+	0.87	40.283	8	0.955	1992_CARA_C18_pos_SIRIUS_2691	2.055	9.992
1210	C45H74O2	[M + H3N + H]+	0.87	28.867	17	0.775	432_CARA_C18_pos_SIRIUS_1210	-5.578	5.156
9315	C18H45B4N5O6	[M + Na]+	0.87	11.475	6	0.78	7927_CARA_C18_pos_SIRIUS_9315	9.273	0.879
1746	C20H42O2	[M + Na]+	0.87	66.884	18	0.861	506_CARA_C18_pos_SIRIUS_1746	4.443	6.763
30408	C34H65O2	[M + K]+	0.87	3.397	2	0.441	3887_CARA_C18_pos_SIRIUS_30408	4.014	4.639
4941	C20H41NO2	[M + H]+	0.87	1.0	1	0.0	5987_CARA_C18_pos_SIRIUS_4941	-6.719	
20613	C31H58O6	[M + H3N + H]+	0.869	24.574	15	0.539	6381_CARA_C18_pos_SIRIUS_20613	9.431	4.138
5634	C24H38O3	[M + Na]+	0.869	5.492	1	0.0	6221_CARA_C18_pos_SIRIUS_5634	-6.584	5.22
25498	C33H60B3N	[M + Na]+	0.869	9.874	5	0.767	4529_CARA_C18_pos_SIRIUS_25498	8.772	8.66
35179	C22H44N2O	[M + H]+	0.869	0.021	1	0.0	1459_CARA_C18_pos_SIRIUS_35179	-8.888	8.858
7577	C32H58O2	[M + Na]+	0.869	5.026	1	0.0	4659_CARA_C18_pos_SIRIUS_7577	-6.236	8.825
21559	C39H81N3O7	[M - H4O2 + H]+	0.869	76.82	36	0.534	5457_CARA_C18_pos_SIRIUS_21559	-53872.502	4.364
21489	C22H46N4O6	[M - H2O + H]+	0.869	12.247	7	0.912	1561_CARA_C18_pos_SIRIUS_21489	-40450.24	5.783
9159	C29H36	[M + Na]+	0.869	6.0	1	0.0	1277_CARA_C18_pos_SIRIUS_9159	-8.648	
360	C41H88NO3P	[M - H4O2 + H]+	0.868	32.946	21	0.522	7506_CARA_C18_pos_SIRIUS_360	-56412.672	5.432
13679	C35H69N5O2	[M + H]+	0.868	26.139	16	0.201	3338_CARA_C18_pos_SIRIUS_13679	5.902	4.405
5523	C28H48O6	[M + H]+	0.868	2.522	1	0.0	4751_CARA_C18_pos_SIRIUS_5523	0.071	21.589
34642	C24H46N2O3	[M + H]+	0.868	35.644	8	0.791	931_CARA_C18_pos_SIRIUS_34642	-4.424	8.97
2184	C35H60O2	[M + Na]+	0.868	5.506	1	0.0	91_CARA_C18_pos_SIRIUS_2184	-3.272	5.099
10899	C36H60F2N2O2	[M - H2O + H]+	0.868	9.103	8	0.823	2619_CARA_C18_pos_SIRIUS_10899	-31397.175	3.478
8627	C10H20N6	[M + H3N + H]+	0.868	6.004	4	0.362	1327_CARA_C18_pos_SIRIUS_8627	5.077	10.799
19024	C39H69N5O3	[M + H]+	0.868	35.41	6	0.622	5224_CARA_C18_pos_SIRIUS_19024	-9.47	4.493
21170	C30H52O3	[M + H3N + H]+	0.868	9.438	3	0.728	2332_CARA_C18_pos_SIRIUS_21170	-9.136	4.775
31887	C41H62O2	[M + H3N + H]+	0.867	17.905	4	0.762	3884_CARA_C18_pos_SIRIUS_31887	3.463	4.21
10202	C32H66N2O5S2	[M - H2O + H]+	0.867	14.716	5	0.874	2594_CARA_C18_pos_SIRIUS_10202	-29749.057	3.808
19956	C22H47NO5	[M - H4O2 + H]+	0.867	1.323	3	0.205	5936_CARA_C18_pos_SIRIUS_19956	-97268.93	2.085
