#OTU ID	EMR_04_1_JG	EMR_04_10_MD	EMR_04_11_AT	EMR_04_13_KB	EMR_04_15_DB	EMR_04_17_BS	EMR_04_19_BK	EMR_04_20_JP	EMR_04_21_DM	EMR_04_22_RS	EMR_04_23_JB	EMR_04_24_DK	EMR_04_3_MX	EMR_04_32_GS	EMR_04_33_CG	EMR_04_34_NG	EMR_04_35_RB	EMR_04_37_CM	EMR_04_38_GC	EMR_04_39_NP	EMR_04_44_DTA	EMR_04_45_VC	EMR_04_46_AB	EMR_04_47_JM	EMR_04_48_LD	EMR_04_50_RJ	EMR_04_52_JC	EMR_04_55_TC	EMR_04_56_AI	EMR_04_57_NF	EMR_04_60_TC	EMR_04_61_BJ	EMR_04_62_JC	EMR_04_67_DN	EMR_04_68_VG	EMR_04_69_DC	EMR_04_7_NMC	EMR_04_70_WC	EMR_04_72_RB	EMR_04_73_AC	EMR_04_75_DM	EMR_04_76_RR	EMR_04_8_MC	EMR_04_9_DC	EMR_04_N-11_PW	EMR_04_N-13_LB	EMR_04_N-16_PP	EMR_04_N-18_JG	EMR_04_N-19_RC	EMR_04_N-21_AG	EMR_04_N-29_BP	EMR_04_N-31_JG	EMR_04_N-4_EV	EMR_04_N-5_CA	EMR_04_N-8_PC
X940022	1414.08615886821	625.8968381741038	266.86223482802984	1449.612536060397	316.45699351250937	341.8454787547042	1107.9908080497692	773.227731457003	874.4506765401861	931.2801021285519	993.5629062750606	546.1198142559308	302.487691553469	579.4284073030182	582.426655310354	463.14774701466797	993.2322221690372	676.8815868113612	926.5690181566736	484.4991268127091	1159.6410862875548	403.6284806750052	773.7732695861723	824.4010057830571	1516.7108173704335	939.4254215956221	978.2592455708386	211.83813728022557	578.4896578087856	653.0979263495155	551.288185721677	225.90861462665353	683.7922732469755	2272.0410153187668	762.4303092299583	689.9503103178268	586.2458781746113	1604.6477665594603	579.3812005542507	1114.2451130257618	238.55806342782972	669.6341920887241	507.8641142568352	951.5305247240041	3270.739460564386	1234.5822116938275	708.2812574479153	626.3334377951294	1335.585659588721	1221.877015409346	890.2450051810999	530.2584868101599	287.0707271576163	832.6225317337887	1009.1416774410313
X940024	1246.485073737102	564.990655502172	680.8533429240628	1164.9712182811193	1223.89392612224	848.5364834682752	818.1778637287251	1215.7840448888694	1103.961956171134	700.726098803375	1025.943911613642	462.3784245775372	611.772543345079	1944.8667653138286	985.5552472079795	2607.8236322098383	1309.6844908656715	807.4549854844729	946.2411928062741	880.1294250428281	1056.3066310539505	173.9483262648259	675.4965983603059	290.37548338711946	1457.1790750994026	913.6450786546686	980.3244720814757	673.516013433496	1105.4968615410069	941.3499314948618	778.3083048949877	426.9301228903174	852.3463648383765	934.738200102575	908.7390306231805	1144.2056169858217	708.1755912572125	938.2069949065159	701.7885812847358	1106.1995331584767	548.2737425739225	970.1380058608145	1445.3969760728546	859.2969837713782	949.1719420773971	1323.8909470215165	383.6685110356001	1253.7472781046529	1399.69935685421	1443.534431820713	1221.3035482151763	1326.6203443583022	1000.6517606267752	644.9561322913826	1056.634147003248
X940025	1322.504818929503	367.31839290465206	744.168569835396	879.3893863040114	1017.2074819299452	2089.1127870395	2584.7659904366988	4022.253535338706	1462.6895054941513	2093.2291280925065	2649.0096632842233	1004.9202593004535	1536.9113359235503	1584.1542153928065	1724.26789837017	1162.8439126459537	3632.0250669942748	1178.9619446614681	1916.4061341207214	864.5160027842072	1914.345073371358	102.76740186618206	1555.6231596359748	2711.594286693229	2932.626103345754	1464.38589894863	3308.79107095457	1255.6045006770369	1373.8198943271038	1618.1624974085064	442.86205121573505	934.547480736849	2926.731729832959	748.1464732085186	676.1797487110019	983.1875047913785	373.5991082674101	1281.8900560070686	1210.985523246699	2204.566940676084	190.66372327144663	2094.8462585946936	1838.5896349918467	1454.0550116004356	1251.5717264407135	1388.753389764056	633.011351779095	1064.508097839454	1664.4153105820062	1517.6771519966642	2129.133023536774	1128.8811565427657	641.2246794067139	1523.246424389056	2365.340575947286
X940026	26.125038808728295	61.75924299476896	944.3895668434449	608.3140664730341	1069.328647807108	37.7779922223752	328.58482019881785	472.95813387077175	912.0984434341656	1561.4431065069177	821.9149198671273	381.2423168990957	1113.3375902069383	4068.9143638869023	1193.1348421183664	3586.720282526188	128.65187218248127	6029.109793922583	161.4989853669566	13.10076073198848	555.1498282704301	203.47757009881707	87.02215542705915	781.3571048531551	814.5333253719781	84.36620382326552	2615.688320487338	131.815956734868	1023.0415138633053	1887.1073210454072	653.5565681719396	2512.319572745542	495.0031347990806	1272.9122594462892	848.1484504892991	408.8813797884196	761.8588120849432	602.0149744583485	580.3011379966114	488.5003098450288	17.946481138772807	605.7597632657711	1590.167627214048	6020.53148127812	238.13346523959967	1240.7451225155348	141.65658212995697	244.85067441903408	255.79544063993197	915.2051070894345	463.0657589213183	1463.6026839614615	608.7656118257872	55.891986551219254	958.8671697250477
X940027	563.6011164918556	310.0739587273475	637.4173189926071	773.7101585655621	672.9717697719012	1002.9511449450147	583.6230261795602	898.842474565829	1270.2031158575096	596.1041774452665	1083.472846886708	518.9565652421747	426.0747049395444	1029.8955852875088	672.86636371803	401.3118103591696	839.613556274174	877.3634025285478	560.6775053793131	541.6389712009841	851.9939259971906	264.6732626701626	287.24629985143764	861.2903813398865	809.8736527508541	519.4812425499719	811.4026098196476	748.9629033284559	504.7724449434869	529.8659028370377	354.4346387295173	656.887468909789	964.1165862764434	646.829068494378	742.9627606472922	482.2133946408779	367.2531124451517	644.7356803204958	946.184809340636	573.8588370608744	431.7209664593013	850.8300771484328	1289.8097378951725	855.9051814742277	475.30438444788274	987.8465935784682	227.97729877112207	735.254978969	614.7540571669989	706.4969065096659	917.8629674166702	831.77344050133	868.7179055360393	382.81806345921785	890.2407675162278
X940028	723.2278866697553	559.20290068616	433.0685815425817	1057.947974583646	656.67057793369	919.9351399716028	1518.18843837746	675.1384860662104	562.9636377733486	938.5433131373542	1189.8333638568429	545.299362271951	550.5430814975975	1012.296004044275	999.7779978797315	860.8557735919475	960.8869046040132	1765.718028300217	659.0007238248427	590.0525610098704	968.144082971505	168.0069924365011	1242.8131349202426	1339.2750183041444	1169.513570184746	835.8041604614463	545.2095404572585	1121.1548188049878	924.4835942703917	850.6798853819314	440.0227493811619	337.73584125696794	1020.3777377896404	597.3098864136582	562.3055587470849	632.0259251042984	504.8698306836416	1411.061188246777	1025.0821044763527	1162.3999493307806	518.2768335976972	460.6439049339396	2096.8839120218504	1332.392625166349	1222.3204268953943	647.2194546700704	634.0665104905386	959.3741395085062	1270.6800650357236	1346.4105610520144	1063.6742374546182	939.7593276192174	951.4031373644428	1404.511420605634	599.6127292959125
X940029	822.7875891987894	822.4430525115172	2182.563974016116	905.9503396213292	1175.0219975770553	1407.5397528547287	679.0706520932418	1315.4823027773614	1819.1987477656733	466.6675443914943	1135.5686651668584	692.9119063030502	1607.7562169538785	796.010098702377	588.6303299436062	579.6396380490529	622.5103559627568	663.7209020961518	838.8885514482567	1243.6073410206986	916.831448586563	701.1192146544356	582.9700579348968	898.696247080451	553.8363762709964	783.3556979879	1172.604039368792	1594.0519855604398	1259.600080575277	694.5599766628142	830.0258711717679	823.3549990989294	932.3710849873148	1254.391354399348	1310.2239777261534	844.4548744388767	870.701270119063	559.26928060166	1283.3730419557603	580.7200026862062	597.8562180193347	1097.5810844504665	937.2068227685558	622.8057374631211	649.5709793901406	711.281132865097	265.30424347560296	1202.0124618974342	535.0271624690765	842.8061449141798	886.1375348863849	778.2303775955093	925.3751634815178	551.6568163489774	1265.881345293582
X940031	1172.8558835855993	802.5794079277099	1006.1559292283289	1871.5107677544495	1534.1840027405312	2420.6755415392663	1610.1192792142817	2037.6070644175556	1283.338285817568	1347.5979202748783	995.7952120598349	894.9900254001005	1584.8970546451703	1857.3050018742242	1133.4740060638624	1435.5002324291854	2202.856552635643	1082.8709087043792	1484.5723203860805	1061.9601295519894	1017.3584940329644	587.4593753166638	1404.871180556474	2686.577514884323	3143.541903343016	830.9907091065014	3404.6071044850355	1599.9988339080876	1548.5025314640848	1616.6696373159364	771.4671157259353	353.64204350686424	2109.6225811555587	943.4959889579931	657.3657166574602	1267.1459752217506	632.758969212149	563.1363492968025	1135.5293376355614	1149.0562656517739	179.7602403489475	2336.490737123051	846.9219452613521	692.3352851961151	942.3501015431681	1450.343287187697	754.4639966789289	1419.205806344537	1230.4332202951189	402.82296577440206	1696.308473641421	1140.4464222654524	730.2417026726265	1053.7857848172646	1442.0306450058422
X940032	488.92143555071	624.3359982000313	660.159519344549	756.3887743072577	1038.0961506489032	713.6943093149786	678.8600076897857	1042.3053064233916	588.5938782512931	488.6653864317756	840.1218577404693	584.7017625347739	993.3165222625131	1031.7823034562168	1150.9368537624312	1293.8705609473204	1160.7107375586868	707.1869904351946	914.3188179462071	434.62295127783875	818.972126598303	422.481589338414	473.87992536158737	817.8757809663431	836.9704128650753	1171.8477535921265	696.5241978268665	633.3967445619614	923.6474604260709	531.4714832275307	497.24923495165757	1022.730588009764	1137.773313228111	668.0570104010025	684.4219940133999	666.3512783937904	725.4959503809567	606.978482954748	753.9328082063146	686.8113590676737	725.8318902638998	838.6718374649341	820.3674439493678	542.7029351942895	616.7550347485131	689.8886536310938	331.53554768274046	848.8019084570201	656.7446977352628	717.361504355929	831.7149224543609	704.543296409062	1127.6735077757937	602.1386773413094	974.3962351179804
X940034	837.6860859852153	337.4573739594175	473.84313471838993	1365.3090033630272	837.1979382626961	141.68637931667513	701.4487691635152	899.7969252258964	1075.922528825551	1563.2738841710084	852.2442296659301	825.4648500236361	232.80246754801541	1859.5543188211839	1003.2914692275068	2094.2102088916236	400.0947263297163	761.6948509307716	590.377820823482	211.07910403202663	1257.1293199906802	204.33181745451856	176.87640368473464	763.9506793985191	1084.6534853611097	361.59237548392656	1419.909785345987	156.40007000206836	394.76456151418154	2066.5712683815027	309.31629107455467	314.26088082829364	1086.2172283899972	1235.3425592261985	935.2565350656001	320.9240869068728	426.3093427113279	2215.639550623722	580.7179855860239	2712.52132037172	208.93283798493874	681.1885000310241	1279.8659584816814	1081.2048611089613	1458.283054976726	1227.475755218984	447.12425325994207	287.43475618503226	1752.670317839512	1846.170768950804	1873.7567812683997	388.06208571003884	270.5632480190489	420.46509160921073	708.2039412271687
