shared_name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
9967	C8H5NO2	[M - H]-	0.999	16.78	3	0.862	3436_CARA_HILIC_neg_SIRIUS_charge0_removed_9967	-7.204	5.667
2446	C19H37NO4	[M - H]-	0.999	10.308	2	1.0	206_CARA_HILIC_neg_SIRIUS_charge0_removed_2446	-1.409	2.651
5996	C13H25N3O4	[M - H]-	0.999	13.093	5	0.687	3851_CARA_HILIC_neg_SIRIUS_charge0_removed_5996	-4.996	3.78
60	C32H33N9O7	[M - H]-	0.999	7.252	11	0.694	656_CARA_HILIC_neg_SIRIUS_charge0_removed_60	4.711	2.297
2949	C24H48N2O6	[M - H]-	0.999	15.759	5	0.802	595_CARA_HILIC_neg_SIRIUS_charge0_removed_2949	8.14	7.54
4171	C18H35N3O4	[M - H]-	0.999	10.85	6	0.898	211_CARA_HILIC_neg_SIRIUS_charge0_removed_4171	3.985	4.868
1011	C35H36N8O7	[M - H]-	0.999	15.271	5	0.759	683_CARA_HILIC_neg_SIRIUS_charge0_removed_1011	3.211	4.911
498	C16H34O6S	[M - H]-	0.999	8.875	7	0.868	2198_CARA_HILIC_neg_SIRIUS_charge0_removed_498	-0.661	1.422
2070	C18H24Cl2N2O4	[M - H]-	0.999	14.873	6	0.931	3606_CARA_HILIC_neg_SIRIUS_charge0_removed_2070	8.386	2.21
3922	C2H6O8S3	[M - H]-	0.999	14.841	7	0.988	1436_CARA_HILIC_neg_SIRIUS_charge0_removed_3922	-3.178	3.383
3818	C16H31N3O4	[M - H]-	0.999	10.026	6	0.834	2032_CARA_HILIC_neg_SIRIUS_charge0_removed_3818	-2.681	4.111
11020	C24H44O21	[M - H]-	0.999	8.221	5	0.904	5405_CARA_HILIC_neg_SIRIUS_charge0_removed_11020	1.601	0.624
3960	C11H10O3	[M - H]-	0.999	13.867	4	0.868	4198_CARA_HILIC_neg_SIRIUS_charge0_removed_3960	6.254	6.295
5490	C27H54O3	[M - H]-	0.999	8.146	2	1.0	1753_CARA_HILIC_neg_SIRIUS_charge0_removed_5490	-0.28	4.563
3507	C13H15N3O3	[M - H]-	0.999	13.713	5	0.436	135_CARA_HILIC_neg_SIRIUS_charge0_removed_3507	-3.325	11.327
1	C2HF3O2	[M - H]-	0.999	13.703	2	0.986	2130_CARA_HILIC_neg_SIRIUS_charge0_removed_1	16.042	1.945
1356	C4H5FN2O3S	[M + Br]-	0.999	13.334	5	0.889	4673_CARA_HILIC_neg_SIRIUS_charge0_removed_1356	3.565	3.479
158	C11H6F18O6	[M - H4O2 - H]-	0.999	12.872	9	0.981	912_CARA_HILIC_neg_SIRIUS_charge0_removed_158	-66835.176	2.525
7961	C6H6O3S	[M - H]-	0.999	12.612	4	0.727	3314_CARA_HILIC_neg_SIRIUS_charge0_removed_7961	-2.475	16.982
445	C2H6O5S2	[M + Cl]-	0.999	12.506	3	0.783	1317_CARA_HILIC_neg_SIRIUS_charge0_removed_445	-3.669	7.216
4190	C18H36N2O4	[M - H]-	0.999	9.574	4	0.442	1002_CARA_HILIC_neg_SIRIUS_charge0_removed_4190	-4.169	3.7
5211	C12H19N3O5	[M - H]-	0.999	12.304	4	0.605	1727_CARA_HILIC_neg_SIRIUS_charge0_removed_5211	-7.371	3.852
163	C6H2Cl2O	[M - H]-	0.999	12.272	2	0.521	961_CARA_HILIC_neg_SIRIUS_charge0_removed_163	-5.622	10.515
3115	C44H78O2	[M + Cl]-	0.999	12.214	2	0.906	2473_CARA_HILIC_neg_SIRIUS_charge0_removed_3115	2.549	1.954
2057	C15H30O2	[M - H]-	0.999	9.11	2	0.331	3247_CARA_HILIC_neg_SIRIUS_charge0_removed_2057	-2.088	5.804
8009	C44H82O13	[M - H]-	0.999	11.377	4	0.69	1755_CARA_HILIC_neg_SIRIUS_charge0_removed_8009	1.876	2.41
24	C14H27FO4	[M - H]-	0.999	11.245	6	0.924	829_CARA_HILIC_neg_SIRIUS_charge0_removed_24	6.273	6.249
718	C16H32O2	[M - H]-	0.999	5.823	1	0.0	2040_CARA_HILIC_neg_SIRIUS_charge0_removed_718	-2.17	2.048
736	C18H36O2	[M - H]-	0.999	5.866	2	0.234	3661_CARA_HILIC_neg_SIRIUS_charge0_removed_736	-2.662	3.833
3738	C14H28O2	[M - H]-	0.999	5.731	1	0.0	2627_CARA_HILIC_neg_SIRIUS_charge0_removed_3738	-4.198	2.997
2533	C16H36N6O	[M - H]-	0.999	10.941	3	0.874	2831_CARA_HILIC_neg_SIRIUS_charge0_removed_2533	-4.227	5.731
4854	C20H40O2	[M - H]-	0.999	5.602	1	0.0	2124_CARA_HILIC_neg_SIRIUS_charge0_removed_4854	-3.386	4.236
5219	C29H57NO4	[M - H]-	0.999	10.329	2	0.975	3531_CARA_HILIC_neg_SIRIUS_charge0_removed_5219	-2.452	2.582
9093	C27H54N2O6	[M - H]-	0.999	4.14	3	0.986	2516_CARA_HILIC_neg_SIRIUS_charge0_removed_9093	-3.014	2.213
5420	C20H36O2	[M - H]-	0.999	8.753	2	0.123	4293_CARA_HILIC_neg_SIRIUS_charge0_removed_5420	-2.779	2.68
10132	C5H12O8S2	[M - H]-	0.999	9.719	6	0.961	2165_CARA_HILIC_neg_SIRIUS_charge0_removed_10132	-5.639	6.025
3764	C24H48O2	[M - H]-	0.999	6.254	2	0.098	567_CARA_HILIC_neg_SIRIUS_charge0_removed_3764	-4.776	2.484
3502	C18H32O2	[M - H]-	0.999	5.783	1	0.0	5339_CARA_HILIC_neg_SIRIUS_charge0_removed_3502	-3.416	2.468
1387	C22H28O3	[M - H]-	0.999	6.163	2	0.079	3989_CARA_HILIC_neg_SIRIUS_charge0_removed_1387	7.169	3.304
2855	C17H34O2	[M - H]-	0.999	5.672	1	0.0	2877_CARA_HILIC_neg_SIRIUS_charge0_removed_2855	-3.728	3.579
2245	C18H32O2	[M - H]-	0.999	5.763	1	0.0	4359_CARA_HILIC_neg_SIRIUS_charge0_removed_2245	-0.909	2.673
9098	C33H61NO4	[M - H]-	0.999	8.76	3	1.0	2990_CARA_HILIC_neg_SIRIUS_charge0_removed_9098	-3.71	6.523
2518	C31H59N3O6	[M - H]-	0.999	2.676	3	0.991	1249_CARA_HILIC_neg_SIRIUS_charge0_removed_2518	-4.768	2.099
5479	C26H52O2	[M - H]-	0.999	5.674	1	0.0	852_CARA_HILIC_neg_SIRIUS_charge0_removed_5479	-2.667	3.561
5006	C33H69NO4	[M - H]-	0.999	0.983	1	0.0	98_CARA_HILIC_neg_SIRIUS_charge0_removed_5006	0.4	0.209
8432	C5H6BrN3O8	[M - H]-	0.999	7.348	2	0.621	3518_CARA_HILIC_neg_SIRIUS_charge0_removed_8432	9.716	2.155
2401	C14H19N3O9	[M - H]-	0.999	6.591	3	0.984	1077_CARA_HILIC_neg_SIRIUS_charge0_removed_2401	-2.829	2.45
4241	C26H53NO3	[M - H]-	0.999	0.901	1	0.0	79_CARA_HILIC_neg_SIRIUS_charge0_removed_4241	-2.974	1.186
713	C4H7FO5S2	[M - H2O - H]-	0.999	5.221	4	0.566	2214_CARA_HILIC_neg_SIRIUS_charge0_removed_713	-90527.636	1.398
443	C2H6O5S2	[M + Cl]-	0.999	4.758	2	0.58	3123_CARA_HILIC_neg_SIRIUS_charge0_removed_443	-5.583	7.007
2558	C17H33NO3	[M - H]-	0.999	4.719	3	0.39	5281_CARA_HILIC_neg_SIRIUS_charge0_removed_2558	1.45	2.21
6619	C29H60N2O4	[M - H]-	0.999	4.178	5	0.989	2063_CARA_HILIC_neg_SIRIUS_charge0_removed_6619	-2.467	2.467
1696	C26H49N3O6	[M - H]-	0.999	3.364	3	0.993	1767_CARA_HILIC_neg_SIRIUS_charge0_removed_1696	-1.123	0.813
9432	C10H19N3O5	[M - H2O - H]-	0.999	2.822	3	0.886	311_CARA_HILIC_neg_SIRIUS_charge0_removed_9432	-74393.154	3.496
1473	C11H2F18O4	[M - H]-	0.999	2.482	4	0.632	977_CARA_HILIC_neg_SIRIUS_charge0_removed_1473	-3.692	4.231
5344	C2H2O3S2	[M - H]-	0.999	1.626	3	0.017	3826_CARA_HILIC_neg_SIRIUS_charge0_removed_5344	-7.007	13.444
7449	C17H31N3O6	[M - H]-	0.999	52.758	14	0.731	5500_CARA_HILIC_neg_SIRIUS_charge0_removed_7449	-2.98	3.963
1634	C25H50N2O5	[M - H]-	0.999	45.663	12	0.981	2540_CARA_HILIC_neg_SIRIUS_charge0_removed_1634	0.008	2.524
2729	C20H24N2O6S3	[M - H]-	0.999	46.859	16	0.896	1720_CARA_HILIC_neg_SIRIUS_charge0_removed_2729	6.473	2.369
5079	C7H11NO6S	[M - H]-	0.999	43.221	11	0.954	4328_CARA_HILIC_neg_SIRIUS_charge0_removed_5079	-3.523	5.388
3677	C13H20N4O7	[M - H]-	0.999	46.147	15	0.544	4570_CARA_HILIC_neg_SIRIUS_charge0_removed_3677	-7.06	4.37
4117	C15H25N3O6	[M - H]-	0.999	42.796	15	0.761	513_CARA_HILIC_neg_SIRIUS_charge0_removed_4117	-2.511	5.169
