Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
1227	0.241	0.054	0.622
1228	0.78	0.74	0.19
1229	0.402	0.367	0.446
1230	0.081	0.398	0.05
1231	0.983	0.916	0.72
1232	0.198	0.447	0.967
1233	0.571	0.494	0.919
1234	0.064	0.524	0.611
1235	0.169	0.128	0.188
1236	0.032	0.133	0.013
1237	0.093	0.994	0.277
1239	0.692	0.713	0.942
1240	0.93	0.938	0.526
1241	0.916	0.933	0.22
1242	0.714	0.966	0.237
1243	0.814	0.955	0.633
1245	0.565	0.963	0.076
1247	0.376	0.108	0.499
1248	0.286	0.626	0.418
1249	0.599	0.954	0.152
1250	0.08	0.104	0.434
1251	0.663	0.849	0.881
1252	0.091	0.169	0.566
1253	0.322	0.586	0.017
1254	0.228	0.166	0.208
1255	0.141	0.029	0.308
1256	0.995	0.724	0.441
1257	0.447	0.912	0.503
1258	0.069	0.076	0.153
1259	0.395	0.341	0.612
1261	0.296	0.27	0.361
1262	0.413	0.686	0.176
1263	0.114	0.118	0.171
1264	0.535	0.497	0.484
1265	0.348	0.243	0.051
1266	0.413	0.622	0.475
1267	0.414	0.314	0.919
1268	0.096	0.419	0.972
1269	0.599	0.844	0.433
1270	0.471	0.222	0.233
1271	0.563	0.32	0.776
1273	0.357	0.17	0.041
1274	0.772	0.536	0.178
1276	0.037	0.017	0.241
1277	0.233	0.064	0.351
1278	0.853	0.757	0.092
1279	0.454	0.65	0.183
1280	0.884	0.516	0.474
1281	0.908	0.716	0.675
1282	0.144	0.119	0.952
1283	0.943	0.915	0.441
1284	0.377	0.748	0.663
1285	0.139	0.436	0.724
1286	0.737	0.44	0.941
1289	0.84	0.683	0.117
1290	0.14	0.727	0.002
1291	0.995	0.386	0.675
1292	0.615	0.895	0.661
1293	0.137	0.061	0.384
1295	0.246	0.049	0.071
1296	0.711	0.929	0.762
1297	0.758	0.975	0.96
1298	0.342	0.23	0.201
1301	0.652	0.726	0.946
1302	0.658	0.411	0.239
1303	0.574	0.395	0.055
1304	0.089	0.037	0.233
1305	0.679	0.388	0.038
1306	0.038	0.115	0.042
1307	0.275	0.319	0.95
1308	0.484	0.125	0.55
1309	0.602	0.474	0.472
1310	0.029	0.226	0.327
1311	0.875	0.769	0.448
1312	0.428	0.273	0.677
1313	0.597	0.864	0.901
1314	0.275	0.346	0.193
1315	0.137	0.01	0.892
1316	0.719	0.758	0.273
1318	0.241	0.976	0.076
1319	0.049	0.293	0.495
1320	0.06	0.171	0.932
1321	0.668	0.796	0.333
1322	0.618	0.914	0.011
1324	0.152	0.742	0.113
1325	0.518	0.983	0.329
1327	0.7	0.817	0.283
1329	0.878	0.747	0.955
1330	0.465	0.292	0.722
1331	0.434	0.969	0.765
1332	0.033	0.023	0.162
1334	0.776	0.442	0.57
1335	0.742	0.508	0.305
1336	0.152	0.083	0.359
1337	0.832	0.742	0.857
1338	0.012	0.035	0.062
1340	0.721	0.619	0.64
1341	0.426	0.095	0.922
1342	0.739	0.826	0.785
1344	0.229	0.111	0.618
1346	0.305	0.45	0.972
1347	0.289	0.157	0.511
1348	0.854	0.873	0.425
1349	0.072	0.168	0.142
1351	0.619	0.538	0.986
1355	0.63	0.603	0.807
1356	0.02	0.089	0.199
1357	0.542	0.671	0.855
1358	0.532	0.989	0.53
1359	0.813	0.997	0.226
1360	0.896	0.424	0.507
1362	0.736	0.174	0.809
1363	0.408	0.407	0.323
1364	0.255	0.134	0.169
1366	0.172	0.41	0.994
1367	0.16	0.194	0.43
1368	0.596	0.464	0.571
1369	0.883	0.434	0.179
1370	0.827	0.6	0.137
1371	0.456	0.292	0.741
1372	0.069	0.101	0.133
1373	0.471	0.845	0.862
1374	0.557	0.64	0.412
1375	0.087	0.098	0.256
1376	0.514	0.836	0.887
1377	0.141	0.581	0.578
1379	0.141	0.562	0.733
1380	0.258	0.012	0.449
1382	0.579	0.589	0.466
1383	0.389	0.253	0.755
1384	0.632	0.515	0.959
1385	0.346	0.824	0.731
1387	0.976	0.648	0.572
1388	0.498	0.073	0.312
1389	0.043	0.376	0.001
1391	0.385	0.37	0.713
1392	0.145	0.066	0.337
1394	0.135	0.159	0.641
1395	0.451	0.03	0.201
1396	0.946	0.923	0.826
1397	0.204	0.155	0.224
1398	0.27	0.429	0.292
1399	0.876	0.585	0.59
1400	0.751	0.718	0.814
1402	0.606	0.768	0.787
1403	0.118	0.061	0.331
1404	0.123	0.556	0.194
1405	0.57	0.094	0.055
1406	0.416	0.449	0.718
1407	0.609	0.543	0.208
1408	0.51	0.574	0.513
1409	0.328	0.91	0.004
1410	0.776	0.548	0.434
1411	0.804	0.847	0.08
1412	0.047	0.184	0.078
1413	0.535	0.755	0.02
1414	0.708	0.523	0.149
1415	0.307	0.334	0.951
1416	0.243	0.087	0.964
1417	0.692	0.21	0.85
1418	0.969	0.634	0.986
1419	0.835	0.361	0.546
1420	0.271	0.102	0.16
1421	0.915	0.67	0.295
1422	0.074	0.031	0.094
1423	0.099	0.132	0.251
1424	0.705	0.724	0.704
1426	0.792	0.783	0.505
1427	0.424	0.27	0.683
1428	0.217	0.155	0.824
1429	0.218	0.149	0.568
1430	0.299	0.31	0.057
1431	0.021	0.006	0.005
1432	0.354	0.26	0.29
1433	0.008	0.004	0.054
1434	0.194	0.113	0.315
1435	0.406	0.755	0.694
1436	0.011	0.014	0.077
1438	0.913	0.789	0.42
1439	0.734	0.845	0.949
1440	0.385	0.502	0.992
1442	0.715	0.646	0.751
1443	0.476	0.359	0.789
1444	0.561	0.335	0.97
1446	0.065	0.386	0.44
1448	0.489	0.51	0.817
1449	0.175	0.115	0.685
1450	0.221	0.048	0.945
1453	0.928	0.877	0.349
1456	0.443	0.938	0.402
1457	0.799	0.693	0.675
1458	0.306	0.798	0.736
1459	0.153	0.174	0.136
1460	0.066	0.198	0.081
1461	0.817	0.705	0.526
1462	0.899	0.703	0.784
1464	0.275	0.161	0.52
1465	0.143	0.168	0.57
1466	0.9	0.915	0.865
1468	0.237	0.575	0.219
1469	0.13	0.132	0.852
1470	0.758	0.614	0.786
1471	0.385	0.267	0.551
1473	0.833	0.956	0.823
1476	0.588	0.54	0.971
1477	0.553	0.705	0.38
1480	0.644	0.562	0.698
1481	0.506	0.132	0.163
1482	0.044	0.026	0.174
1483	0.476	0.19	0.21
1484	0.615	0.358	0.359
1485	0.229	0.469	0.962
1486	0.125	0.059	0.202
1487	0.202	0.857	0.001
1488	0.263	0.982	0.33
1489	0.679	0.881	0.162
1491	0.516	0.13	0.233
1492	0.139	0.12	0.382
1494	0.025	0.01	0.669
1496	0.11	0.848	0.234
1497	0.705	0.412	0.813
1498	0.977	0.246	0.048
1499	0.901	0.97	0.021
1500	0.575	0.887	0.256
1501	0.78	0.597	0.634
1502	0.236	0.183	0.254
1503	0.643	0.44	0.533
1504	0.421	0.576	0.41
1506	0.246	0.233	0.589
1507	0.114	0.061	0.181
1509	0.883	0.397	0.143
1510	0.089	0.201	0.471
1511	0.866	0.751	0.741
1512	0.246	0.086	0.058
1513	0.375	0.546	0.396
1514	0.025	0.002	0.778
1515	0.159	0.057	0.853
1516	0.364	0.065	0.598
1517	0.51	0.685	0.043
1518	0.101	0.022	0.808
1519	0.732	0.391	0.933
1520	0.889	0.561	0.889
1521	0.502	0.753	0.163
1523	0.728	0.124	0.46
1524	0.509	0.294	0.169
1525	0.175	0.024	0.347
1526	0.032	0.02	0.423
1527	0.621	0.364	0.797
1528	0.951	0.768	0.036
1529	0.279	0.197	0.444
1530	0.937	0.997	0.136
1531	0.468	0.797	0.149
1532	0.873	0.609	0.777
1533	0.66	0.79	0.461
1534	0.42	0.33	0.777
1538	0.384	0.502	0.346
1539	0.697	0.522	0.055
1540	0.121	0.315	0.234
1541	0.929	0.936	0.415
1542	0.283	0.303	0.078
1543	0.645	0.323	0.435
1544	0.934	0.267	0.619
1546	0.022	0.113	0.477
1547	0.179	0.442	0.595
1548	0.358	0.39	0.62
1549	0.381	0.2	0.495
1550	0.155	0.651	0.515
1551	0.187	0.141	0.594
1553	0.211	0.074	0.48
1554	0.516	0.532	0.762
1555	0.566	0.788	0.568
1556	0.064	0.127	0.567
1557	0.377	0.742	0.07
1559	0.734	0.636	0.767
1560	0.657	0.586	0.461
1562	0.729	0.64	0.003
1563	0.459	0.998	0.602
1565	0.088	0.088	0.798
1567	0.608	0.522	0.423
1568	0.492	0.479	0.396
1569	0.268	0.264	0.457
1570	0.239	0.125	0.058
