rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	ionMass	retentionTimeInSeconds	id
5245	C9H4Cl4F2N2O	[M + Br]-	C9H4Cl4F2N2O	0.15829145728643215	-0.3324084736562005	-0.3324084736562005	0.0	2	0.08197784444305445	-0.3483196203658213	0.8751560053783692	0.8100601045308599	412.8238	142.837	2678_CARA_HILIC_neg_SIRIUS_charge0_removed_419
5246	C14H15F2N3O3S2	[M + Cl]-	C14H15F2N3O3S2	0.15728643216080404	13.90842615516331	13.90842615516331	0.0	7	0.9181315278877104	-3.927275572058294	3.927275572058294	5.631280341016727	410.024	150.67	2371_CARA_HILIC_neg_SIRIUS_charge0_removed_9163
5247	C29H32O9S	[M - H]-	C29H32O9S	0.157286432160804	8.697493428981433	8.697493428981433	0.0	4	0.9852458211944461	-1.3789953419089143	5.077089502465898	-6.173202086157295	555.166	76.219	594_CARA_HILIC_neg_SIRIUS_charge0_removed_189
5248	C24H46ClNO6	[M - H]-	C24H46ClNO6	0.15577889447236182	3.119288713772278	3.119288713772278	0.0	3	0.5749425393044366	-6.099564731098945	6.099564731098945	-6.041131238505927	478.2912	98.276	3106_CARA_HILIC_neg_SIRIUS_charge0_removed_6645
5249	C34H36O7	[M - H]-	C34H36O7	0.15527638190954773	11.352708713213838	11.352708713213838	0.0	2	0.21058260711603854	4.471935733247288	4.471935733247288	7.515556415143895	555.243	78.013	3268_CARA_HILIC_neg_SIRIUS_charge0_removed_9401
5250	C44H86O13	[M + Br]-	C44H86O13	0.1542713567839196	5.810351202452262	5.810351202452262	0.0	1	0.0	2.106819418490718	2.106819418490718	2.963309964119789	901.5284	75.446	4773_CARA_HILIC_neg_SIRIUS_charge0_removed_4476
5251	C32H43F3N6O3	[M - H]-	C32H43F3N6O3	0.15175879396984926	18.008378655653758	18.008378655653758	0.0	8	0.9771296556982844	5.522903400323644	6.758418751630659	2.929416488996587	615.3294	72.817	2362_CARA_HILIC_neg_SIRIUS_charge0_removed_6465
5252	C41H50O8	[M + Br]-	C41H50O8	0.15125628140703518	5.933799173088111	5.933799173088111	0.0	1	0.0	0.8037012992937023	0.8037012992937023	-0.20585376902608893	749.2693	85.633	3753_CARA_HILIC_neg_SIRIUS_charge0_removed_2742
5253	C75H82	[M - H]-	C75H82	0.15125628140703518	5.842296553190783	5.842296553190783	0.0	1	0.0	-1.8388581709929557	1.8388581709929557	-2.52250554358184	981.6319	72.353	5371_CARA_HILIC_neg_SIRIUS_charge0_removed_8046
5254	C12H9Cl7N2O3	[M + Cl]-	C12H9Cl7N2O3	0.15075376884422115	13.21015715122803	13.21015715122803	0.0	3	0.9688346349739646	1.3804242570492051	2.2043494135138597	-2.529754461917765	508.8114	175.708	1513_CARA_HILIC_neg_SIRIUS_charge0_removed_2230
5255	C28H19N3O3	[M - H]-	C28H19N3O3	0.1507537688442211	7.209023025952065	7.209023025952065	0.0	3	0.9680296931304737	-3.1649219924832557	3.1649219924832557	-1.4973293225593418	444.1347	147.888	3339_CARA_HILIC_neg_SIRIUS_charge0_removed_11015
5256	C12H13N3O8S	[M + Br]-	C12H13N3O8S	0.15025125628140706	9.541352509618543	9.541352509618543	0.0	4	0.8529248223867131	1.8250837595919953	1.8250837595919953	6.8017981619443635	437.9642	85.704	968_CARA_HILIC_neg_SIRIUS_charge0_removed_690
5257	C43H70O12	[M + Br]-	C43H70O12	0.14974874371859295	5.913543609071893	5.913543609071893	0.0	1	0.0	-1.039921917092964	1.039921917092964	-0.8319988717916541	857.4049	82.44	2142_CARA_HILIC_neg_SIRIUS_charge0_removed_2987
5258	C13H9Cl4N3O4	[M - H2O - H]-	C13H7Cl4N3O3	0.1492462311557789	3.567484086512841	3.567484086512841	0.0	3	0.9858336922875661	-0.10850668483280324	0.5657251233309927	-45956.598477556254	391.9163	77.208	3364_CARA_HILIC_neg_SIRIUS_charge0_removed_7028
5259	C26H46F3N3O	[M + Cl]-	C26H46F3N3O	0.14824120603015076	7.124893160937639	7.124893160937639	0.0	2	0.9661869233099157	0.27399378337389635	1.8518542001064975	2.1658932656915924	508.3298	74.624	3812_CARA_HILIC_neg_SIRIUS_charge0_removed_9457
5260	C44H48O5	[M + Br]-	C44H48O5	0.14773869346733667	5.969261915624584	5.969261915624584	0.0	1	0.0	-0.3794751711468591	0.3794751711468591	1.278012281955993	735.27	157.171	232_CARA_HILIC_neg_SIRIUS_charge0_removed_10862
5261	C37H77N13O6	[M - H]-	C37H77N13O6	0.14723618090452265	0.9457080373030259	0.9457080373030259	0.0	1	0.0	0.5050426221011602	0.5050426221011602	-2.630509729505897	798.6026	86.437	4967_CARA_HILIC_neg_SIRIUS_charge0_removed_6881
5262	C41H79N7O7	[M + Cl]-	C41H79N7O7	0.14723618090452262	15.660581468771365	15.660581468771365	0.0	4	0.8791002379210956	-0.9594898878861176	3.4328903320882787	4.77710023647421	816.5774	100.146	3161_CARA_HILIC_neg_SIRIUS_charge0_removed_3118
5263	C21H30N4O4	[M + Cl]-	C21H30N4O4	0.14723618090452262	10.743622675196011	10.743622675196011	0.0	2	0.9231720042520126	0.34077494128983393	0.34077494128983393	-2.988827656439936	437.1948	61.724	1780_CARA_HILIC_neg_SIRIUS_charge0_removed_8116
5264	C48H94O13	[M + Br]-	C48H94O13	0.14723618090452262	5.909391332237169	5.909391332237169	0.0	1	0.0	-1.0878241216557583	1.0878241216557583	-1.0743123988224668	957.5873	76.296	4280_CARA_HILIC_neg_SIRIUS_charge0_removed_4344
