FAMILY_ID	row_id	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X950995	995										Up, < 0.1				
X950996	996			Up, < 0.1											
X950999	999	Up, < 0.01		Up, < 0.1											
X951019	1019		Up, < 0.01		Up, < 0.01			Dn, < 0.01		Up, < 0.1		Up, < 0.1		Up, < 0.1	
X951027	1027			Up, < 0.1							Dn, < 0.1		Dn, < 0.1		
X951030	1030	Up, < 0.01		Up, < 0.1			Up, < 0.1							Up, < 0.1	
X951041	1041					Up, < 0.1									
X951051	1051				Dn, < 0.1	Dn, < 0.01	Dn, < 0.1								Dn, < 0.1
X951054	1054	Up, < 0.01		Up, < 0.1											
X951055	1055					Up, < 0.001									
X951067	1067	Up, < 0.1				Up, < 0.1	Up, < 0.1		Up, < 0.1				Dn, < 0.1	Up, < 0.1	
X951071	1071								Dn, < 0.1				Up, < 0.1		
X951083	1083	Up, < 0.1		Up, < 0.1									Dn, < 0.1		
X951115	1115								Dn, < 0.1						
X951141	1141	Up, < 0.01		Up, < 0.01											
X951144	1144										Dn, < 0.1		Dn, < 0.1		
X951150	1150		Dn, < 0.1		Dn, < 0.1										
X951156	1156	Dn, < 0.01	Up, < 0.1	Dn, < 0.01		Up, < 0.1								Dn, < 0.1	
X951162	1162	Up, < 0.1													
X951171	1171					Up, < 0.1									
X951242	1242	Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Up, < 0.1									Dn, < 0.1	Up, < 0.1
X951273	1273					Up, < 0.1			Up, < 0.01	Up, < 0.1	Dn, < 0.1		Dn, < 0.01		
X951284	1284					Up, < 0.1									
X951317	1317		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X951318	1318					Up, < 0.1									
X951322	1322		Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.01									Up, < 0.1
X951337	1337								Dn, < 0.1				Up, < 0.1		
X951365	1365					Dn, < 0.1									
