FAMILY_ID	row_id	p_value|base|sebum	p_value|base|skicon	p_value|groups|oily-norm	p_value|groups|skicon	p_value|oily|exfol	p_value|oily|F-B	p_value|oily|F-B|A	p_value|oily|F-B|B	p_value|oily|F-B|B-A	p_value|oily|F-B|C	p_value|oily|F-B|C-A	p_value|oily|F-B|C-B	p_value|oily|sebum	p_value|oily|skicon
X950677	677	0.534	0.062	0.765	0.054	0.755	0.326	0.811	0.231	0.34	0.558	0.805	0.224	0.442	0.085
X950680	680	0.844	0.802	0.541	0.726	0.234	0.573	0.644	0.057	0.37	0.775	0.901	0.304	0.143	0.357
X950687	687	0.024	0.438	0.011	0.407	0.94	0.474	0.996	0.301	0.501	0.465	0.602	0.914	0.006	0.568
X950693	693	0.676	0.537	0.592	0.535	0.456	0.863	0.617	0.136	0.18	0.436	0.842	0.122	0.88	0.672
X950695	695	0.397	0.013	0.392	0.014	0.573	0.432	0.831	0.377	0.464	0.567	0.579	0.895	0.447	0.006
X950696	696	0.382	0.585	0.754	0.525	0.002	0.13	0.641	0.907	0.778	0.321	0.707	0.492	0.099	0.889
X950705	705	0.195	0.856	0.98	0.713	0.098	0.313	0.681	0.343	0.356	0.527	0.461	0.898	0.777	0.442
X950714	714	0.136	0.752	0.104	0.766	0.335	0.688	0.964	0.212	0.427	0.082	0.225	0.608	0.002	0.321
X950726	726	0.082	0.961	0.129	0.898	0.27	0.698	0.187	0.512	0.154	0.747	0.245	0.861	0.832	0.418
X950728	728	0.513	0.595	0.786	0.502	0.144	0.628	0.928	0.814	0.825	0.313	0.514	0.355	0.853	0.263
X950732	732	0.786	0.696	0.855	0.709	0.004	0.56	0.8	0.14	0.444	0.92	0.914	0.378	0.423	0.932
X950736	736	0.792	0.589	0.591	0.521	0.381	0.59	0.52	0.651	0.839	0.806	0.778	0.918	0.872	0.983
X950746	746	0.823	0.935	0.221	0.849	0.921	0.484	0.999	0.35	0.547	0.92	0.944	0.598	0.627	0.128
X950747	747	0.908	0.838	0.978	0.827	0.649	0.902	0.782	0.984	0.843	0.595	0.857	0.694	0.785	0.425
X950752	752	0.824	0.678	0.111	0.565	0.716	0.24	0.153	0.677	0.174	0.087	0.834	0.115	0.285	0.019
X950757	757	0.578	0.9	0.867	0.979	0.048	0.247	0.407	0.806	0.428	0.399	0.991	0.421	0.085	0.249
X950758	758	0.84	0.218	0.839	0.218	0.511	0.664	0.407	0.897	0.472	0.132	0.624	0.215	0.381	0.961
X950759	759	0.552	0.864	0.616	0.841	0.001	0.486	0.422	0.122	0.695	0.686	0.776	0.485	0.146	0.913
X950766	766	0.076	0.07	0.09	0.08	0.315	0.312	0.423	0.594	0.34	0.935	0.532	0.779	0.205	0.039
X950769	769	0.943	0.592	0.447	0.524	0.271	0.028	0.057	0.005	0.668	0.103	0.835	0.514	0.092	0.297
X950782	782	0.675	0.828	0.941	0.774	0.309	0.451	0.641	0.61	0.977	0.757	0.584	0.572	0.559	0.728
X950784	784	0.311	0.873	0.055	0.926	0.791	0.148	0.541	0.282	0.82	0.038	0.284	0.35	0.52	0.471
X950789	789	0.649	0.167	0.587	0.166	0.027	0.756	0.379	0.048	0.053	0.083	0.067	0.964	0.049	0.77
X950796	796	0.426	0.598	0.643	0.555	0.708	0.306	0.785	0.055	0.295	0.25	0.314	0.037	0.847	0.411
X950798	798	0.227	0.372	0.02	0.403	0.534	0.068	0.509	0.408	0.979	0.32	0.811	0.817	0.243	0.797
X950799	799	0.75	0.374	0.375	0.342	0.907	0.227	0.349	0.155	0.105	0.201	0.805	0.061	0.055	0.922
X950803	803	0.082	0.654	0.205	0.581	0.459	0.766	0.663	0.6	0.503	0.588	0.49	0.938	0.393	0.341
X950804	804	0.656	0.727	0.804	0.797	0.653	0.882	0.999	0.675	0.788	0.381	0.535	0.686	0.173	0.679
X950809	809	0.614	0.084	0.313	0.054	0.133	0.023	0.915	0.275	0.533	0.554	0.732	0.8	0.021	0.134
X950810	810	0.39	0.995	0.527	0.964	0.061	0.94	0.387	0.245	0.929	0.269	0.166	0.114	0.244	0.732
X950813	813	0.485	0.798	0.574	0.769	0.066	0.562	0.539	0.098	0.541	0.571	0.973	0.517	0.05	0.177
X950816	816	0.288	0.067	0.078	0.069	0.126	0.983	0.418	0.308	0.204	0.296	0.865	0.148	0.96	0.627
X950827	827	0.285	0.063	0.251	0.059	0.367	0.617	0.59	0.254	0.744	0.481	0.906	0.842	0.675	0.092
X950838	838	0.093	0.135	0.143	0.156	0.448	0.085	0.4	0.013	0.314	0.714	0.734	0.172	0.607	0.594
X950841	841	0.331	0.655	0.172	0.662	0.063	0.445	0.83	0.38	0.466	0.955	0.848	0.601	0.355	0.933
X950845	845	0.571	0.094	0.975	0.079	0	0.003	0.021	0.744	0.047	0.485	0.238	0.457	0.019	0.026
X950846	846	0.078	0.896	0.216	0.986	0.359	0.674	0.782	0.12	0.423	0.679	0.922	0.486	0.132	0.785
X950851	851	0.018	0.127	0.083	0.173	0.547	0.668	0.947	0.036	0.186	0.599	0.675	0.079	0.071	0.05
X950859	859	0	0.978	0.008	0.775	0.43	0.534	0.355	0.798	0.584	0.529	0.832	0.75	0.527	0.999
X950860	860	0.041	0.839	0.202	0.728	0.08	0.726	0.425	0.099	0.096	0.228	0.768	0.05	0.789	0.253
X950869	869	0.019	0.728	0.027	0.662	0.759	0.494	0.202	0.564	0.54	0.355	0.799	0.734	0.074	0.139
X950873	873	0.617	0.046	0.536	0.032	0.704	0.053	0.479	0.794	0.706	0.29	0.814	0.523	0.149	0.192
X950900	900	0.809	0.356	0.849	0.348	0.422	0.35	0.936	0.359	0.596	0.504	0.677	0.936	0.882	0.445
X950904	904	0.461	0.73	0.734	0.841	0.309	0.247	0.925	0.51	0.619	0.168	0.36	0.141	0.018	0.964
X950906	906	0.387	0.09	0.212	0.084	0.213	0.995	0.712	0.436	0.826	0.23	0.268	0.158	0.74	0.136
X950911	911	0.538	0.758	0.8	0.804	0.003	0.164	0.22	0.622	0.53	0.756	0.513	0.936	0.705	0.215
X950914	914	0.148	0.791	0.27	0.728	0.15	0.57	0.795	0.81	0.964	0.518	0.783	0.732	0.983	0.518
X950921	921	0.123	0.799	0.306	0.883	0.518	0.054	0.806	0.027	0.104	0.893	0.937	0.122	0.493	0.176
X950925	925	0.244	0.321	0.426	0.286	0.385	0.056	0.17	0.209	0.806	0.82	0.257	0.325	0.208	0.407
X950926	926	0.191	0.365	0.245	0.335	0.49	0.312	0.629	0.313	0.778	0.968	0.754	0.535	0.377	0.309
X950929	929	0.088	0.385	0.247	0.33	0.517	0.608	0.348	0.086	0.071	0.604	0.764	0.133	0.769	0.436
X950963	963	0.5	0.619	0.517	0.601	0.318	0.772	0.95	0.514	0.64	0.176	0.358	0.147	0.304	0.854
X950966	966	0.076	0.84	0.2	0.928	0.491	0.749	0.791	0.013	0.067	0.489	0.762	0.033	0.433	0.275
X950968	968	0.472	0.03	0.696	0.021	0.849	0.222	0.443	0.662	0.386	0.742	0.756	0.594	0.167	0.063
X950987	987	0.863	0.569	0.545	0.631	0.694	0.476	0.967	0.196	0.385	0.798	0.879	0.303	0.615	0.042
X950995	995	0.519	0.129	0.883	0.148	0.177	0.182	0.251	0.648	0.554	0.035	0.477	0.177	0.485	0.494
X950996	996	0.169	0.72	0.063	0.723	0.3	0.235	0.603	0.131	0.171	0.833	0.827	0.255	0.126	0.869
X950999	999	0.009	0.594	0.083	0.486	0.795	0.572	0.838	0.933	0.833	0.612	0.83	0.658	0.286	0.322
X951002	1002	0.755	0.701	0.868	0.653	0.197	0.536	0.216	0.689	0.229	0.983	0.372	0.809	0.641	0.889
X951018	1018	0.157	0.601	0.168	0.634	0.132	0.676	0.4	0.957	0.541	0.996	0.549	0.97	0.972	0.733
X951019	1019	0.458	0.007	0.982	0.005	0.746	0.187	0.001	0.16	0.088	0.816	0.029	0.472	0.036	0.767
X951027	1027	0.426	0.573	0.075	0.507	0.262	0.23	0.231	0.322	0.123	0.061	0.618	0.04	0.691	0.321
X951030	1030	0.009	0.737	0.078	0.616	0.941	0.035	0.124	0.914	0.264	0.971	0.263	0.922	0.029	0.238
X951041	1041	0.831	0.44	0.946	0.452	0.027	0.527	0.421	0.8	0.649	0.264	0.822	0.486	0.496	0.243
X951051	1051	0.753	0.105	0.453	0.079	0.01	0.014	0.427	0.24	0.879	0.207	0.736	0.831	0.181	0.038
X951054	1054	0.008	0.885	0.032	0.997	0.154	0.448	0.875	0.24	0.379	0.681	0.857	0.284	0.236	0.361
X951055	1055	0.674	0.785	0.418	0.76	0.001	0.128	0.214	0.519	0.586	0.898	0.427	0.751	0.449	0.314
X951067	1067	0.064	0.731	0.144	0.657	0.027	0.039	0.466	0.036	0.41	0.528	0.338	0.067	0.033	0.466
X951071	1071	0.317	0.886	0.257	0.873	0.54	0.266	0.938	0.018	0.107	0.556	0.718	0.048	0.923	0.912
X951083	1083	0.021	0.833	0.043	0.915	0.787	0.938	0.364	0.179	0.121	0.157	0.713	0.054	0.482	0.451
X951085	1085	0.667	0.979	0.554	0.982	0.386	0.979	0.569	0.437	0.351	0.682	0.91	0.417	0.946	0.33
X951115	1115	0.109	0.687	0.428	0.796	0.536	0.246	0.596	0.074	0.444	0.899	0.642	0.208	0.666	0.741
X951141	1141	0.002	0.976	0.003	0.937	0.614	0.191	0.63	0.304	0.767	0.57	0.458	0.274	0.124	0.642
X951144	1144	0.995	0.29	0.327	0.237	0.118	0.481	0.661	0.357	0.354	0.037	0.232	0.03	0.852	0.278
X951150	1150	0.441	0.028	0.664	0.024	0.464	0.231	0.656	0.28	0.72	0.638	0.986	0.735	0.842	0.162
X951151	1151	0.383	0.949	0.251	0.951	0.394	0.532	0.424	0.696	0.716	0.481	0.289	0.43	0.523	0.937
X951154	1154	0.857	0.76	0.8	0.761	0.117	0.765	0.29	0.491	0.212	0.904	0.505	0.592	0.605	0.227
X951156	1156	0.008	0.097	0.008	0.113	0.085	0.361	0.394	0.128	0.735	0.163	0.694	0.93	0.027	0.691
X951162	1162	0.086	0.849	0.111	0.796	0.981	0.491	0.816	0.45	0.757	0.321	0.589	0.782	0.754	0.719
X951171	1171	0.39	0.369	0.406	0.384	0.011	0.694	0.396	0.556	0.784	0.807	0.667	0.848	0.75	0.24
X951174	1174	0.492	0.158	0.198	0.14	0.473	0.438	0.262	0.716	0.275	0.989	0.431	0.807	0.588	0.365
X951242	1242	0.002	0.027	0.002	0.034	0.295	0.615	0.215	0.672	0.494	0.669	0.561	0.956	0.041	0.044
X951273	1273	0.528	0.809	0.567	0.829	0.013	0.57	0.897	0.005	0.077	0.062	0.155	0.002	0.983	0.403
X951284	1284	0.679	0.478	0.803	0.497	0.039	0.691	0.992	0.2	0.402	0.643	0.738	0.632	0.45	0.283
X951317	1317	0.394	0.02	0.285	0.019	0.038	0.261	0.69	0.407	0.819	0.783	0.633	0.457	0.66	0.048
X951318	1318	0.197	0.461	0.238	0.493	0.017	0.882	0.798	0.812	0.727	0.397	0.435	0.618	0.244	0.979
X951322	1322	0.115	0.035	0.081	0.036	0.004	0.337	0.146	0.748	0.358	0.932	0.328	0.888	0.709	0.052
X951337	1337	0.803	0.497	0.784	0.454	0.126	0.178	0.45	0.023	0.352	0.519	0.324	0.05	0.759	0.946
X951365	1365	0.144	0.318	0.173	0.291	0.095	0.513	0.775	0.273	0.624	0.81	0.974	0.599	0.883	0.409
X951409	1409	0.085	0.212	0.746	0.152	0.09	0.333	0.159	0.645	0.427	0.897	0.361	0.844	0.589	0.568
X951429	1429	0.998	0.127	0.712	0.116	0.23	0.529	0.477	0.533	0.886	0.302	0.22	0.235	0.774	0.209
X951457	1457	0.254	0.216	0.768	0.3	0.591	0.038	0.697	0.28	0.687	0.084	0.334	0.518	0.429	0.617
X960001	1	0.941	0.401	0.765	0.374	0.585	0.888	0.35	0.003	0.008	0.859	0.591	0.034	0.088	0.397
X960003	3	0.768	0.064	0.436	0.056	0	0.333	0.777	0.939	0.791	0.671	0.617	0.782	0.286	0.102
X960004	4	0.313	0.025	0.635	0.032	0.519	0	0.004	0.132	0.173	0.002	0.882	0.129	0.066	0.003
X960005	5	0.759	0.233	0.888	0.209	0.004	0.86	0.834	0.112	0.382	0.428	0.478	0.105	0.595	0.208
X960009	9	0.277	0.904	0.708	0.995	0.232	0.458	0.227	0.108	0.053	0.759	0.52	0.203	0.074	0.645
X960012	12	0.63	0.407	0.502	0.4	0.667	0.833	0.895	0.378	0.503	0.287	0.396	0.801	0.28	0.24
X960016	16	0.072	0.085	0.525	0.067	0.342	0.371	0.548	0.173	0.724	0.931	0.689	0.399	0.84	0.968
X960018	18	0.28	0.717	0.906	0.827	0.942	0.432	0.243	0.311	0.806	0.615	0.634	0.787	0.313	0.814
X960019	19	0.208	0.897	0.87	0.973	0.695	0.88	0.67	0.553	0.955	0.482	0.425	0.359	0.657	0.088
X960020	20	0.416	0.894	0.374	0.907	0.66	0.41	0.655	0.959	0.757	0.697	0.967	0.791	0.685	0.366
X960021	21	0.79	0.891	0.981	0.862	0.03	0.347	0.375	0.296	0.996	0.429	0.946	0.945	0.521	0.68
X960022	22	0.51	0.602	0.84	0.552	0.032	0.486	0.366	0.263	0.976	0.999	0.522	0.47	0.58	0.659
X960023	23	0.484	0.472	0.938	0.542	0.976	0.654	0.024	0.343	0.021	0.856	0.082	0.635	0.921	0.679
X960025	25	0.122	0.829	0.057	0.834	0.584	0.764	0.876	0.967	0.884	0.791	0.938	0.818	0.926	0.262
X960026	26	0.066	0.151	0.171	0.188	0.732	0.651	0.238	0.015	0.015	0.908	0.448	0.093	0.37	0.869
X960027	27	0.838	0.212	0.586	0.198	0.132	0.733	0.46	0.26	0.199	0.873	0.526	0.544	0.827	0.022
X960028	28	0.303	0.014	0.645	0.018	0.352	0.611	0.925	0.912	0.886	0.514	0.692	0.567	0.061	0.073
X960029	29	0.539	0.271	0.809	0.298	0.78	0.647	0.062	0.303	0.038	0.803	0.244	0.393	0.631	0.578
X960030	30	0.464	0.198	0.565	0.183	0.035	0.15	0.556	0.395	0.922	0.131	0.507	0.534	0.965	0.765
X960033	33	0.187	0.954	0.239	1	0.834	0.909	0.792	0.058	0.153	0.138	0.383	0.021	0.418	0.975
X960035	35	0.066	0.835	0.56	0.689	0.166	0.897	0.855	0.102	0.23	0.523	0.747	0.124	0.393	0.654
X960037	37	0.292	0.964	0.343	1	0.329	0.111	0.252	0.722	0.513	0.095	0.701	0.288	0.624	0.592
X960039	39	0.948	0.615	0.981	0.622	0.116	0.152	0.523	0.007	0.192	0.832	0.762	0.105	0.769	0.265
X960040	40	0.284	0.022	0.341	0.024	0.274	0.997	0.64	0.409	0.861	0.951	0.774	0.627	0.618	0.111
X960044	44	0.833	0.044	0.232	0.032	0.842	0.593	0.136	0.995	0.249	0.529	0.533	0.626	0.652	0.459
X960046	46	0.449	0.915	0.455	0.895	0.462	0.858	0.781	0.713	0.981	0.832	0.729	0.69	0.991	0.15
X960048	48	0.613	0.006	0.552	0.009	0.504	0	0.011	0.022	0.623	0.007	0.901	0.532	0.63	0.082
X960049	49	0.789	0.191	0.943	0.18	0.18	0.674	0.235	0.452	0.667	0.811	0.499	0.762	0.067	0.197
X960050	50	0.136	0.793	0.946	0.958	0.058	0.441	0.674	0.521	0.463	0.854	0.669	0.785	0.126	0.966
X960051	51	0.039	0.694	0.117	0.61	0.029	0.511	0.942	0.011	0.102	0.41	0.594	0.282	0.188	0.112
X960055	55	0.036	0.496	0.3	0.627	0.542	0.391	0.245	0.886	0.325	0.036	0.023	0.124	0.005	0.375
X960058	58	0.243	0.139	0.557	0.115	0.272	0.343	0.984	0.21	0.408	0.069	0.199	0.03	0.158	0.661
X960059	59	0.007	0.828	0.006	0.888	0.731	0.654	0.758	0.168	0.261	0.847	0.723	0.455	0.017	0.689
X960061	61	0.004	0.117	0.009	0.151	0.111	0.26	0.296	0.349	0.841	0.039	0.449	0.309	0.121	0.341
X960064	64	0.482	0.011	0.92	0.008	0.053	0.802	0.322	0.113	0.785	0.769	0.364	0.212	0.198	0.066
X960069	69	0.854	0.036	0.556	0.032	0.034	0.392	0.42	0.663	0.734	0.609	0.833	0.911	0.808	0.426
X960070	70	0.568	0.896	0.286	0.925	0.882	0.351	0.398	0.073	0.598	0.513	0.291	0.099	0.756	0.823
X960071	71	0.687	0.077	0.372	0.068	0.163	0.018	0.093	0.047	1	0.178	0.806	0.789	0.954	0.561
X960072	72	0.521	0.729	0.64	0.699	0.019	0.668	0.682	0.022	0.073	0.538	0.884	0.052	0.725	0.815
X960073	73	0.073	0.277	0.492	0.373	0.851	0.625	0.698	0.554	0.933	0.961	0.757	0.675	0.409	0.085
X960074	74	0.002	0.72	0.005	0.633	0.736	0.285	0.781	0.311	0.387	0.758	0.983	0.375	0.024	0.652
X960083	83	0.364	0.1	0.238	0.097	0.455	0.326	0.56	0.17	0.185	0.686	0.486	0.559	0.041	0.004
X960086	86	0.094	0.634	0.126	0.586	0.501	0.71	0.322	0.705	0.317	0.57	0.272	0.848	0.314	0.104
X960090	90	0.468	0.619	0.633	0.584	0.02	0.539	0.909	0.025	0.164	0.797	0.793	0.096	0.369	0.927
X960091	91	0.277	0.118	0.482	0.137	0.684	0.794	0.673	0.924	0.793	0.611	0.951	0.743	0.38	0.369
X960092	92	0.037	0.833	0.013	0.812	0.492	0.153	0.086	0.392	0.064	0.621	0.118	0.862	0.011	0.735
X960093	93	0.513	0.752	0.971	0.828	0.033	0.712	0.36	0.107	0.084	0.675	0.346	0.465	0.198	0.248
X960096	96	0.785	0.572	0.518	0.547	0.354	0.022	0.423	0.283	0.937	0.058	0.424	0.432	0.53	0.497
X960097	97	0.626	0.018	0.388	0.011	0.46	0.22	0.607	0.577	0.453	0.232	0.625	0.204	0.173	0.237
X960098	98	0.494	0.856	0.776	0.96	0.151	0.579	0.336	0.174	0.885	0.292	0.157	0.096	0.693	0.936
X960099	99	0.995	0.947	0.987	0.946	0.009	0.407	0.303	0.163	0.909	0.522	0.239	0.167	0.947	0.94
X960102	102	0.475	0.171	0.665	0.187	0.602	0.335	0.964	0.861	0.937	0.629	0.756	0.796	0.028	0.714
X960104	104	0.291	0.178	0.171	0.173	0.801	0.158	0.589	0.242	0.731	0.41	0.84	0.9	0.702	0.145
X960106	106	0.613	0.005	0.897	0.004	0.184	0.498	0.16	0.263	0.716	0.783	0.234	0.352	0.747	0.032
X960108	108	0.445	0.268	0.234	0.253	0.002	0.878	0.502	0.605	0.856	0.796	0.511	0.595	0.574	0.039
X960112	112	0.688	0.473	0.699	0.48	0.636	0.045	0.267	0.925	0.427	0.168	0.845	0.316	0.1	0.745
X960113	113	0.069	0	0.302	0	0.016	0.831	0.957	0.257	0.44	0.039	0.149	0.023	0.05	0.029
X960114	114	0.903	0.074	0.781	0.07	0.191	0.3	0.463	0.244	0.848	0.903	0.665	0.509	0.834	0.834
X960115	115	0.725	0.048	0.642	0.047	0.154	0.971	0.998	0.333	0.533	0.427	0.575	0.987	0.207	0.44
X960118	118	0.725	0.952	0.382	0.99	0.539	0.493	0.695	0.68	0.572	0.381	0.73	0.35	0.423	0.777
X960120	120	0.745	0.192	0.817	0.183	0.03	0.227	0.755	0.227	0.586	0.571	0.857	0.726	0.47	0.522
X960122	122	0.703	0.192	0.464	0.18	0.002	0.7	0.204	0.037	0.023	0.339	0.82	0.04	0.839	0.16
X960125	125	0.196	0.772	0.152	0.752	0.081	0.747	0.508	0.589	0.873	0.489	0.34	0.381	0.927	0.96
X960126	126	0.234	0.152	0.576	0.186	0.043	0.132	0.517	0.057	0.449	0.341	0.828	0.601	0.625	0.05
X960129	129	0.939	0.866	0.529	0.818	0.518	0.793	0.133	0.141	0.039	0.597	0.152	0.579	0.336	0.931
X960130	130	0.143	0.094	0.313	0.115	0.169	0.817	0.432	0.375	0.977	0.481	0.954	0.973	0.073	0.968
X960131	131	0.902	0.051	0.649	0.042	0.73	0	0	0.015	0.175	0.007	0.458	0.572	0.838	0.854
X960136	136	0.869	0.678	0.84	0.678	0.143	0.604	0.52	0.162	0.677	0.39	0.877	0.804	0.268	0.1
X960137	137	0.123	0.081	0.218	0.097	0.255	0.215	0.14	0.148	0.839	0.062	0.769	0.603	0.028	0.428
X960140	140	0.273	0.677	0.621	0.605	0.937	0.782	0.481	0.901	0.535	0.939	0.58	0.983	0.953	0.923
X960146	146	0.061	0.509	0.222	0.602	0.518	0.79	0.222	0.271	0.103	0.487	0.704	0.217	0.708	0.205
X960148	148	0.129	0.326	0.367	0.39	0.742	0.843	0.883	0.925	0.958	0.581	0.621	0.629	0.48	0.625
X960149	149	0.063	0.912	0.25	0.806	0.779	0.332	0.359	0.163	0.112	0.613	0.315	0.603	0.007	0.865
X960152	152	0.842	0.709	0.381	0.613	0.643	0.135	0.596	0.089	0.48	0.705	0.914	0.41	0.758	0.941
X960153	153	0.988	0.262	0.399	0.298	0.043	0.302	0.768	0.048	0.285	0.43	0.444	0.062	0.921	0.747
X960154	154	0.378	0.034	0.298	0.033	0.786	0.892	0.985	0.828	0.9	0.952	0.955	0.853	0.683	0.924
X960158	158	0.824	0.331	0.981	0.344	0.175	0.132	0.249	0.553	0.612	0.722	0.569	0.913	0.24	0.899
X960160	160	0.559	0.638	0.366	0.622	0.069	0.309	0.88	0.088	0.319	0.562	0.762	0.502	0.145	0.22
X960162	162	0.098	0.126	0.184	0.15	0.169	0.414	0.474	0.092	0.58	0.247	0.75	0.834	0.09	0.769
X960164	164	0.961	0.789	0.729	0.752	0.09	0.6	0.764	0	0.007	0.193	0.474	0.001	0.359	0.25
X960165	165	0.109	0.632	0.178	0.578	0.391	0.343	0.747	0.395	0.427	0.223	0.276	0.695	0.505	0.175
X960169	169	0.463	0.195	0.399	0.187	0.023	0.482	0.221	0.268	0.815	0.59	0.212	0.26	0.728	0.718
X960171	171	0.046	0.928	0.349	0.909	0.682	0.792	0.698	0.666	0.982	0.216	0.253	0.236	0.886	0.225
X960174	174	0.181	0.033	0.407	0.042	0.059	0.33	0.401	0.061	0.557	0.498	0.285	0.085	0.854	0.118
X960175	175	0.283	0.988	0.97	0.862	0.026	0.017	0.577	0.082	0.476	0.804	0.826	0.344	0.255	0.103
X960176	176	0.02	0.075	0.041	0.096	0.629	0.019	0.296	0.076	0.719	0.002	0.12	0.181	0.747	0.052
X960177	177	0.143	0.524	0.277	0.47	0.326	0.098	0.337	0.837	0.386	0.604	0.753	0.597	0.015	0.849
X960178	178	0.398	0.62	0.554	0.494	0.572	0.363	0.936	0.299	0.542	0.107	0.229	0.06	0.162	0.407
X960179	179	0.508	0.467	0.389	0.463	0.979	0.635	0.729	0.635	0.569	0.095	0.153	0.322	0.881	0.243
X960180	180	0.807	0.935	0.449	0.974	0.175	0.544	0.54	0.909	0.589	0.129	0.133	0.277	0.992	0.597
X960181	181	0.193	0.648	0.228	0.685	0.407	0.703	0.36	0.792	0.384	0.531	0.277	0.756	0.353	0.804
X960183	183	0.269	0.163	0.394	0.183	0.209	0.718	0.973	0.373	0.548	0.773	0.82	0.723	0.536	0.902
X960184	184	0.33	0.437	0.183	0.427	0.038	0.473	0.881	0.039	0.215	0.593	0.628	0.081	0.979	0.353
X960187	187	0.987	0.009	0.859	0.008	0.843	0.343	0.642	0.788	0.598	0.243	0.25	0.475	0.398	0.627
X960189	189	0.408	0.792	0.585	0.836	0.001	0.524	0.671	0.908	0.689	0.567	0.482	0.716	0.252	0.823
X960193	193	0.903	0.11	0.474	0.094	0.311	0.316	0.309	0.802	0.347	0.917	0.427	0.935	0.095	0.67
X960194	194	0.728	0.188	0.524	0.179	0.198	0.364	0.556	0.184	0.193	0.734	0.512	0.546	0.976	0.226
X960197	197	0.202	0.002	0.052	0.001	0.117	0.99	0.578	0.219	0.71	0.645	0.473	0.253	0.742	0.003
X960199	199	0.385	0.968	0.82	0.848	0.258	0.462	0.746	0.77	0.952	0.452	0.447	0.446	0.033	0.31
X960203	203	0.824	0.37	0.265	0.416	0.06	0.988	0.812	0.327	0.652	0.895	0.941	0.595	0.096	0.361
X960206	206	0.645	0.932	0.313	0.894	0.906	0.171	0.675	0.144	0.528	0.357	0.721	0.807	0.961	0.678
X960208	208	0.35	0.935	0.772	0.984	0.012	0.47	0.226	0.373	0.136	0.504	0.186	0.949	0.289	0.312
X960212	212	0.579	0.881	0.892	0.932	0.546	0.852	0.876	0.74	0.739	0.559	0.762	0.509	0.469	0.643
X960214	214	0.136	0.096	0.099	0.1	0.134	0.057	0.231	0.338	0.76	0.49	0.715	0.928	0.7	0.087
X960216	216	0.29	0.052	0.073	0.042	0.217	0.167	0.835	0.556	0.591	0.131	0.223	0.429	0.756	0.098
X960219	219	0.356	0.404	0.587	0.445	0.934	0.907	0.827	0.479	0.533	0.181	0.424	0.141	0.333	0.608
X960220	220	0.241	0.175	0.459	0.204	0.315	0.536	0.873	0.781	0.955	0.179	0.286	0.226	0.804	0.303
X960221	221	0.085	0.189	0.054	0.195	0.67	0.425	0.921	0.247	0.5	0.382	0.582	0.937	0.609	0.56
X960222	222	0.005	0.891	0.001	0.914	0.183	0.878	0.381	0.778	0.622	0.572	0.31	0.54	0.311	0.92
X960224	224	0.456	0.724	0.698	0.677	0.15	0.805	0.96	0.014	0.097	0.623	0.755	0.048	0.409	0.076
X960226	226	0.986	0.705	0.667	0.742	0.112	0.618	0.246	0.274	0.114	0.512	0.201	0.838	0.09	0.615
X960229	229	0.549	0.516	0.877	0.451	0.287	0.306	0.623	0.202	0.232	0.936	0.771	0.376	0.013	0.509
X960231	231	0.887	0.187	0.609	0.16	0.746	0	0	0	0.743	0	0.662	0.425	0.438	0.634
X960235	235	0.554	0.693	0.372	0.611	0.308	0.206	0.951	0.255	0.407	0.07	0.178	0.566	0.683	0.668
X960238	238	0.022	0.017	0.013	0.018	0.057	0.127	0.04	0.977	0.108	0.844	0.109	0.894	0.953	0.003
X960239	239	0.075	0.574	0.105	0.625	0.593	0.456	0.646	0.899	0.787	0.991	0.739	0.928	0.483	0.574
X960241	241	0.958	0.168	0.63	0.147	0.001	0.508	0.249	0.341	0.784	0.798	0.522	0.674	0.603	0.272
X960242	242	0.016	0.16	0.24	0.117	0.485	0.287	0.724	0.794	0.662	0.109	0.369	0.162	0.848	0.259
X960244	244	0.613	0.002	0.22	0.002	0.074	0.062	0.119	0.054	0.952	0.221	0.805	0.744	0.753	0.012
X960245	245	0.387	0.752	0.082	0.802	0.535	0.524	0.419	0.514	0.841	0.355	0.934	0.771	0.501	0.974
X960249	249	0.784	0.554	0.724	0.553	0.051	0.074	0.431	0.116	0.673	0.185	0.698	0.999	0.74	0.474
X960250	250	0.171	0.079	0.275	0.092	0.807	0.331	0.213	0.411	0.666	0.766	0.275	0.449	0.748	0.214
X960252	252	0.258	0.017	0.827	0.011	0.811	0.716	0.084	0.814	0.235	0.318	0.056	0.36	0.574	0.041
X960254	254	0.594	0.885	0.884	0.933	0.441	0.19	0.217	0.398	0.682	0.933	0.412	0.63	0.349	0.553
X960255	255	0.482	0.335	0.575	0.353	0.043	0.559	0.814	0.059	0.159	0.723	0.677	0.333	0.474	0.848
X960263	263	0.497	0.075	0.243	0.067	0.994	0.007	0.011	0.043	0.481	0.009	0.958	0.446	0.798	0.227
X960264	264	0.534	0.226	0.349	0.216	0.185	0.829	0.229	0.719	0.487	0.842	0.321	0.701	0.075	0.962
X960266	266	0.665	0.006	0.262	0.004	0.215	0.593	0.483	0.86	0.516	0.09	0.092	0.231	0.604	0.089
X960267	267	0.61	0.453	0.374	0.352	0.577	0.063	0.324	0.673	0.626	0.218	0.86	0.498	0.599	0.048
X960268	268	0.633	0.086	0.349	0.077	0.5	0.018	0.043	0.663	0.066	0.337	0.431	0.311	0.043	0.128
