FAMILY_ID	row_id	p_value|base|sebum	p_value|base|skicon	p_value|groups|oily-norm	p_value|groups|skicon	p_value|oily|exfol	p_value|oily|F-B	p_value|oily|F-B|A	p_value|oily|F-B|B	p_value|oily|F-B|B-A	p_value|oily|F-B|C	p_value|oily|F-B|C-A	p_value|oily|F-B|C-B	p_value|oily|sebum	p_value|oily|skicon
X941046	1046	0.61	0.697	0.502	0.697	0.016	0.648	0.283	0.092	0.059	0.277	0.13	0.79	0.021	1
X941049	1049	0.949	0.301	0.172	0.231	0.984	0.749	0.19	0.257	0.086	0.96	0.334	0.487	0.681	0.008
X941051	1051	0.132	0.32	0.812	0.243	0.428	0.525	0.794	0.015	0.156	0.15	0.228	0.009	0.006	0.885
X941066	1066	0.801	0.159	0.417	0.141	0.905	0.021	0.027	0.393	0.235	0.078	0.732	0.41	0.424	0.028
X941074	1074	0.39	0.715	0.057	0.641	0.375	0.098	0.114	0.004	0.455	0.712	0.167	0.028	0.152	0.713
X941079	1079	0.916	0.082	0.474	0.065	0.794	0.293	0.832	0.14	0.264	0.495	0.739	0.143	0.96	0.002
X941080	1080	0.69	0.331	0.6	0.325	0.961	0	0.023	0	0.15	0	0.06	0.535	0.408	0.899
X941091	1091	0.987	0.319	0.979	0.317	0.002	0.942	0.605	0.168	0.2	0.304	0.276	0.916	0.097	0.864
X941095	1095	0.283	0.096	0.741	0.065	0.344	0.249	0.522	0.644	0.846	0.427	0.312	0.366	0.156	0.001
X941106	1106	0.999	0.806	0.718	0.773	0.628	0.183	0.338	0.395	0.85	0.603	0.297	0.346	0.283	0.736
X941118	1118	0.934	0.146	0.832	0.141	0.624	0.972	0.839	0.037	0.13	0.992	0.88	0.174	0.11	0.735
X941124	1124	0.008	0.768	0.139	0.941	0.79	0.415	0.834	0.876	0.952	0.245	0.497	0.427	0.005	0.939
X941134	1134	0.903	0.107	0.534	0.094	0.021	0.751	0.32	0.374	0.849	0.707	0.334	0.391	0.72	0.334
X941144	1144	0.9	0.519	0.694	0.534	0.683	0.117	0.054	0.138	0.017	0.713	0.103	0.494	0.006	0.536
X941153	1153	0.71	0.032	0.323	0.044	0.321	0.781	0.835	0.836	0.979	0.197	0.288	0.261	0.252	0.752
X941154	1154	0.873	0.581	0.912	0.587	0.974	0.503	0.975	0.514	0.691	0.357	0.528	0.773	0.605	0.55
X941192	1192	0.29	0.493	0.68	0.564	0.235	0.763	0.922	0.53	0.741	0.029	0.103	0.039	0.258	0.097
X941202	1202	0.006	0.212	0.02	0.273	0.853	0.983	0.73	0.11	0.195	0.884	0.888	0.251	0.084	0.38
X941204	1204	0.748	0.56	0.997	0.529	0.006	0.81	0.955	0.493	0.627	0.191	0.333	0.57	0.238	0.939
X941208	1208	0.507	0.441	0.696	0.362	0.409	0.178	0.826	0.297	0.401	0.984	0.865	0.511	0.293	0.039
X941241	1241	0.765	0.04	0.643	0.049	0.689	0.476	0.905	0.114	0.349	0.305	0.52	0.808	0.33	0.677
X941250	1250	0.782	0.42	0.758	0.377	0.473	0.24	0.619	0.074	0.43	0.192	0.204	0.034	0.928	0.026
X941253	1253	0.777	0.263	0.791	0.233	0.502	0.942	0.187	0.047	0.024	0.132	0.89	0.017	0.464	0.101
X941257	1257	0.017	0.107	0.012	0.118	0.451	0.86	0.903	0.686	0.867	0.518	0.71	0.814	0.074	0.013
X941259	1259	0.475	0.603	0.944	0.67	0.114	0.09	0.087	0.688	0.286	0.469	0.087	0.417	0.113	0.378
X941265	1265	0.429	0.9	0.4	0.884	0.908	0.354	0.994	0.391	0.576	0.119	0.269	0.083	0.211	0.496
X941274	1274	0.935	0.132	0.941	0.13	0.498	0.536	0.446	0.778	0.686	0.225	0.744	0.45	0.747	0.532
X941308	1308	0.694	0.516	0.31	0.475	0.206	0.312	0.243	0.035	0.62	0.034	0.022	0.004	0.873	0.048
X941315	1315	0.363	0.813	0.909	0.723	0.414	0.694	0.768	0.722	0.997	0.379	0.407	0.367	0.358	0.497
X941320	1320	0.071	0.842	0.045	0.868	0.197	0.917	0.633	0.772	0.581	0.322	0.301	0.565	0.157	0.522
X941321	1321	0.368	0.833	0.526	0.881	0.595	0.691	0.476	0.961	0.599	0.677	0.832	0.768	0.465	0.509
X941367	1367	0.914	0.044	0.754	0.045	0.693	0.702	0.175	0.351	0.104	0.357	0.11	0.916	0.26	0.561
X941373	1373	0.811	0.845	0.203	0.757	0.695	0.588	0.158	0.492	0.13	0.872	0.265	0.749	0.568	0.063
X941384	1384	0.914	0.26	0.77	0.25	0.57	0.781	0.717	0.027	0.086	0.964	0.822	0.137	0.262	0.665
X941385	1385	0.852	0.028	0.843	0.028	0.706	0.004	0.016	0.146	0.336	0	0.266	0.034	0.468	0.234
X941392	1392	0.064	0.375	0.18	0.444	0.064	0.013	0.234	0.096	0.864	0.078	0.673	0.775	0.733	0.498
X941398	1398	0.114	0.23	0.611	0.177	0.013	0.292	0.891	0.277	0.42	0.056	0.203	0.033	0.141	0.266
X941404	1404	0.094	0.546	0.176	0.491	0.39	0.845	0.344	0.766	0.592	0.129	0.677	0.326	0.084	0.622
X941408	1408	0.551	0.987	0.824	0.945	0.008	0.854	0.648	0.195	0.615	0.975	0.734	0.394	0.013	0.96
X941422	1422	0.331	0.002	0.022	0.001	0.017	0.166	0.659	0.924	0.782	0.776	0.911	0.876	0.185	0.023
X941439	1439	0.116	0.034	0.109	0.037	0.5	0.628	0.815	0.297	0.395	0.848	0.977	0.413	0.302	0.002
X941445	1445	0.3	0.403	0.75	0.471	0.353	0.068	0.984	0.15	0.343	0.304	0.457	0.884	0.286	0.348
X941454	1454	0.362	0.808	0.285	0.799	0.815	0.101	0.084	0.469	0.379	0.735	0.143	0.469	0.252	0.946
X941460	1460	0.088	0.547	0.161	0.492	0.986	0.21	0.457	0.027	0.371	0.318	0.855	0.485	0.5	0.102
X941462	1462	0.667	0.644	0.925	0.592	0.286	0.931	0.698	0.356	0.373	0.471	0.813	0.254	0.669	0.295
X941464	1464	0.511	0.451	0.342	0.44	0.092	0.376	0.188	0.703	0.44	0.488	0.157	0.438	0.776	0.205
X941503	1503	0.31	0.933	0.499	0.985	0.225	0.721	0.844	0.903	0.818	0.397	0.471	0.57	0.794	0.978
X941519	1519	0.015	0.013	0.046	0.019	0.237	0.648	0.562	0.684	0.481	0.858	0.776	0.69	0.801	0.016
X941530	1530	0.702	0.243	0.748	0.207	0.457	0.195	0.165	0.585	0.47	0.984	0.316	0.714	0.76	0.233
X941547	1547	0.041	0.206	0.04	0.227	0.068	0.522	0.575	0.666	0.879	0.547	0.977	0.854	0.509	0.654
X941582	1582	0.88	0.165	0.608	0.152	0.042	0.067	0.301	0.237	0.976	0.161	0.79	0.75	0.638	0.949
X941617	1617	0.642	0.88	0.268	0.832	0.003	0.907	0.585	0.546	0.976	0.354	0.786	0.746	0.067	0.973
X941623	1623	0.165	0.664	0.219	0.62	0.228	0.684	0.392	0.292	0.185	0.093	0.549	0.052	0.856	0.939
X941624	1624	0.882	0.777	0.79	0.815	0.835	0.209	0.285	0.006	0.299	0.797	0.348	0.044	0.133	0.771
X941639	1639	0.063	0.343	0.387	0.444	0.993	0.635	0.4	0.848	0.601	0.928	0.509	0.848	0.546	0.513
X941680	1680	0.423	0.35	0.468	0.331	0.822	0.066	0.153	0.749	0.37	0.207	0.903	0.443	0.298	0.771
X941684	1684	0.591	0.715	0.907	0.763	0.459	0.02	0.075	0.829	0.214	0.395	0.496	0.607	0.091	0.65
X941709	1709	0.243	0.079	0.479	0.096	0.637	0.585	0.659	0.096	0.159	0.686	0.979	0.167	0.147	0.655
X941714	1714	0.429	0.023	0.928	0.018	0.948	0.52	0.859	0.767	0.957	0.329	0.571	0.576	0.04	0.004
X941715	1715	0.427	0.554	0.178	0.574	0.935	0.974	0.326	0.428	0.209	0.792	0.61	0.476	0.845	0.73
X941738	1738	0.762	0.664	0.37	0.62	0.96	0.342	0.267	0.878	0.45	0.687	0.614	0.833	0.531	0.619
X941759	1759	0.491	0.469	0.929	0.523	0.018	0.839	0.448	0.845	0.486	0.866	0.5	0.986	0.794	0.944
X941772	1772	0.668	0.231	0.541	0.232	0.402	0.543	0.468	0.108	0.114	0.638	0.855	0.164	0.884	0.555
X941774	1774	0.874	0.119	0.943	0.111	0.341	0.565	0.983	0.413	0.609	0.95	0.953	0.565	0.903	0.401
X941807	1807	0.208	0.051	0.411	0.063	0.939	0.388	0.472	0.516	0.334	0.024	0.036	0.178	0.976	0.999
X941813	1813	0.938	0.958	0.749	0.978	0.158	0.683	0.675	0.729	0.921	0.368	0.351	0.362	0.902	0.241
