MET_CHEM_NO	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X9612945													Dn, < 0.1	
X9612948		Up, < 0.1		Up, < 0.1			Dn, < 0.1		Up, < 0.1					
X9612949		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9612950	Dn, < 0.1							Up, < 0.1	Up, < 0.1				Dn, < 0.1	
X9612952						Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		Dn, < 0.01				
X9612953	Dn, < 0.1							Up, < 0.1						
X9612954	Up, < 0.1		Up, < 0.1										Dn, < 0.1	
X9612960		Up, < 0.1		Up, < 0.1										Up, < 0.1
X9612962	Up, < 0.1		Up, < 0.1											Dn, < 0.1
X9612963					Up, < 0.1									
X9612964	Dn, < 0.1							Up, < 0.1				Dn, < 0.1	Dn, < 0.1	
X9612966								Dn, < 0.1						
X9612969						Up, < 0.1								
X9612971					Dn, < 0.1		Up, < 0.1				Dn, < 0.1			
X9612972	Dn, < 0.1													
X9612976							Up, < 0.1		Dn, < 0.1					
X9612977										Dn, < 0.1		Dn, < 0.1		
X9612979	Up, < 0.1													
X9612980	Up, < 0.1													
X9612981		Dn, < 0.1		Dn, < 0.1										
X9612982		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9612983						Dn, < 0.01							Dn, < 0.1	Dn, < 0.01
X9612986								Up, < 0.1						
X9612987										Dn, < 0.1				
X9612989	Up, < 0.1	Dn, < 0.1			Dn, < 0.1			Dn, < 0.1						
X9612991	Dn, < 0.1		Dn, < 0.01			Dn, < 0.01	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1				
X9612993		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9612994								Up, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.1		
X9612995					Up, < 0.01									Dn, < 0.1
X9612996					Dn, < 0.1		Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X9613000								Up, < 0.1				Dn, < 0.1		
X9613002		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9613003		Dn, < 0.01	Up, < 0.1	Dn, < 0.01										Dn, < 0.01
X9613005								Up, < 0.1				Dn, < 0.1		
X9613006	Dn, < 0.1												Dn, < 0.1	
X9613007	Dn, < 0.01		Dn, < 0.01		Up, < 0.1									
X9613010				Dn, < 0.1	Up, < 0.1			Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1	
X9613011					Up, < 0.1									
X9613015					Dn, < 0.1									
X9613016		Dn, < 0.1		Dn, < 0.1	Up, < 0.1		Dn, < 0.1							
X9613017					Dn, < 0.1				Dn, < 0.1					
X9613019		Dn, < 0.1		Dn, < 0.1										
X9613021										Up, < 0.1		Up, < 0.1		
X9613022	Up, < 0.1				Up, < 0.1			Dn, < 0.1						
X9613023							Up, < 0.1		Dn, < 0.1					
X9613024	Up, < 0.1						Up, < 0.1		Dn, < 0.1					
X9613025									Dn, < 0.1					
X9613028					Dn, < 0.1		Up, < 0.1		Dn, < 0.1					
X9613029					Dn, < 0.1									
X9613031					Up, < 0.01									
X9613033					Dn, < 0.1		Up, < 0.1		Dn, < 0.1					
X9613034						Up, < 0.1		Up, < 0.01						
X9613035									Dn, < 0.1					
X9613036		Dn, < 0.1		Dn, < 0.1										
X9613037		Dn, < 0.001		Dn, < 0.001	Up, < 0.1									Dn, < 0.1
X9613041								Dn, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.01		
X9613042							Up, < 0.1		Dn, < 0.1					
X9613045					Up, < 0.1									
X9613046					Dn, < 0.1	Up, < 0.1		Up, < 0.1				Dn, < 0.1		
X9613047								Up, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.01		
X9613049		Dn, < 0.1		Dn, < 0.1	Up, < 0.01			Up, < 0.1						Dn, < 0.1
X9613050		Up, < 0.1		Up, < 0.1										
X9613052					Up, < 0.1									
X9613053							Up, < 0.1							
X9613055		Dn, < 0.001		Dn, < 0.001	Up, < 0.1								Up, < 0.1	Dn, < 0.1
X9613056						Up, < 0.1		Up, < 0.1						
X9613058							Dn, < 0.1				Up, < 0.1			
X9613059		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9613061					Up, < 0.001							Dn, < 0.1		Dn, < 0.01
X9613062							Up, < 0.1		Dn, < 0.1					
X9613063		Up, < 0.1		Up, < 0.1										Up, < 0.1
X9613066					Dn, < 0.1									
X9613069						Up, < 0.1							Up, < 0.1	
X9613070									Dn, < 0.1					
X9613071					Dn, < 0.1									
X9613073								Up, < 0.1					Dn, < 0.1	
X9613074													Dn, < 0.1	
X9613075					Up, < 0.1									
X9613077					Up, < 0.1									
X9613081		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9613082		Dn, < 0.1		Dn, < 0.1		Dn, < 0.01		Dn, < 0.1						
X9613083					Up, < 0.1									
X9613084					Up, < 0.1									
X9613085					Up, < 0.1									
X9613089	Dn, < 0.01		Dn, < 0.01										Dn, < 0.1	
X9613090			Dn, < 0.1	Up, < 0.1										
X9613091	Up, < 0.1	Dn, < 0.1		Dn, < 0.1			Dn, < 0.1			Dn, < 0.1			Up, < 0.1	
X9613092					Dn, < 0.1		Up, < 0.1							
X9613093						Up, < 0.01	Up, < 0.1	Up, < 0.1						
X9613096						Up, < 0.1		Up, < 0.01						
X9613100	Up, < 0.1													Dn, < 0.1
X9613101													Up, < 0.1	
X9613103					Up, < 0.01									
X9613104					Dn, < 0.1									
X9613105								Up, < 0.01	Up, < 0.1			Dn, < 0.1		Dn, < 0.1
X9613106					Up, < 0.001									
X9613107					Up, < 0.1		Up, < 0.1				Dn, < 0.1			
X9613109					Up, < 0.1									
X9613110		Up, < 0.1		Up, < 0.1				Dn, < 0.1			Up, < 0.1	Up, < 0.1		
X9613112	Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Up, < 0.1			Up, < 0.1				Dn, < 0.1			
X9613115			Dn, < 0.1		Up, < 0.01									
X9613117								Up, < 0.001		Dn, < 0.1	Dn, < 0.1	Dn, < 0.001		
X9613118		Dn, < 0.1		Dn, < 0.1						Up, < 0.1		Up, < 0.1		
X9613119	Up, < 0.1											Up, < 0.1		
X9613123					Up, < 0.1								Dn, < 0.1	
X9613124													Dn, < 0.1	
X9613125	Dn, < 0.1													
X9613126										Dn, < 0.1		Dn, < 0.1		
X9613129			Up, < 0.1	Dn, < 0.1	Up, < 0.1									
X9613130	Dn, < 0.01												Dn, < 0.01	
X9613131		Dn, < 0.1		Dn, < 0.1	Up, < 0.01									Dn, < 0.1
X9613132					Up, < 0.01									
X9613133					Up, < 0.1									
X9613135								Up, < 0.1						
X9613138	Dn, < 0.1		Dn, < 0.1		Up, < 0.1			Up, < 0.1				Dn, < 0.1		
X9613139		Dn, < 0.1		Dn, < 0.1	Up, < 0.001									Dn, < 0.1
X9613141					Up, < 0.1									
X9613142					Up, < 0.1									
X9613144								Dn, < 0.1	Dn, < 0.1		Dn, < 0.1		Up, < 0.01	
X9613148					Dn, < 0.01			Up, < 0.01	Up, < 0.1					
X9613154		Up, < 0.1		Up, < 0.1										
X9613158						Dn, < 0.1	Dn, < 0.1							
X9613159					Dn, < 0.1			Up, < 0.1				Dn, < 0.1		
X9613162								Up, < 0.1						
X9613163		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9613164	Dn, < 0.01	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Up, < 0.1			Up, < 0.1					Dn, < 0.1	
X9613166	Up, < 0.1				Up, < 0.1									
X9613168					Up, < 0.001									
X9613169	Up, < 0.1	Dn, < 0.1		Dn, < 0.1							Up, < 0.1			
X9613170					Up, < 0.01									
X9613172					Up, < 0.01									
X9613173					Up, < 0.1									
X9613177	Dn, < 0.1												Dn, < 0.1	
X9613179								Up, < 0.1				Dn, < 0.1		Dn, < 0.1
X9613183					Up, < 0.01									
X9613184		Dn, < 0.1		Dn, < 0.1				Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X9613186						Up, < 0.1		Up, < 0.001	Up, < 0.1			Dn, < 0.1		
X9613188					Up, < 0.1			Up, < 0.1				Dn, < 0.1		
X9613189					Up, < 0.1	Up, < 0.1	Up, < 0.1							
X9613195											Dn, < 0.1	Dn, < 0.1		
X9613196		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9613198					Up, < 0.1									
X9613200		Dn, < 0.01		Dn, < 0.01										
X9613202										Dn, < 0.1				
X9613204		Dn, < 0.1		Dn, < 0.1					Up, < 0.1					Dn, < 0.01
X9613205								Up, < 0.1		Dn, < 0.1		Dn, < 0.1		
X9613206							Up, < 0.1							
X9613207		Dn, < 0.1		Dn, < 0.1		Up, < 0.1				Up, < 0.01			Dn, < 0.1	
X9613208								Dn, < 0.1						
X9613209						Up, < 0.01		Up, < 0.01		Up, < 0.001				
X9613210		Up, < 0.1				Up, < 0.01		Up, < 0.01		Up, < 0.01			Dn, < 0.1	
X9613212						Up, < 0.1	Up, < 0.1	Up, < 0.01		Up, < 0.1			Dn, < 0.1	
X9613214						Up, < 0.1		Up, < 0.1		Up, < 0.1				
X9613215								Up, < 0.1		Up, < 0.1				
X9613216	Up, < 0.1													Dn, < 0.1
X9613217			Up, < 0.1			Dn, < 0.1		Dn, < 0.1		Dn, < 0.1				
X9613221			Up, < 0.1											
X9613223							Dn, < 0.1		Up, < 0.1					
X9613226	Up, < 0.1							Dn, < 0.1						
X9613228					Dn, < 0.1			Dn, < 0.1					Up, < 0.1	
X9613231						Up, < 0.1							Up, < 0.1	
X9613232	Up, < 0.1													
X9613242														Dn, < 0.1
X9613246		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1		Dn, < 0.1			Dn, < 0.1
X9613253	Up, < 0.1	Dn, < 0.1				Up, < 0.1								
X9613254						Up, < 0.001	Up, < 0.1	Up, < 0.001		Up, < 0.01				
X9613256								Up, < 0.1						
X9613257					Dn, < 0.1									Dn, < 0.1
X9613258		Dn, < 0.1		Dn, < 0.1						Dn, < 0.1	Dn, < 0.1			
X9613260							Up, < 0.1				Dn, < 0.1			
X9613263		Dn, < 0.1		Dn, < 0.1										
X9613266						Up, < 0.001	Up, < 0.1	Up, < 0.001		Up, < 0.001	Up, < 0.1			
X9613269					Dn, < 0.1								Dn, < 0.1	
X9613274						Up, < 0.1							Up, < 0.1	
X9613275			Dn, < 0.1											
X9613276						Up, < 0.001	Up, < 0.1	Up, < 0.001		Up, < 0.01				
X9613280					Up, < 0.1	Up, < 0.1		Up, < 0.01		Up, < 0.1				
X9613281		Dn, < 0.1		Dn, < 0.1						Up, < 0.1		Up, < 0.1		
X9613283	Dn, < 0.1	Up, < 0.1		Up, < 0.1										
X9613286						Up, < 0.1		Up, < 0.01		Up, < 0.01			Dn, < 0.1	
X9613288					Dn, < 0.1			Up, < 0.01					Dn, < 0.001	
X9613292	Up, < 0.1		Up, < 0.1			Up, < 0.001	Up, < 0.01	Up, < 0.001		Up, < 0.1				
X9613293			Dn, < 0.1											
X9613294								Up, < 0.1						Dn, < 0.1
X9613298					Up, < 0.001							Dn, < 0.1		
X9613300							Dn, < 0.1		Up, < 0.1			Dn, < 0.1		
X9613303					Up, < 0.1			Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X9613304													Dn, < 0.01	
X9613306		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9613307						Up, < 0.001	Up, < 0.1	Up, < 0.01		Up, < 0.001				
X9613308				Dn, < 0.1	Dn, < 0.1	Dn, < 0.1							Dn, < 0.1	
X9613310						Up, < 0.1		Up, < 0.1						
X9613311	Up, < 0.1					Up, < 0.01		Up, < 0.1		Up, < 0.01				
X9613312					Up, < 0.1	Dn, < 0.1								
X9613319														Dn, < 0.1
X9613320														Dn, < 0.1
X9613321					Dn, < 0.1									
X9613323					Dn, < 0.01									
X9613325		Up, < 0.1		Up, < 0.1			Dn, < 0.1							
X9613326		Up, < 0.1		Up, < 0.1	Dn, < 0.1	Dn, < 0.01	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1				
X9613327					Up, < 0.1								Dn, < 0.1	
X9613335		Dn, < 0.1		Dn, < 0.1						Up, < 0.1		Up, < 0.1		
X9613337					Up, < 0.001	Up, < 0.01	Up, < 0.1							Up, < 0.1
X9613338					Up, < 0.01	Up, < 0.1								Up, < 0.1
X9613339		Dn, < 0.1		Dn, < 0.1										
X9613340							Up, < 0.1							
X9613341						Up, < 0.1								
X9613342		Dn, < 0.01		Dn, < 0.01									Up, < 0.1	Dn, < 0.1
X9613343						Up, < 0.1				Up, < 0.1				
X9613344							Dn, < 0.1		Up, < 0.1					
X9613345		Dn, < 0.1		Dn, < 0.1										
X9613347							Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X9613349		Dn, < 0.1		Dn, < 0.1										
X9613350						Up, < 0.1	Up, < 0.1		Dn, < 0.01				Up, < 0.01	
X9613351	Up, < 0.1	Dn, < 0.1		Dn, < 0.1										
X9613352		Dn, < 0.001		Dn, < 0.001									Up, < 0.1	Dn, < 0.1
X9613353	Up, < 0.1	Dn, < 0.1		Dn, < 0.1										
X9613355	Up, < 0.1	Dn, < 0.1		Dn, < 0.1										
X9613356						Up, < 0.1	Up, < 0.1						Up, < 0.1	
X9613357	Up, < 0.1	Dn, < 0.1		Dn, < 0.1										
X9613358	Up, < 0.1							Dn, < 0.001				Up, < 0.01		
X9613359			Up, < 0.1											
X9613360	Up, < 0.1													
X9613361		Dn, < 0.1		Dn, < 0.1		Up, < 0.1				Up, < 0.1				
X9613362						Up, < 0.1	Up, < 0.1			Up, < 0.1			Up, < 0.1	
X9613363	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1										
X9613364		Dn, < 0.1		Dn, < 0.1									Up, < 0.1	
X9613366						Up, < 0.1								
X9613367											Dn, < 0.1		Up, < 0.1	Dn, < 0.1
X9613370	Up, < 0.1						Up, < 0.1		Dn, < 0.1				Up, < 0.1	
X9613372											Dn, < 0.1			
X9613373													Up, < 0.1	Dn, < 0.1
X9613374							Up, < 0.1		Dn, < 0.1					
X9613377						Up, < 0.1				Up, < 0.1			Up, < 0.1	
X9613378	Up, < 0.1	Dn, < 0.1		Dn, < 0.1										
X9613379							Up, < 0.1							
X9613380						Up, < 0.1	Up, < 0.1						Up, < 0.1	
X9613381		Dn, < 0.1		Dn, < 0.1										
X9613384		Dn, < 0.1		Dn, < 0.1			Up, < 0.01		Dn, < 0.1		Dn, < 0.01		Up, < 0.1	
X9613386						Up, < 0.1	Up, < 0.1						Up, < 0.1	
X9613387									Dn, < 0.1				Up, < 0.01	
X9613388	Dn, < 0.1		Dn, < 0.1											
X9613389										Up, < 0.1		Up, < 0.1		
X9613391							Up, < 0.1		Dn, < 0.1				Up, < 0.01	
X9613394		Dn, < 0.001		Dn, < 0.001										Dn, < 0.1
X9613395						Up, < 0.1	Up, < 0.1						Up, < 0.1	
X9613396			Dn, < 0.1			Up, < 0.1								
X9613397		Dn, < 0.1		Dn, < 0.1										
X9613400	Up, < 0.1	Dn, < 0.1		Dn, < 0.1										
X9613402		Dn, < 0.1		Dn, < 0.1			Up, < 0.1		Dn, < 0.01		Dn, < 0.1			
X9613403		Dn, < 0.1		Dn, < 0.1						Up, < 0.1	Up, < 0.1			
X9613406							Up, < 0.1	Dn, < 0.1	Dn, < 0.01					
X9613407						Up, < 0.1							Up, < 0.1	
X9613409						Up, < 0.01		Up, < 0.1						
X9613411					Up, < 0.1									
X9613412						Up, < 0.1							Up, < 0.1	
X9613413					Up, < 0.1									
X9613414													Up, < 0.1	
X9613415		Dn, < 0.1		Dn, < 0.1						Up, < 0.1				Dn, < 0.1
X9613416							Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X9613418		Dn, < 0.01		Dn, < 0.01										
X9613420						Up, < 0.1	Up, < 0.1						Up, < 0.1	
X9613421	Dn, < 0.1		Dn, < 0.1		Up, < 0.1									
X9613422	Up, < 0.1	Dn, < 0.01	Up, < 0.1	Dn, < 0.01										
X9613424							Up, < 0.1		Dn, < 0.1					
X9613425							Up, < 0.1							
X9613428						Up, < 0.1	Up, < 0.1						Up, < 0.01	
X9613429							Up, < 0.1		Dn, < 0.1					
X9613433	Up, < 0.1	Dn, < 0.1		Dn, < 0.1				Dn, < 0.1	Dn, < 0.1					
X9613436								Dn, < 0.1	Dn, < 0.1				Up, < 0.1	
X9613437					Up, < 0.01			Dn, < 0.1					Up, < 0.1	
X9613438			Up, < 0.01											
X9613439	Up, < 0.1				Up, < 0.1									
X9613442						Dn, < 0.1	Dn, < 0.1		Up, < 0.1					
X9613444		Dn, < 0.1												
X9613445									Dn, < 0.1					
X9613446						Up, < 0.1	Up, < 0.1						Up, < 0.1	
X9613447													Up, < 0.1	
X9613448	Up, < 0.01	Dn, < 0.001	Up, < 0.1	Dn, < 0.01									Up, < 0.1	Dn, < 0.1
X9613450			Up, < 0.1											
X9613451	Up, < 0.1								Dn, < 0.1					
X9613453		Dn, < 0.1												
X9613454						Up, < 0.1							Up, < 0.1	
X9613455	Up, < 0.1													
X9613456		Dn, < 0.1		Dn, < 0.1										
X9613459		Dn, < 0.001		Dn, < 0.01										Dn, < 0.1
X9613460		Dn, < 0.01		Dn, < 0.1										
X9613461									Dn, < 0.1					Dn, < 0.1
X9613462														Dn, < 0.1
X9613463													Up, < 0.1	
X9613464		Dn, < 0.1		Dn, < 0.1										
X9613465			Dn, < 0.1			Up, < 0.1								
X9613466		Dn, < 0.1		Dn, < 0.1										
X9613467										Up, < 0.1		Up, < 0.1		
X9613469		Dn, < 0.1		Dn, < 0.1										
X9613471							Up, < 0.1		Dn, < 0.1					
X9613472											Dn, < 0.1			
X9613473			Dn, < 0.1											
X9613475							Dn, < 0.1				Up, < 0.1			
X9613476							Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X9613477						Up, < 0.1								
X9613479						Up, < 0.1								
X9613481							Up, < 0.1		Dn, < 0.1					
X9613482					Up, < 0.1	Up, < 0.1								
X9613483		Dn, < 0.1		Dn, < 0.1										
X9613487										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		
X9613488	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1		Up, < 0.1	Up, < 0.1							
X9613491		Dn, < 0.01		Dn, < 0.01					Dn, < 0.1				Up, < 0.1	Dn, < 0.1
X9613496		Dn, < 0.01		Dn, < 0.01										
X9613498										Dn, < 0.1		Dn, < 0.1		
X9613499		Dn, < 0.1		Dn, < 0.1			Up, < 0.1							
X9613500	Up, < 0.1		Up, < 0.1					Dn, < 0.1						
X9613501	Up, < 0.1													
X9613502						Up, < 0.1							Up, < 0.1	
X9613504	Up, < 0.1	Dn, < 0.1		Dn, < 0.1										
X9613505	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1					Dn, < 0.1		Dn, < 0.1			
X9613506		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9613507		Dn, < 0.01		Dn, < 0.01						Up, < 0.1		Up, < 0.1		
X9613508	Up, < 0.1	Dn, < 0.1		Dn, < 0.1				Dn, < 0.1	Dn, < 0.1					
X9613509								Dn, < 0.1	Dn, < 0.1					
X9613510								Up, < 0.1				Dn, < 0.1		
X9613513	Dn, < 0.1		Dn, < 0.1				Up, < 0.1							
X9613514	Up, < 0.1	Dn, < 0.1		Dn, < 0.1				Dn, < 0.1	Dn, < 0.1		Dn, < 0.1			
X9613518														Dn, < 0.1
X9613519								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X9613520	Up, < 0.1	Dn, < 0.1											Up, < 0.1	
X9613523		Dn, < 0.1		Dn, < 0.1										
X9613525		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9613527													Up, < 0.1	
X9613528	Up, < 0.1	Dn, < 0.1		Dn, < 0.1			Up, < 0.1	Dn, < 0.1	Dn, < 0.01					
X9613530														Dn, < 0.1
X9613534						Up, < 0.1	Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X9613535													Up, < 0.1	
X9613536		Up, < 0.1		Up, < 0.1		Up, < 0.1	Up, < 0.1							
X9613538			Up, < 0.1											
X9613539		Dn, < 0.01		Dn, < 0.01							Up, < 0.1			Dn, < 0.1
X9613540		Dn, < 0.1		Dn, < 0.1									Up, < 0.1	
X9613541		Dn, < 0.1		Dn, < 0.1						Dn, < 0.1			Up, < 0.1	
X9613543							Up, < 0.1	Dn, < 0.1	Dn, < 0.01					
X9613544														Dn, < 0.1
X9613545						Up, < 0.001	Up, < 0.1			Up, < 0.1			Up, < 0.1	
X9613547									Dn, < 0.1		Dn, < 0.1			
X9613551	Dn, < 0.1													
X9613552	Up, < 0.1		Up, < 0.1						Dn, < 0.1					
X9613553													Up, < 0.1	Dn, < 0.1
X9613557	Up, < 0.1							Dn, < 0.1	Dn, < 0.1					
X9613558		Dn, < 0.1		Dn, < 0.1	Up, < 0.1			Dn, < 0.1						
X9613559		Dn, < 0.1		Dn, < 0.1			Up, < 0.1		Dn, < 0.01		Dn, < 0.1			
X9613560	Up, < 0.01													
X9613561		Dn, < 0.1		Dn, < 0.1				Dn, < 0.1						
X9613563									Dn, < 0.1				Up, < 0.1	
X9613564		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1									
X9613565		Dn, < 0.1		Dn, < 0.1										
X9613566	Up, < 0.1	Dn, < 0.001		Dn, < 0.001										Dn, < 0.01
X9613567					Up, < 0.1									
X9613568													Up, < 0.1	
X9613569									Dn, < 0.1	Up, < 0.1		Up, < 0.1		
X9613570							Up, < 0.1	Dn, < 0.1	Dn, < 0.01		Dn, < 0.1			
X9613571		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9613572	Dn, < 0.1							Up, < 0.1						Dn, < 0.1
X9613573		Dn, < 0.1		Dn, < 0.1	Up, < 0.1								Up, < 0.1	
X9613575	Up, < 0.1													
X9613576		Dn, < 0.1		Dn, < 0.1				Dn, < 0.1						
X9613584						Up, < 0.01	Up, < 0.1			Up, < 0.1				
X9613585		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9613586										Dn, < 0.1	Dn, < 0.1		Up, < 0.1	Dn, < 0.1
X9613587						Up, < 0.1							Up, < 0.1	
X9613588							Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X9613589									Dn, < 0.1					Dn, < 0.1
X9613590							Up, < 0.1	Dn, < 0.1	Dn, < 0.01			Up, < 0.1	Up, < 0.01	
X9613591		Dn, < 0.1		Dn, < 0.1										
X9613593							Up, < 0.1			Dn, < 0.1	Dn, < 0.01	Dn, < 0.1		
X9613595		Up, < 0.1		Up, < 0.1						Up, < 0.1	Up, < 0.1		Up, < 0.1	
X9613600						Dn, < 0.1								Dn, < 0.1
X9613601								Dn, < 0.1		Up, < 0.1		Up, < 0.01		
X9613602													Up, < 0.1	
X9613603														Dn, < 0.1
X9613606		Dn, < 0.01		Dn, < 0.01									Up, < 0.1	Dn, < 0.1
X9613607						Up, < 0.1	Up, < 0.1						Up, < 0.1	
X9613608			Up, < 0.1					Dn, < 0.1	Dn, < 0.1			Up, < 0.1	Up, < 0.1	
X9613609													Up, < 0.1	
X9613611					Up, < 0.1								Up, < 0.1	
X9613612					Up, < 0.1									
X9613614		Dn, < 0.1												
X9613615							Dn, < 0.1		Up, < 0.1					
X9613616					Up, < 0.1								Up, < 0.1	Dn, < 0.1
X9613618							Up, < 0.1							
X9613619			Up, < 0.1		Up, < 0.1									
X9613620		Dn, < 0.1												
X9613621		Dn, < 0.1		Dn, < 0.1					Dn, < 0.1					
X9613622			Up, < 0.1											
X9613623								Dn, < 0.1						
X9613625		Dn, < 0.1		Dn, < 0.1				Dn, < 0.1				Up, < 0.1		
X9613626						Up, < 0.1	Up, < 0.1		Dn, < 0.1					
X9613628	Up, < 0.1		Up, < 0.1											
X9613629													Up, < 0.1	
X9613630							Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X9613631									Dn, < 0.1					
X9613633	Up, < 0.1	Dn, < 0.1		Dn, < 0.1						Dn, < 0.1	Dn, < 0.1			
X9613635		Dn, < 0.1		Dn, < 0.1										
X9613636							Up, < 0.1		Dn, < 0.1					
X9613637										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9613638					Dn, < 0.1									
X9613639														Dn, < 0.1
X9613641									Dn, < 0.1		Dn, < 0.1			
X9613642		Dn, < 0.01		Dn, < 0.1										
X9613643										Up, < 0.1				
X9613644		Dn, < 0.1		Dn, < 0.1										
X9613646					Up, < 0.01									Dn, < 0.1
X9613647		Dn, < 0.1		Dn, < 0.1									Up, < 0.1	
X9613650		Dn, < 0.01		Dn, < 0.01	Up, < 0.1									
X9613652		Dn, < 0.1		Dn, < 0.1										
X9613654				Dn, < 0.1										
X9613655										Up, < 0.1				
X9613656											Dn, < 0.1			
X9613658												Up, < 0.1		
X9613659					Up, < 0.1									
X9613660		Dn, < 0.1		Dn, < 0.1										
X9613661					Up, < 0.1									
X9613662	Dn, < 0.1					Up, < 0.01	Up, < 0.01			Up, < 0.1				
X9613664		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1								
X9613665	Up, < 0.01	Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Up, < 0.1									Dn, < 0.1
X9613667						Up, < 0.1							Up, < 0.01	Dn, < 0.1
X9613668		Up, < 0.01		Up, < 0.01									Up, < 0.1	
X9613669								Dn, < 0.1						
X9613670		Dn, < 0.1						Dn, < 0.1	Dn, < 0.1				Up, < 0.1	
X9613671							Up, < 0.01	Dn, < 0.1	Dn, < 0.01		Dn, < 0.1			
X9613672	Up, < 0.1	Dn, < 0.1		Dn, < 0.1									Up, < 0.1	
X9613673							Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X9613674					Up, < 0.1									
X9613675													Up, < 0.1	
X9613676								Dn, < 0.1	Dn, < 0.1				Up, < 0.1	
X9613677														Dn, < 0.1
X9613678					Up, < 0.01									
X9613679						Up, < 0.1	Up, < 0.01		Dn, < 0.1		Dn, < 0.1			
X9613680	Up, < 0.1								Dn, < 0.1		Dn, < 0.1			
X9613681	Dn, < 0.1					Up, < 0.1							Up, < 0.1	
X9613682									Dn, < 0.1					
X9613683		Dn, < 0.1		Dn, < 0.1	Up, < 0.1			Up, < 0.1				Dn, < 0.1		Dn, < 0.1
X9613684	Up, < 0.1	Dn, < 0.1												
X9613685		Dn, < 0.01		Dn, < 0.1			Dn, < 0.1							
X9613686		Dn, < 0.1					Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X9613687		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9613688	Up, < 0.1		Up, < 0.1								Dn, < 0.1			
X9613689										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1
X9613691													Up, < 0.1	
X9613693								Dn, < 0.1	Dn, < 0.1					
X9613694	Dn, < 0.1		Dn, < 0.1				Up, < 0.01	Up, < 0.1						
X9613695								Dn, < 0.1	Dn, < 0.01			Up, < 0.1		
X9613696		Dn, < 0.1		Dn, < 0.1	Up, < 0.1								Up, < 0.1	
X9613697							Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X9613700		Dn, < 0.1											Up, < 0.1	Dn, < 0.1
X9613708		Dn, < 0.1		Dn, < 0.1		Up, < 0.1	Up, < 0.1			Up, < 0.1		Up, < 0.1		
