MET_CHEM_NO	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X9400381		Dn, < 0.1		Dn, < 0.1				Dn, < 0.1				Up, < 0.1		Dn, < 0.01
X9400382										Dn, < 0.1				
X9400385								Dn, < 0.01				Up, < 0.1		
X9400386											Up, < 0.1	Up, < 0.1		
X9400391								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9400392								Dn, < 0.1						
X9400394					Up, < 0.1									Dn, < 0.1
X9400397							Dn, < 0.1		Up, < 0.1		Up, < 0.1			
X9400399					Up, < 0.1									
X9400400								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9400403	Dn, < 0.1			Dn, < 0.1										Dn, < 0.1
X9400404													Dn, < 0.1	
X9400405												Up, < 0.1	Up, < 0.1	
X9400410				Dn, < 0.1				Dn, < 0.1						Dn, < 0.1
X9400411												Up, < 0.1		
X9400412								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X9400413								Up, < 0.1						
X9400416								Dn, < 0.1	Dn, < 0.1			Up, < 0.1	Up, < 0.01	
X9400419	Dn, < 0.1													
X9400420						Up, < 0.1							Up, < 0.001	
X9400421												Up, < 0.1		
X9400423												Up, < 0.1		Dn, < 0.1
X9400426		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1								
X9400427								Dn, < 0.1			Up, < 0.1	Up, < 0.1		
X9400431														Dn, < 0.01
X9400432					Dn, < 0.1			Dn, < 0.1				Up, < 0.1		
X9400434														Dn, < 0.1
X9400435					Up, < 0.001	Dn, < 0.1							Dn, < 0.1	
X9400437		Dn, < 0.1		Dn, < 0.01		Dn, < 0.1								Dn, < 0.1
X9400439					Up, < 0.1	Dn, < 0.1		Dn, < 0.1						
X9400440										Up, < 0.1		Up, < 0.1		
X9400442	Dn, < 0.1													
X9400443		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9400445								Dn, < 0.1				Up, < 0.1		
X9400446														Dn, < 0.1
X9400448								Up, < 0.1						
X9400449					Dn, < 0.001	Up, < 0.1							Up, < 0.1	Up, < 0.01
X9400450		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9400453													Dn, < 0.1	
X9400457								Dn, < 0.1				Up, < 0.1		
X9400458	Up, < 0.1							Dn, < 0.1					Up, < 0.1	
X9400459								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9400464								Dn, < 0.01				Up, < 0.1		
X9400465													Up, < 0.1	
X9400467								Up, < 0.1				Dn, < 0.1		
X9400468								Dn, < 0.1	Dn, < 0.1					
X9400471								Dn, < 0.1					Up, < 0.1	
X9400472													Dn, < 0.1	
X9400474												Up, < 0.1		
X9400475		Dn, < 0.1		Dn, < 0.1										
X9400476	Dn, < 0.1				Up, < 0.1									
X9400478								Dn, < 0.1						
X9400479		Up, < 0.1		Up, < 0.1										
X9400480					Dn, < 0.1									
X9400481					Dn, < 0.1			Dn, < 0.1						
X9400484														Dn, < 0.01
X9400489								Dn, < 0.01		Up, < 0.1	Up, < 0.1	Up, < 0.01		
X9400490													Up, < 0.1	
X9400491														Dn, < 0.1
X9400495		Up, < 0.1	Up, < 0.1	Up, < 0.1			Up, < 0.1	Dn, < 0.1	Dn, < 0.01		Dn, < 0.1		Up, < 0.1	
X9400497		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1		
X9400498			Dn, < 0.1					Up, < 0.1				Dn, < 0.1	Dn, < 0.1	
X9400499						Up, < 0.1								
X9400500		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9400501								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9400502						Dn, < 0.1		Dn, < 0.1				Up, < 0.1		
X9400504					Dn, < 0.1		Up, < 0.01		Dn, < 0.1		Dn, < 0.1			
X9400505								Up, < 0.1				Dn, < 0.1		
X9400510												Up, < 0.1		Dn, < 0.1
X9400511					Up, < 0.1			Dn, < 0.1			Up, < 0.1	Up, < 0.1		Dn, < 0.1
X9400512					Up, < 0.1									
X9400514										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1
X9400515		Up, < 0.1		Up, < 0.1				Dn, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9400517					Up, < 0.1								Dn, < 0.1	
X9400523								Dn, < 0.1						
X9400524								Dn, < 0.1	Dn, < 0.1		Dn, < 0.1			
X9400526							Dn, < 0.1				Up, < 0.1			
X9400527										Up, < 0.1		Up, < 0.1		Up, < 0.1
X9400528		Up, < 0.1		Up, < 0.1									Up, < 0.1	
X9400529											Dn, < 0.1			
X9400530										Up, < 0.01	Up, < 0.1	Up, < 0.1		
X9400531									Dn, < 0.1				Up, < 0.1	
X9400533													Up, < 0.1	
X9400535													Up, < 0.1	
X9400537					Up, < 0.1									
X9400539					Up, < 0.01							Up, < 0.1		
X9400540								Dn, < 0.01	Dn, < 0.1			Up, < 0.01	Up, < 0.01	
X9400541								Up, < 0.001	Up, < 0.01			Dn, < 0.01		
X9400547					Dn, < 0.1									
X9400548					Up, < 0.1									
X9400551						Up, < 0.1				Up, < 0.01	Up, < 0.1	Up, < 0.01	Up, < 0.1	
X9400552												Up, < 0.1	Up, < 0.1	Up, < 0.1
X9400553							Dn, < 0.1		Up, < 0.1					Up, < 0.1
X9400555										Up, < 0.1		Up, < 0.1		
X9400556	Up, < 0.1				Up, < 0.1								Up, < 0.1	Dn, < 0.1
X9400557	Up, < 0.1		Up, < 0.1											
X9400558	Up, < 0.1		Up, < 0.1					Dn, < 0.1				Up, < 0.1		
X9400559						Dn, < 0.1	Dn, < 0.01		Up, < 0.1		Up, < 0.1			Up, < 0.1
X9400560					Dn, < 0.1						Dn, < 0.1	Dn, < 0.1		
X9400561		Up, < 0.1		Up, < 0.1	Dn, < 0.01									
X9400563	Dn, < 0.1													
X9400564	Dn, < 0.1													
X9400565	Dn, < 0.1	Up, < 0.01	Dn, < 0.1	Up, < 0.01	Dn, < 0.1			Up, < 0.1						Up, < 0.1
X9400566								Dn, < 0.1						
X9400567					Up, < 0.1								Up, < 0.1	
X9400568													Up, < 0.1	
