Row_ID	p_volcano|groups|oily-norm	p_volcano|base|sebum	p_volcano|base|skicon
1849	0.07	0.132	1.161
1850	0.319	0.457	0.094
1851	0.191	0.104	0.1
1853	0.916	1.21	0.85
1854	0.156	0.354	0.133
1855	1.311	0.545	1.042
1856	0.452	0.313	0.106
1857	0.068	0.167	0.284
1858	0.48	0.254	1.453
1859	0.691	0.083	0.182
1860	0.231	0.035	0.142
1861	1.028	1.197	0.737
1862	0.05	0.055	0.04
1864	1.964	0.893	0.271
1865	0.152	0.133	0.354
1866	0.297	0.391	0.192
1868	2.281	2.877	1.432
1869	0.966	0.767	0.397
1870	1.152	1.325	0.04
1871	0.445	0.034	1.914
1872	0.014	0.016	0.439
1874	0.239	0.001	0.403
1876	0.701	0.498	1.66
1877	0.019	0.147	0.109
1878	0.139	0.586	2.084
1879	1.941	0.85	0.069
1881	0.538	0.827	0.214
1882	0.954	1.267	0.228
1883	0.445	0.527	1.403
1884	0.371	0.498	0.222
1885	0.308	0.23	1.365
1886	0.124	0.141	0.787
1888	0.024	0.19	0.386
1889	0.07	0.109	2.145
1891	0.507	0.169	0.453
1892	0.068	0.143	0.506
1893	0.025	0.154	0.209
1894	1.13	1.021	2.65
1895	0.112	0.168	1.037
1896	0.82	0.36	0.375
1897	0.168	0.194	0.231
1898	0.363	0.175	0.178
1899	0.073	0.209	0.046
1900	0.3	0.232	0.355
1901	0.378	0.047	1.331
1902	0.15	0.813	0.79
1904	0.361	0.449	0.115
1905	1.635	1.126	0.352
1906	1.83	2.035	0.179
1907	0.786	0.528	0.274
1908	0.349	0.309	1.266
1912	0.026	0.977	0.313
1913	0.427	0.589	0.066
1914	0.343	0.116	0.465
1915	0.671	0.228	0.781
1917	1.445	0.467	0.421
1918	0.31	0.127	0.498
1919	0	0.093	0.487
1921	0.146	0.261	0.067
1922	0.904	0.778	0.665
1923	0.446	0.353	0.615
1924	1.393	0.584	0.126
1925	0.869	0.728	0.039
1926	0.314	0.355	0.12
1927	0.164	0.093	0.602
1931	1.184	0.295	2.505
1932	1.197	1.107	0.998
1933	0.108	0.114	1.95
1934	1.209	1.257	0.191
1935	0.358	0.048	1.145
1936	0.51	0.712	0.314
1937	1.941	2.6	0.144
1938	0.233	0.378	1.133
1939	0.237	0.825	0.98
1940	0.209	0.294	0.251
1942	0.207	0.154	0.175
1943	0.011	0.278	0.364
1944	0.447	0.222	0.711
1945	0.188	0.473	0.746
1946	0.042	0.304	0.198
1948	1.156	0.878	0.867
1949	0.03	0.229	0.814
1951	0.921	2.262	0.306
1952	0.579	0.52	1.183
1953	0.02	0.142	0.692
1954	0.865	0.39	0.102
1955	0.557	0.435	0.596
1956	0.044	0.137	0.079
1957	0.087	0.319	0.025
1958	0.069	0.234	0.247
1959	1.19	0.971	0.518
1960	0.374	0.422	1.358
1962	0.865	0.55	0.624
1963	1.69	1.007	0.204
1964	0.2	0.251	0.322
1965	0.067	0.075	0.983
1966	0.304	0.01	1.562
1967	0.718	1.159	0.02
1968	0.382	0.748	0.229
1969	0.251	0.051	3.645
1971	0.593	0.309	1.088
1972	0.956	1.077	0.738
1973	0.088	0.13	0.079
1975	1.399	0.553	1.222
1976	0.057	0.017	0.091
1977	0.36	0.115	0.916
1978	0.374	0.546	0.869
1980	0.522	0.894	0.217
1981	0.687	0.163	0.656
1982	0.501	0.213	0.649
1983	0.647	1.019	1.247
1984	0.165	0.25	1.199
1985	0.583	0.964	1.801
1988	0.906	0.883	0.653
1989	0.008	0.123	0.194
1990	1.661	1.088	1.076
1991	0.628	0.481	0.103
1992	0.17	0.194	0.283
1993	0.264	0.035	0.173
1994	0.891	1.232	0.29
1995	0.072	0.01	0.03
1996	0.197	0.308	0.734
1997	0.327	0.056	0.191
1998	0.222	0.153	0.585
1999	0.902	0.832	0.037
2001	0.126	0.217	0.088
2002	0.343	0.017	1.634
2003	0.314	0.652	0.565
2005	0.735	0.766	0.483
2006	0.083	0.103	0.24
2007	0.061	0.097	0.494
2008	0.156	0.173	0.443
2009	0.187	0.293	0.256
2010	0.194	0.012	2.693
2011	0.387	0.011	0.7
2012	0.567	0.295	0.256
2014	0.15	0.811	0.464
2015	0.227	0.431	0.319
2016	0.529	0.182	0.95
2017	0.026	0.28	0.018
2018	1.115	0.121	0.965
2019	0.342	0.062	0.162
2020	0.915	0.722	0.252
2021	0.549	0.688	0.279
2022	0.172	0.087	1.04
2026	0.034	0.108	0.206
2027	0.663	0.439	0.431
2028	0.483	0.132	2.126
2029	0.835	0.197	0.862
2032	1.313	1.571	0.238
2034	0.306	0.317	0.011
2035	0.371	0.472	0.256
2036	0.128	0.436	0.33
2037	0.118	0.083	0.366
2039	0.054	0.135	0.015
2040	0.325	0.44	0.261
2041	0.646	0.597	1.012
2042	1.049	1.477	0.591
2046	0.499	0.29	0.504
2047	0.223	0.346	1.382
2048	0.114	0.25	1.146
2049	0.373	0.113	1.19
2051	0.598	0.12	0.904
2054	0.997	0.475	1.232
2055	0.067	0.168	0.5
2056	0.315	0.578	0.225
2058	0.377	0.066	1.897
2060	0.53	1.241	0.044
2061	0.056	0.046	0.911
2065	0.249	0.036	0.95
2066	0.114	0.302	0.2
2067	0.669	0.408	0.054
2068	0.153	0.301	0.226
2069	0.234	0.16	0.468
2071	0.088	0.465	1.983
2072	0.225	0.942	0.717
2073	0.038	0.001	1.488
2076	0.549	0.22	1.138
2077	0.256	0.338	0.143
2078	0.186	0.56	0.625
2079	0.288	0.091	1.18
2080	1.305	0.433	1.111
2082	0.483	0.659	0.274
2084	0.142	0.032	0.523
2085	1.016	0.266	0.698
2086	0.677	0.29	2.992
2088	0.209	0.219	0.077
2089	1.557	2.167	0.324
2091	0.01	0.058	0.248
2092	0.001	0.134	0.248
2093	0.427	0.047	0.156
2094	0.4	0.877	0.11
2095	1.067	0.162	0.67
2096	0.064	0.08	0.917
2097	0.276	0.158	0.069
2100	0.014	0.208	1.223
2101	0.335	0.024	0.322
2102	0.825	0.631	0.712
2103	0.119	0.15	1.286
2104	0.715	0.578	0.092
2105	0.286	0.988	2.528
2107	0.21	0.128	0.307
2111	0.181	0.43	0.08
2112	0.689	0.621	0.649
2113	1.288	1.075	0.854
2115	0.094	0.237	0.375
2117	0.009	0.076	0.223
2120	0.551	0.873	2.611
2122	0.488	0.387	1.815
2124	0.141	0.122	0.165
2125	0.455	1.107	0.852
2127	1.463	1.032	1.335
2128	0.128	0.197	0.083
2130	0.052	0.33	0.296
2132	0.089	0.101	0.874
2133	0.105	0.506	0.379
2135	0.056	0.116	1.226
2136	0.345	0.379	0.371
2139	0.189	0.213	0.492
