Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
1977	< 0.1	< 0.1	
1978			< 0.1
1979	< 0.1	< 0.1	
1980			< 0.1
1984	< 0.1	< 0.01	
1986			< 0.1
1990			< 0.1
1992			< 0.1
1997			< 0.01
1998	< 0.1		
2001			< 0.1
2002	< 0.1	< 0.1	
2006	< 0.1		
2010		< 0.1	< 0.1
2013			< 0.01
2016			< 0.1
2017	< 0.001	< 0.01	< 0.1
2030		< 0.1	
2031		< 0.1	
2032		< 0.01	
2033	< 0.1		
2045	< 0.1	< 0.01	
2047			< 0.1
2050		< 0.1	
2060			< 0.1
2067			< 0.1
2070			< 0.1
2073			< 0.1
2075			< 0.1
2076			< 0.1
2078			< 0.1
2084			< 0.1
2096		< 0.1	
2099			< 0.1
2101			< 0.1
2102	< 0.1		
2103			< 0.1
2104	< 0.1	< 0.1	
2113		< 0.1	
2114			< 0.1
2119			< 0.1
2125	< 0.1	< 0.1	
2127			< 0.1
2145			< 0.1
2155			< 0.01
2158			< 0.1
2159			< 0.1
2161	< 0.1	< 0.1	< 0.01
2167		< 0.1	
2169		< 0.1	
2173			< 0.1
2175	< 0.1	< 0.1	
2180	< 0.1	< 0.1	
2181		< 0.1	
2185	< 0.01		
2188			< 0.1
2191	< 0.1	< 0.1	
2195	< 0.1		
2200	< 0.1	< 0.1	
2201			< 0.1
2202		< 0.1	< 0.1
2204			< 0.1
2208			< 0.1
2210	< 0.1	< 0.1	
2211	< 0.1	< 0.1	
2212		< 0.1	
2214	< 0.1	< 0.1	
2217			< 0.1
2220		< 0.1	
2222	< 0.001	< 0.001	
2230	< 0.1	< 0.1	
2232			< 0.01
2242			< 0.1
2251		< 0.1	
2252			< 0.1
2253			< 0.1
2255	< 0.1		
2258	< 0.1	< 0.1	
2264		< 0.1	
2266	< 0.1		
2269	< 0.1		< 0.1
2276	< 0.1	< 0.1	
2277	< 0.1		
2278	< 0.1		
2280		< 0.1	< 0.1
2291	< 0.1		< 0.1
2294	< 0.01	< 0.1	
2296		< 0.1	< 0.1
2297	< 0.1	< 0.01	
2298			< 0.1
2301			< 0.1
2302			< 0.1
2303			< 0.1
2304	< 0.01	< 0.01	
2305			< 0.1
2315		< 0.1	
2316		< 0.1	
2322	< 0.1	< 0.1	
2324		< 0.1	
2330		< 0.1	
2331		< 0.1	
2333		< 0.1	
2338	< 0.1	< 0.1	
2340			< 0.1
2342		< 0.1	
2344		< 0.1	
2347	< 0.1	< 0.1	
2348		< 0.1	< 0.1
2350	< 0.1	< 0.1	
2351		< 0.1	
2352		< 0.1	
2353			< 0.1
2358		< 0.1	
2360			< 0.1
2362	< 0.1		
2368			< 0.1
2376			< 0.1
2380		< 0.1	
2384			< 0.1
2388		< 0.1	
2389	< 0.1	< 0.1	
2390	< 0.1		< 0.1
2392		< 0.1	
2393		< 0.1	< 0.1
2397		< 0.1	
2404			< 0.1
2405			< 0.1
2408			< 0.01
2410		< 0.1	
2419			< 0.1
2426			< 0.1
2427		< 0.1	
2428	< 0.1		< 0.1
2429			< 0.1
2434	< 0.1	< 0.001	
2454			< 0.1
2456			< 0.1
2464			< 0.1
2465			< 0.1
2470			< 0.1
2472			< 0.1
2473			< 0.1
2475	< 0.1		
2487			< 0.1
2489	< 0.1		
2501			< 0.1
2508			< 0.01
2515	< 0.1		
2519			< 0.1
2527	< 0.1		
2528		< 0.1	
2533	< 0.1	< 0.1	
2537	< 0.1		
2549			< 0.1
2550			< 0.01
2556		< 0.01	
2561			< 0.1
2563			< 0.1
2573	< 0.1	< 0.1	
2577			< 0.1
2582			< 0.1
2586		< 0.1	
2588			< 0.1
2589	< 0.1	< 0.1	
2597			< 0.1
2602			< 0.1
2606	< 0.1		< 0.1
2611		< 0.1	
2615		< 0.1	
2619		< 0.1	
2620	< 0.1	< 0.1	
2624	< 0.001	< 0.001	< 0.001
2626	< 0.1		
2638	< 0.01	< 0.01	
2640	< 0.1	< 0.1	
2644		< 0.1	
