Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
469	2.056	2.681	-0.513
470	-0.299	-1.082	-0.022
472	-0.099	-0.543	0.141
473	-0.537	-1.366	1.106
474	0.307	0.196	-0.777
475	-0.641	-0.5	0.359
476	0.728	0.463	-0.025
477	0.464	0.778	0.374
478	0.026	0.088	0.054
479	-0.176	0.037	-0.008
480	0.1	-0.052	-0.798
481	0.078	-0.112	-0.138
482	2.459	4.236	0.183
483	-0.255	0.153	0.716
484	-0.151	-0.72	-0.026
485	-0.259	0.135	0.631
486	1.343	1.78	0.256
487	0.162	-0.352	-0.737
488	-0.334	-0.251	-0.101
489	0.277	0.725	-0.332
490	-0.032	0.531	0.6
491	0.304	0.161	-0.072
492	-1.472	-1.371	1.15
493	0.174	-0.015	-0.048
494	-1.234	-0.629	-0.053
495	-0.268	-0.183	0.114
498	-0.091	-0.305	0.886
499	-3.786	-4.292	3.357
500	0.122	0.524	-0.025
501	-0.381	-0.514	0.368
502	0.853	1.606	0.541
503	-0.205	0.19	0.547
505	0.294	0.986	-0.707
506	0.156	1.305	0.022
507	-0.222	-0.452	0.645
508	-0.012	0.184	0.301
509	-1.307	-1.031	-0.037
511	0.157	0.246	-0.136
512	0.283	-0.219	0.558
517	0.322	0.225	0.763
518	0.178	0.164	-0.897
519	-0.914	-1.297	-0.039
521	0.03	0.147	-0.448
522	-0.096	-0.206	1.01
523	-0.013	-0.121	-0.139
524	0.032	-0.122	-2.913
526	-0.786	-0.494	0.785
527	-0.013	0.284	0.104
528	0.187	0.219	-1.17
529	2.22	2.196	-0.009
532	-0.553	-0.668	1.044
533	-0.218	-0.197	-0.624
534	-0.245	-0.089	0.056
535	0.729	1.13	0.007
536	-1.131	-2.294	2.747
537	1.572	2.088	0.315
538	-0.218	-0.155	-0.122
540	-0.557	-0.773	-0.187
541	-0.082	0.457	-0.454
542	0.196	0.045	-0.985
543	0.087	0.02	0.349
544	-0.259	0.091	-0.136
545	-0.852	-0.738	0.238
548	1.19	3.317	-0.239
549	3.093	4.899	-0.354
550	0.232	-0.126	0.132
551	-0.582	-0.864	0.617
552	-0.92	-0.916	1.814
553	-0.076	0.196	-0.895
554	0.331	0.108	-0.257
555	-0.289	-0.353	0.016
556	0.06	0.426	0.072
557	-0.784	-0.439	0.791
558	1.369	1.557	-0.55
559	-0.45	-0.379	0.001
560	0.079	-0.003	-0.155
561	0.039	0.459	0.261
562	1.662	2.233	-0.42
563	1.203	1.705	0.048
564	-0.21	-0.69	-0.291
565	0.003	-0.382	-0.88
566	1.442	3.27	-0.809
567	0.271	-0.21	-1.341
568	0.439	1.035	0.403
570	0.069	-0.532	-0.207
571	-1.279	-1.315	0.47
572	-0.291	-0.233	1.272
573	0.093	-0.475	1.056
574	0.101	-0.023	-0.344
575	0.234	0.485	-0.05
576	0.5	1.064	0.713
577	0.032	-0.464	0.157
578	-0.515	-1.218	-0.204
579	0.32	0.36	-0.461
