Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
1528	-0.022	0.115	1.441
1529	-0.555	-0.705	-0.353
1530	-0.028	-0.001	0.867
1531	0.33	0.099	-0.826
1532	0.059	-0.215	0.11
1533	0.18	-0.103	-0.336
1534	-0.376	-0.482	-0.11
1538	-0.415	-0.299	-0.461
1539	0.157	-0.283	-1.262
1540	-0.916	-0.501	0.63
1541	-0.032	-0.029	0.382
1542	-0.547	-0.519	1.107
1543	-0.191	-0.49	0.361
1544	-0.03	-0.573	-0.208
1546	-1.662	-0.946	0.321
1547	-0.747	-0.355	-0.226
1548	-0.447	-0.409	-0.208
1549	-0.42	-0.698	0.306
1550	-0.81	-0.187	0.288
1551	-0.729	-0.852	0.227
1553	-0.675	-1.132	0.319
1554	0.288	-0.274	0.118
1555	0.247	0.103	0.246
1556	1.194	0.897	-0.246
1557	0.424	0.129	-1.154
1559	-0.134	-0.196	-0.115
1560	0.182	0.232	0.336
1562	0.137	0.194	-2.531
1563	0.338	0.001	-0.221
1565	-1.057	-1.055	-0.098
1567	-0.216	-0.283	0.373
1568	-0.308	-0.32	-0.403
1569	0.571	0.578	0.34
1570	-0.621	-0.902	-1.235
1571	-0.695	-1.282	1.239
1572	-1.095	-1	-0.055
1574	-0.955	-2.875	0.483
1575	-0.737	-1.161	0.189
1576	-0.776	-1.121	0.81
1577	-0.545	-1.544	-0.056
1578	-0.346	-1.392	-0.006
1579	0.185	-0.113	-1.138
1580	-0.734	-1.005	0.66
1581	-0.494	-0.423	-0.124
1582	-0.137	-0.01	-0.13
1585	0.658	0.421	-0.747
1586	0.128	-0.05	-0.334
1587	0.221	0.551	-0.101
1588	-0.079	-0.158	0.387
1589	0.072	-0.012	0.52
1590	-0.148	-0.116	-0.31
1591	-0.083	-0.006	-0.086
1592	-1.113	-1.665	0.269
1593	-0.787	-1.253	0.077
1594	1.003	0.924	-0.404
1596	0.376	0.156	0.154
1597	0.532	0.743	-0.546
1598	0.36	1.228	-0.009
1599	-0.792	-0.222	0.476
1600	0.031	0.018	-0.372
1601	0.033	-0.349	0.143
1602	-0.329	-0.81	0.281
1603	1.805	1.453	0.145
1604	-0.406	-1.227	0.609
1605	0.11	-0.171	-0.172
1608	-0.897	-0.972	0.192
1609	-0.24	0.097	0.715
1610	2.69	2.347	-0.694
1611	1.069	0.816	0.062
1612	-1.31	-1.206	1.116
1613	-1.031	-1.036	0.395
1614	0.164	-0.034	-0.345
1615	-0.668	-0.465	-0.6
1616	-0.851	-0.333	-0.077
1617	-0.005	-0.177	0.105
1618	0.22	0.067	0.995
1621	-0.332	-0.158	0.896
1622	-0.322	-0.914	0.316
1624	0.845	0.792	-0.468
1625	-0.19	-0.353	0.983
1626	0.338	0.407	0.449
1627	0.344	0.301	0.013
1628	-2.189	-1.214	1.402
1630	-0.399	-0.335	-0.71
1631	-1.235	-1.105	-0.021
1632	-0.16	-0.076	-0.083
1633	-1.33	-1.624	0.059
1634	0.267	0.975	-0.32
1635	-0.391	-1.103	2.013
1636	0.634	0.007	-0.115
1637	-1.129	-1.369	0.955
1638	0.776	1.113	0.084
1639	-0.071	-0.349	0.376
1640	-1.038	-1.672	-0.166
1642	-0.013	-0.009	-0.323
1644	0.966	0.801	-0.473
1645	-0.307	-0.445	0.07
1647	-0.534	-1.086	-0.033
1649	-0.43	-0.69	-0.322
1650	0.194	-0.303	-0.289
1651	-0.207	-0.615	0.056
1652	-1.473	-0.865	-0.666
1653	0.255	0.017	-0.137
1654	-0.665	-0.752	-0.091
1655	2.083	0.814	-0.127
1656	0.073	0.116	1.2
