Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
674	0.159	0.459	0.523
675	0.266	0.203	0.152
676	0.954	0.377	0.954
677	0.021	0.006	0.807
679	0.081	0.007	0.188
682	0.855	0.257	0.536
683	0.8	0.878	0.125
684	0.662	0.425	0.46
687	0.384	0.165	0.496
688	0.058	0.126	0.729
689	0.094	0.015	0.259
690	0.86	0.331	0.513
692	0.538	0.559	0.527
693	0.7	0.599	0.796
694	0.175	0.616	0.475
695	0.259	0.715	0.044
698	0.998	0.566	0.616
699	0.698	0.179	0.332
701	0.04	0.122	0.011
702	0.777	0.435	0.196
703	0.553	0.402	0.897
704	0.661	0.431	0.787
706	0.991	0.889	0.347
707	0.445	0.081	0.254
708	0.884	0.449	0.627
709	0.129	0.111	0.852
710	0.897	0.72	0.614
712	0.552	0.197	0.805
713	0.711	0.414	0.473
714	0.951	0.462	0.127
716	0.923	0.787	0.856
717	0.966	0.443	0.496
719	0.923	0.27	0.984
720	0.719	0.88	0.16
721	0.279	0.965	0.641
722	0.7	0.647	0.38
723	0.046	0.014	0.302
724	0.441	0.613	0.405
725	0.044	0.012	0.439
726	0.486	0.19	0.312
727	0.303	0.2	0.132
728	0.81	0.586	0.36
729	0.02	0.007	0.795
730	0.961	0.267	0.218
731	0.933	0.776	0.145
732	0.049	0.012	0.639
733	0.954	0.775	0.683
734	0.37	0.141	0.183
735	0.272	0.457	0.027
736	0.86	0.742	0.432
737	0.068	0.015	0.629
738	0.894	0.753	0.512
739	0.015	0.004	0.446
740	0.014	0.003	0.913
741	0.602	0.977	0.822
744	0.678	0.656	0.643
745	0.953	0.378	0.47
746	0.419	0.086	0.715
748	0.662	0.628	0.473
749	0.454	0.681	0.452
750	0.05	0.008	0.644
751	0.902	0.965	0.239
752	0.344	0.031	0.161
753	0.932	0.943	0.025
755	0.163	0.087	0.524
756	0.249	0.221	0.46
757	0.242	0.035	0.396
758	0.9	0.383	0.991
759	0.783	0.518	0.029
760	0.227	0.111	0.528
762	0.625	0.213	0.64
763	0.504	0.747	0.257
767	0.816	0.72	0.451
768	0.957	0.321	0.534
770	0.76	0.486	0.65
771	0.665	0.609	0.171
772	0.448	0.193	0.269
775	0.631	0.768	0.378
776	0.811	0.546	0.351
778	0.34	0.235	0.655
784	0.275	0.09	0.781
785	0.193	0.289	0.635
788	0.772	0.422	0.607
789	0.29	0.531	0.475
791	0.038	0.065	0.072
792	0.78	0.476	0.023
793	0.76	0.319	0.02
794	0.698	0.217	0.597
795	0.835	0.403	0.16
796	0.891	0.429	0.195
797	0.72	0.972	0.487
799	0.358	0.261	0.258
802	0.375	0.144	0.721
805	0.119	0.035	0.622
806	0.129	0.229	0.329
808	0.488	0.91	0.034
809	0.691	0.8	0.911
811	0.988	0.279	0.435
812	0.057	0.025	0.727
814	0.18	0.079	0.934
815	0.523	0.115	0.002
816	0.375	0.939	0.321
817	0.663	0.606	0.25
818	0.878	0.789	0.828
820	0.16	0.255	0.232
821	0.993	0.167	0.777
824	0.331	0.116	0.266
825	0.958	0.344	0.187
827	0.694	0.483	0.179
828	0.568	0.245	0.154
831	0.819	0.503	0.081
832	0.044	0.338	0.317
833	0.407	0.543	0.931
834	0.994	0.522	0.424
835	0.456	0.377	0.931
837	0.281	0.577	0.051
838	0.445	0.14	0.954
839	0.138	0.22	0.661
840	0.279	0.587	0.468
842	0.942	0.449	0.115
843	0.184	0.264	0.203
844	0.756	0.814	0.47
845	0.702	0.534	0.258
847	0.432	0.116	0.854
848	0.359	0.856	0.039
849	0.341	0.116	0.512
850	0.967	0.819	0.847
851	0.234	0.692	0.182
852	0.597	0.581	0.906
854	0.932	0.338	0.457
855	0.958	0.272	0.434
856	0.641	0.567	0.045
857	0.374	0.965	0.533
858	0.862	0.866	0.331
859	0.194	0.139	0.954
860	0.181	0.341	0.512
861	0.664	0.504	0.038
862	0.687	0.712	0.104
863	0.207	0.293	0.655
864	0.543	0.594	0.07
865	0.771	0.194	0.949
866	0.825	0.41	0.501
867	0.542	0.413	0.75
868	0.657	0.55	0.115
869	0.174	0.291	0.272
870	0.548	0.171	0.693
871	0.907	0.17	0.239
872	0.195	0.163	0.51
873	0.716	0.547	0.052
874	0.717	0.678	0.769
875	0.975	0.856	0.892
877	0.584	0.681	0.674
878	0.826	0.231	0.733
879	0.347	0.965	0.503
880	0.501	0.505	0.011
881	0.65	0.924	0.043
882	0.094	0.534	0.407
883	0.679	0.406	0.891
884	0.918	0.191	0.246
885	0.646	0.192	0.632
886	0.558	0.472	0.767
887	0.727	0.877	0.985
888	0.738	0.335	0.785
889	0.878	0.507	0.108
890	0.559	0.756	0.324
891	0.523	0.305	0.81
893	0.666	0.25	0.448
894	0.551	0.26	0.317
895	0.339	0.321	0.933
896	0.466	0.711	0.449
898	0.242	0.975	0.376
899	0.423	0.073	0.943
900	0.766	0.778	0.937
901	0.684	0.29	0.238
902	0.48	0.999	0.833
903	0.194	0.251	0.681
904	0.009	0.002	0.015
905	0.158	0.073	0.746
906	0.766	0.823	0.405
908	0.298	0.071	0.682
909	0.009	0.005	0.909
910	0.22	0.055	0.75
911	0.088	0.209	0.708
912	0.956	0.586	0.036
913	0.822	0.189	0.1
914	0.141	0.209	0.454
915	0.302	0.434	0.643
916	0.941	0.754	0.265
917	0.886	0.521	0.79
918	0.532	0.894	0.73
919	0.926	0.838	0.866
920	0.403	0.165	0.47
921	0.207	0.31	0.592
922	0.786	0.556	0.976
923	0.968	0.242	0.526
924	0.087	0.292	0.043
925	0.646	0.375	0.067
926	0.968	0.917	0.585
927	0.779	0.619	0.517
