Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
586	-0.258	0.122	0.124
587	-0.469	-0.18	0.514
588	0.202	0.023	0.022
589	-0.511	-0.287	-0.157
590	-0.061	0.051	1.043
591	-0.303	-0.764	-0.097
592	0.002	-0.305	-0.063
594	0.309	0.151	-0.174
595	-0.091	-0.048	-0.782
596	0.287	0.926	0.274
598	0.063	0.212	-0.726
599	0.132	0.766	0.105
601	-1.846	-0.759	0.429
603	0.482	1.13	-0.145
604	-0.473	-0.464	0.049
605	-0.07	0.024	0.372
606	0.241	0.007	0.493
607	-0.17	-1.01	0.137
608	-0.413	0.133	0.233
609	0.269	0.012	-0.181
612	0.562	0.6	-0.241
613	-0.6	-0.303	0.203
614	0.551	1.123	-0.254
615	-0.184	-0.277	-0.068
617	0.968	0.913	0.411
618	-0.077	-0.018	0.241
619	0.019	-0.071	0.644
620	-0.713	-0.616	-0.306
621	-0.033	0.001	-0.291
623	0.759	0.001	-0.592
626	0.358	0.274	0.087
628	-0.085	0.013	0.374
629	-0.319	-0.424	0.045
630	-0.096	0.328	-0.102
632	0.274	-0.006	-1.132
633	0.075	0.108	0.257
635	-0.421	-0.831	0.639
636	-0.061	0.111	-0.108
638	0.545	0.112	-0.079
639	-0.116	0.044	0.046
640	0.215	0.345	1.453
642	0.627	0.963	0.422
643	-0.04	-0.049	-1.042
644	0.777	1.854	-0.022
645	0.035	-0.269	-0.494
646	-0.056	0.016	-0.076
647	0.069	0.273	-0.732
648	-0.088	-0.521	-0.026
649	-0.407	-0.226	0.491
650	-0.017	-0.454	-0.424
651	-2.497	-1.737	1.868
652	0.284	0.136	-0.525
653	-0.006	-0.532	-1.062
655	0.39	0.732	-1.557
657	0.004	-0.177	-0.197
658	1.314	1.571	0.248
659	0.509	0.244	-1.3
660	-0.15	-0.135	0.216
662	0.463	0.144	-0.254
663	-1.45	-0.901	0.085
665	0.078	-0.416	-0.876
666	0.337	0.022	-0.268
667	0.169	-0.43	-1.174
669	-0.038	-0.106	-0.114
670	0.043	0.247	-0.932
672	-0.048	1.024	0.029
673	0.075	-0.096	-0.035
675	0.113	0.126	-0.946
676	-0.065	0.091	1.053
678	-0.187	-0.893	-0.011
680	0.51	0.928	-0.248
681	-0.335	-1.085	-0.429
682	0.055	0.038	0.387
683	1.786	1.543	0.801
684	0.512	0.404	0.663
685	0.072	0.649	0.891
686	0.952	1.755	0.152
687	-0.39	-0.194	0.014
688	0.177	0.253	-0.004
689	0.606	0.357	-0.455
690	-0.98	-1.607	0.228
691	-0.487	-0.713	-0.142
692	0.13	-0.452	-0.212
696	0.013	-0.238	-0.041
698	-0.222	-0.161	0.48
699	0.264	-0.009	0.669
700	-0.278	0.083	0.038
701	-0.519	-0.529	0.067
703	0.295	0.717	0.612
704	-0.131	-0.633	0.393
705	0.155	0.186	0.11
706	-0.153	-0.336	0.142
707	2.65	1.537	-0.962
708	0.359	0.016	-0.599
710	-0.04	0.017	-0.382
711	0.785	0.35	0.02
712	-0.045	0.03	0.497
713	-0.113	0.069	1.014
714	0.086	0.516	-0.874
715	-1.498	-2.316	2.949
716	NaN		
717	-0.037	0.052	0.303
718	-0.051	0.021	0.403
719	-0.43	-0.389	1.061
721	-0.631	-0.624	0.29
722	-0.484	-0.679	0.097
723	0.892	0.785	-0.363
724	-0.02	-0.033	0.244
725	0.507	0.837	0.067
726	0.587	0.282	-1.329
727	0.1	0.408	0.058
729	-0.647	0.075	-0.224
730	0.234	0.188	-0.229
731	-0.645	-0.983	0.147
732	-0.104	-0.081	-0.057
733	-0.164	0.182	-0.255
735	-0.203	-0.24	-0.986
736	0.174	0.236	1.1
738	0.443	0.567	1.006
739	0.09	0.151	-0.289
740	0.081	0.29	1.131
742	0.216	0.292	0.001
743	0.113	-0.059	-0.717
744	-1.784	-1.42	0.052
745	0.11	-0.26	-0.394
746	-0.618	-0.373	0.311
747	-0.711	-0.868	0.15
748	-0.086	0.134	-0.559
749	-0.245	-0.401	0.104
750	0.738	1.312	-0.881
751	-0.139	0.129	-0.993
752	0.064	-0.034	-0.562
753	0.483	0.365	-1.496
754	0.006	-0.16	0.083
756	0.176	0.087	-1.039
757	-0.289	-1.195	0.673
758	0.187	-0.149	-0.131
760	0.837	1.665	-0.236
761	0.314	-0.1	-0.69
762	0.166	0.742	-0.554
763	0.292	0.835	-1.025
764	-0.174	-0.201	0.337
765	-0.23	-0.217	-0.229
766	0.167	0.468	0.946
767	0.014	0.311	-1.92
769	0.658	0.817	-0.125
770	-0.087	-0.683	-0.212
771	0.343	0.297	0.212
772	0.513	0.517	0.819
774	0.101	0.216	-0.283
775	-0.044	-0.175	0.356
776	0.24	0.181	0.064
777	-0.166	0.038	0.652
778	-0.068	-0.072	0.159
779	-0.447	-0.083	-0.35
780	0.714	0.563	0.1
783	0.183	-0.085	-0.035
784	-0.097	-0.287	0.75
785	0.185	-0.106	-0.4
786	-0.111	0.122	-0.592
787	0.105	-0.099	-0.576
792	0.367	0.158	-0.042
796	0.796	1.036	-0.761
797	1.193	1.801	-0.016
798	0.294	0.061	0.31
801	-0.05	0.075	-0.409
802	-0.071	0.028	0.761
804	-0.702	-0.149	0.052
806	0.172	0.139	0.29
807	0.085	-0.148	0.082
808	-0.784	-0.26	0.386
809	-0.094	-0.202	-1.025
810	-0.018	-0.649	-0.498
811	-0.07	-0.042	0.646
812	-0.063	0.111	-0.95
813	0.675	0.125	-0.099
814	0.01	-0.079	-1.173
815	0.254	0.156	-0.683
816	0.211	-0.158	-0.24
818	-0.155	-0.086	0.031
819	-0.291	-0.177	-0.373
820	-0.006	-0.054	-0.368
823	0.141	-0.414	-0.188
824	0.271	0.093	-0.378
825	-0.031	-0.316	-0.486
826	0.28	-0.102	1.848
827	-0.166	0.077	-0.939
828	-0.459	-0.381	-0.058
832	0.039	-0.165	-0.235
834	0.542	-0.189	0.007
836	-0.062	-0.256	-0.015
838	-1.727	-3.237	1.219
839	-0.126	-0.838	-0.059
841	-0.291	-0.302	-0.044
845	1.069	0.715	0.137
846	-0.268	-0.909	-0.117
847	-0.089	-0.017	-0.26
848	0.209	-0.485	-0.582
850	-0.257	-0.404	-0.073
851	0.327	-0.003	-0.2
852	0.035	0.164	-0.223
853	0.078	-0.333	0.295
854	0.094	0.376	-0.031
855	-0.724	-0.463	0.361
858	-1.187	-0.81	0.201
859	0.57	-0.023	-0.769
860	-0.004	-0.004	-0.458
861	-0.085	0.121	-1.041
862	0.256	0.487	-0.957
863	-0.111	0.065	0.203
864	0.691	0.121	-0.281
865	-0.1	-0.897	-0.397
866	0.995	1.163	-0.529
867	-0.681	-1.529	-0.083
868	-0.86	-0.085	0.399
869	0.628	0.178	-0.865
872	-0.535	-0.428	-0.106
873	0.128	0.267	0.474
874	-0.336	-0.276	-0.016
875	-0.408	-0.098	-0.409
876	-1.085	-0.63	1.004
878	0.034	-0.19	-0.019
879	-0.185	-0.12	0.195
880	1.25	1.934	0.031
881	0.693	0.788	-0.003
882	-0.158	-0.029	0.861
884	-0.695	-0.727	0.046
885	-0.429	-0.756	0.086
887	0.59	0.983	-0.915
888	-0.187	-0.196	0.083
890	0.269	0.137	0.889
892	0.136	-0.268	-0.957
894	-0.19	-0.597	0.088
895	-0.242	-0.52	-0.107
896	0.006	-0.229	-0.516
897	0.164	0.119	0.289
900	-0.451	-0.265	0.817
901	-0.514	-0.478	-0.637
902	-0.058	-0.328	-0.19
904	-0.078	-0.138	-0.004
906	0.752	0.146	-1.08
907	0.347	-0.159	0.511
908	0.483	0.473	-0.007
909	-0.657	-0.57	0.588
910	0.196	0.255	0.059
912	0.157	-0.456	-1.08
913	-0.071	-0.294	-0.297
914	0.018	0.209	1.558
915	-0.289	-0.057	-0.429
921	-0.917	-0.499	0.255
922	0.648	0.776	-0.748
923	0.722	-0.124	-0.257
924	0.835	0.206	-0.012
925	0.21	-0.349	-0.804
927	0.093	0.059	2.446
928	0.128	-0.256	1.124
929	0.144	0.419	-1.241
930	-0.196	-0.002	-0.69
931	0.195	0.353	-0.053
933	-0.069	0.008	0.071
934	-0.014	0.614	-0.5
936	0.613	0.674	-0.914
937	0.327	0.453	0.052
