Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
2977			< 0.01
2978		< 0.1	
2982	< 0.1		
2984			< 0.1
2986			< 0.1
2991			< 0.1
2992		< 0.01	
2996			< 0.1
2998		< 0.01	
3001		< 0.1	
3008			< 0.1
3012			< 0.1
3016	< 0.1	< 0.1	
3018		< 0.1	
3020	< 0.1	< 0.1	
3026	< 0.1		
3027		< 0.1	< 0.1
3030	< 0.1	< 0.1	
3032		< 0.1	
3033			< 0.1
3034	< 0.1		
3036			< 0.1
3039			< 0.1
3055	< 0.1		
3056		< 0.1	
3057			< 0.1
3061			< 0.1
3062			< 0.1
3066	< 0.1		
3068		< 0.1	
3069			< 0.1
3070			< 0.1
3071			< 0.1
3075			< 0.01
3079			< 0.1
3080			< 0.1
3087		< 0.1	
3091			< 0.1
3092	< 0.01	< 0.1	< 0.1
3096			< 0.1
3103		< 0.1	
3106			< 0.1
3111			< 0.1
3112		< 0.1	
3116			< 0.1
3119			< 0.1
3122	< 0.1	< 0.01	
3123	< 0.01	< 0.1	
3125			< 0.1
3130	< 0.1	< 0.1	
3131		< 0.1	
3132	< 0.01	< 0.01	
3140	< 0.1	< 0.01	< 0.1
3141			< 0.1
3142		< 0.1	
3145			< 0.1
3147	< 0.1		
3151			< 0.1
3165			< 0.1
3167	< 0.1	< 0.1	< 0.1
3170			< 0.1
3171			< 0.1
3184	< 0.1	< 0.1	< 0.1
3191		< 0.1	
3192		< 0.1	
3195	< 0.1		
3198	< 0.1		
3199		< 0.1	
3214			< 0.1
3218	< 0.1		
3230	< 0.1	< 0.1	
3231	< 0.1	< 0.1	
3236		< 0.1	
3237		< 0.1	
3238			< 0.1
3240	< 0.1		< 0.1
3247			< 0.1
3250		< 0.1	
3251			< 0.1
3255		< 0.1	
3272		< 0.1	
3280			< 0.1
3295			< 0.1
3303	< 0.01	< 0.01	< 0.1
3304			< 0.1
3309	< 0.1	< 0.1	
3314			< 0.1
3316		< 0.1	< 0.1
3318	< 0.1	< 0.1	
3320			< 0.1
3322			< 0.1
3327	< 0.1		< 0.1
3330		< 0.1	
3333		< 0.1	
3341		< 0.1	
3343			< 0.1
3349			< 0.1
3351		< 0.1	
3357			< 0.1
3363	< 0.1		
3370	< 0.1		
3383		< 0.1	
3387			< 0.1
3393	< 0.1	< 0.1	
3395		< 0.1	
3407		< 0.1	< 0.01
3409		< 0.1	
3414		< 0.1	
3430			< 0.1
3434		< 0.1	
3446		< 0.1	< 0.01
3455			< 0.01
3459	< 0.1	< 0.01	
3461	< 0.1	< 0.1	
3462	< 0.1	< 0.01	
3470			< 0.1
3477			< 0.1
3483			< 0.1
3486		< 0.1	
3487			< 0.1
3495	< 0.1	< 0.01	
3504		< 0.1	
3505		< 0.1	< 0.1
3507			< 0.1
3510			< 0.1
3527			< 0.1
3535	< 0.1	< 0.1	
3536			< 0.1
3540		< 0.1	
3543			< 0.1
3545	< 0.1	< 0.1	< 0.1
3546	< 0.1	< 0.1	< 0.1
3548			< 0.1
3556	< 0.1	< 0.1	
3557	< 0.1	< 0.1	< 0.01
3561			< 0.1
3563	< 0.1	< 0.1	
3565			< 0.1
3579		< 0.1	
3588			< 0.1
3590			< 0.1
3592	< 0.1	< 0.1	
3604			< 0.1
3605			< 0.1
3607	< 0.1	< 0.1	
3610	< 0.1	< 0.01	
3613			< 0.1
3622		< 0.1	
3624	< 0.1	< 0.1	
3635			< 0.1
3641		< 0.1	
3647	< 0.1	< 0.1	
3648		< 0.1	< 0.1
3654	< 0.1	< 0.1	
3659	< 0.1	< 0.1	
3665		< 0.1	
3666	< 0.1	< 0.1	< 0.1
3670		< 0.1	< 0.1
3685	< 0.1	< 0.1	< 0.1
3689	< 0.1	< 0.1	
3697		< 0.1	
3698		< 0.1	< 0.1
3703			< 0.1
3706			< 0.1
3711	< 0.1	< 0.1	< 0.1
3713			< 0.1
3716			< 0.1
3717		< 0.1	
3720	< 0.1	< 0.1	
3722			< 0.1
3726			< 0.1
3740	< 0.1		
3742			< 0.1
3747		< 0.1	
3749	< 0.1	< 0.1	
3750			< 0.1
3757		< 0.1	
3761			< 0.1
3763	< 0.1	< 0.1	
3765			< 0.1
3769	< 0.1	< 0.1	
3774			< 0.01
3776		< 0.1	
3785	< 0.1	< 0.1	
3790			< 0.1
3792		< 0.1	
3794		< 0.1	
3799		< 0.1	
3804		< 0.1	
3809			< 0.1
3811		< 0.1	< 0.1
3825			< 0.1
3833	< 0.1	< 0.1	
3839			< 0.01
3841			< 0.1
3846	< 0.1	< 0.1	< 0.01
3849			< 0.1
3855		< 0.1	
3874			< 0.1
3875			< 0.1
3880	< 0.01	< 0.01	
3881			< 0.1
3892	< 0.1	< 0.1	
3894	< 0.1		< 0.1
3904			< 0.1
3911		< 0.1	
3915			< 0.1
3924	< 0.1	< 0.01	< 0.1
3925	< 0.1		
3936			< 0.1
3937			< 0.1
3960			< 0.1
3965	< 0.1	< 0.1	
3968			< 0.1
3973	< 0.1		
3987	< 0.1	< 0.1	< 0.1
3990			< 0.1
3999			< 0.1
4002			< 0.1
4004			< 0.1
4009		< 0.01	
4012	< 0.1	< 0.1	
4017			< 0.1
4026	< 0.1		
4031	< 0.1		
4032	< 0.1	< 0.1	
4036	< 0.1	< 0.1	
4048	< 0.1	< 0.1	
4049		< 0.1	
4056	< 0.1	< 0.1	
4057	< 0.1		
4060			< 0.1
4069	< 0.1	< 0.1	
4089			< 0.1
4092	< 0.1		
4102			< 0.1
4105			< 0.1
4126			< 0.1
4128		< 0.1	< 0.1
4141	< 0.1	< 0.1	
4149			< 0.1
4160			< 0.1
4161	< 0.1		
4163			< 0.1
4175			< 0.01
4177		< 0.1	
4183	< 0.1	< 0.1	
4189	< 0.1	< 0.1	
4190		< 0.1	
4200		< 0.1	
4201			< 0.1
4202	< 0.1	< 0.01	
4203	< 0.1	< 0.1	< 0.1
4208	< 0.1	< 0.01	< 0.1
4209	< 0.1	< 0.1	
4211	< 0.1		
4231			< 0.1
4232			< 0.1
4237		< 0.1	< 0.1
4241	< 0.01	< 0.001	
4242	< 0.1	< 0.1	
4248			< 0.1
4250	< 0.1	< 0.1	
4252	< 0.1	< 0.1	
4254		< 0.1	
4264		< 0.1	
4268			< 0.1
4272	< 0.1	< 0.1	
4276	< 0.01	< 0.1	
4279	< 0.1	< 0.1	
4283			< 0.1
4288		< 0.1	
4299			< 0.1
4305			< 0.1
4306			< 0.1
4307			< 0.1
4312			< 0.1
4318		< 0.1	
4319	< 0.1	< 0.1	
4320		< 0.1	
4324		< 0.1	
4338	< 0.1		
4348		< 0.1	
4364			< 0.1
4369			< 0.1
4370	< 0.1	< 0.1	
4376		< 0.1	
4390			< 0.1
4397			< 0.1
4404	< 0.1	< 0.01	
4408			< 0.1
4413	< 0.1	< 0.1	
4420			< 0.1
4426	< 0.1		
4428			< 0.01
4429	< 0.01	< 0.1	
4433			< 0.1
4440			< 0.1
4457			< 0.1
4470		< 0.1	< 0.1
4478		< 0.1	
4488		< 0.1	
4492			< 0.1
4493			< 0.1
4511		< 0.1	< 0.01
4519	< 0.1		
4523		< 0.1	
4528		< 0.1	
4548	< 0.1		
4557			< 0.01
4560		< 0.1	
4562	< 0.1	< 0.01	
4571	< 0.01	< 0.01	< 0.01
4581			< 0.1
4589		< 0.1	
4590			< 0.1
4597	< 0.1	< 0.1	
4599			< 0.1
4602	< 0.01	< 0.01	< 0.1
4605		< 0.1	
4606		< 0.1	
4607			< 0.01
4610			< 0.1
4626	< 0.1		
4628	< 0.01	< 0.01	
4636		< 0.1	
4652	< 0.1	< 0.1	
4654			< 0.1
4656	< 0.1	< 0.1	< 0.1
4660			< 0.1
4665	< 0.1	< 0.1	
4666		< 0.1	
4674			< 0.1
4687	< 0.1	< 0.1	
4692	< 0.1	< 0.1	< 0.01
4699	< 0.01	< 0.1	< 0.01
4712		< 0.1	
4720			< 0.1
4724			< 0.1
4730			< 0.1
4731	< 0.1	< 0.1	
4736	< 0.1		
4753			< 0.1
4756	< 0.1	< 0.1	
4757			< 0.1
4766		< 0.1	
4770			< 0.1
4776	< 0.1	< 0.1	< 0.1
4779			< 0.1
4787			< 0.1
4789			< 0.1
4806	< 0.1		
4808			< 0.1
4825	< 0.1		
4836		< 0.1	
4838			< 0.1
4845		< 0.1	
4857			< 0.1
4858	< 0.1	< 0.01	
4859	< 0.01	< 0.01	
4879	< 0.1		
4885	< 0.1	< 0.1	
4898			< 0.1
4899	< 0.01	< 0.01	
4906		< 0.1	
4915			< 0.01
4941	< 0.1	< 0.01	
4957		< 0.1	
4958		< 0.1	
4960	< 0.01	< 0.1	< 0.001
4961	< 0.1	< 0.01	< 0.1
4967	< 0.1	< 0.1	
4969			< 0.1
4970	< 0.1		
4971		< 0.1	
4977			< 0.1
4978			< 0.01
4986		< 0.1	
4992	< 0.1	< 0.1	
4999			< 0.01
5028	< 0.1	< 0.1	
5030			< 0.1
5037	< 0.01	< 0.1	
5038	< 0.1		
5047	< 0.1		< 0.1
5053	< 0.1		
5060	< 0.1		
5061			< 0.1
5064		< 0.1	
5066			< 0.1
5068	< 0.1		< 0.1
5082		< 0.1	
5102	< 0.1	< 0.001	< 0.1
5103		< 0.1	
5116	< 0.1	< 0.1	
5122		< 0.1	
