Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
1689	0.108	0.016	0.97
1690	0.236	0.656	0.017
1691	0.52	0.656	0.004
1692	0.011	0.195	0.365
1694	0.941	0.634	0.108
1695	0.935	0.118	0.34
1696	0.749	0.644	0.792
1697	0.925	0.674	0.01
1698	0.915	0.645	0.52
1699	0.333	0.664	0.537
1700	0.938	0.729	0.277
1701	0.658	0.102	0.748
1702	0.975	0.854	0.451
1703	0.111	0.275	0.121
1704	0.488	0.955	0.192
1705	0.051	0.274	0.493
1707	0.067	0.028	0.927
1709	0.032	0.078	0.389
1710	0.34	0.905	0.003
1711	0.499	0.895	0.19
1712	0.067	0.448	0.458
1713	0.666	0.539	0.674
1714	0.141	0.243	0.003
1715	0.433	0.455	0.987
1716	0.709	0.666	0.162
1717	0.983	0.628	0.069
1718	0.687	0.655	0.382
1719	0.228	0.199	0.05
1720	0.535	0.585	0.584
1721	0.278	0.594	0.023
1722	0.936	0.782	0.349
1723	0.579	0.356	0.644
1724	0.634	0.357	0.936
1725	0.732	0.785	0.067
1726	0.297	0.367	0.16
1727	0.705	0.595	0.175
1728	0.215	0.298	0.507
1729	0.32	0.464	0.465
1730	0.469	0.274	0.035
1731	0.957	0.553	0.624
1733	0.335	0.608	0.294
1734	0.439	0.358	0.512
1735	0.221	0.13	0.041
1736	0.2	0.132	0.284
1737	0.031	0.024	0.128
1738	0.256	0.193	0.533
1739	0.407	0.508	0.05
1740	0.002	0	0.962
1741	0.122	0.435	0.431
1742	0.148	0.243	0.568
1743	0.036	0.063	0.381
1744	0.832	0.947	0.478
1745	0.126	0.158	0.399
1746	0.111	0.016	0.073
1749	0.294	0.065	0.032
1750	0.854	0.928	0.051
1751	0.593	0.592	0.006
1752	0.786	0.618	0.003
1753	0.646	0.304	0.141
1755	0.893	0.945	0.337
1756	0.315	0.59	0.064
1757	0.991	0.127	0.773
1758	0.139	0.114	0.67
1759	0.136	0.704	0.033
1760	0.056	0.351	0.016
1761	0.988	0.875	0.21
1762	0.79	0.596	0.1
1764	0.614	0.293	0.587
1765	0.7	0.203	0.616
1766	0.593	0.555	0.705
1767	0.221	0.376	0.566
1768	0.796	0.86	0.724
1769	0.777	0.654	0.086
1770	0.543	0.466	0.132
1771	0.071	0.49	0.012
1772	0.354	0.109	0.737
1773	0.388	0.152	0.045
1774	0.321	0.743	0.164
1775	0.693	0.173	0.057
1776	0.262	0.032	0.208
1777	0.565	0.527	0.056
1778	0.86	0.967	0.526
1779	0.071	0.047	0.924
1780	0.895	0.821	0.193
1781	0.71	0.992	0.457
1782	0.573	0.488	0.715
1783	0.898	0.936	0.07
1785	0.275	0.086	0.041
1786	0.453	0.361	0.278
1787	0.206	0.515	0.327
1788	0.117	0.035	0.241
1790	0.986	0.971	0.997
1791	0.414	0.308	0.58
1793	0.766	0.164	0.818
1794	0.547	0.632	0.813
1795	0.146	0.459	0.297
1797	0.389	0.505	0.585
1798	0.707	0.443	0.158
1799	0.504	0.455	0.537
1800	0.41	0.394	0.02
1801	0.782	0.774	0.912
1802	0.473	0.478	0.249
1804	0.13	0.461	0.019
1805	0.267	0.328	0.021
1806	0.003	0.012	0.004
1807	0.853	0.904	0.428
1808	0.227	0.505	0.039
1809	0.899	0.447	0.631
1810	0.831	0.97	0.071
1811	0.822	0.696	0.838
1812	0.285	0.624	0.398
1813	0.939	0.7	0.259
1815	0.981	0.707	0.563
1816	0.004	0.031	0.463
1817	0.027	0.069	0.036
1819	0.549	0.91	0.081
1820	0.458	0.877	0.005
1821	0.251	0.75	0.567
1822	0.273	0.379	0.514
1823	0.18	0.458	0.675
1824	0.534	0.499	0.004
1825	0.541	0.086	0.078
1826	0.801	0.966	0.549
1827	0.075	0.004	0.194
1828	0.548	0.81	0.745
1829	0.612	0.768	0.304
1830	0.087	0.164	0.081
1831	0.011	0.181	0.507
1832	0.398	0.119	0.65
1833	0.867	0.622	0.063
1834	0.008	0.051	0.043
1835	0.377	0.222	0.046
1836	0.009	0.101	0.979
1837	0.722	0.77	0.923
1838	0.862	0.604	0.88
1839	0.713	0.202	0.625
1840	0.592	0.984	0
1841	0.282	0.343	0.394
1842	0.324	0.058	0.332
1843	0.965	0.755	0.001
1844	0.83	0.983	0.087
1847	0.131	0.119	0.019
1848	0.818	0.866	0.142
1849	0.851	0.739	0.069
1850	0.48	0.349	0.805
1851	0.644	0.788	0.795
1853	0.121	0.062	0.141
1854	0.698	0.443	0.737
1855	0.049	0.285	0.091
1856	0.354	0.487	0.784
1857	0.855	0.68	0.52
1858	0.331	0.558	0.035
1859	0.203	0.826	0.658
1860	0.588	0.923	0.721
1861	0.094	0.064	0.183
1862	0.892	0.881	0.913
1864	0.011	0.128	0.536
1865	0.704	0.737	0.443
1866	0.505	0.407	0.642
1868	0.005	0.001	0.037
1869	0.108	0.171	0.401
1870	0.071	0.047	0.911
1871	0.359	0.924	0.012
1872	0.968	0.963	0.364
1874	0.576	0.998	0.396
1876	0.199	0.318	0.022
1877	0.956	0.713	0.777
1878	0.725	0.259	0.008
1879	0.011	0.141	0.852
1881	0.29	0.149	0.611
1882	0.111	0.054	0.592
1883	0.359	0.297	0.04
1884	0.425	0.318	0.6
1885	0.492	0.589	0.043
1886	0.752	0.722	0.163
1888	0.947	0.646	0.412
1889	0.852	0.778	0.007
1891	0.311	0.677	0.352
1892	0.854	0.72	0.312
1893	0.943	0.701	0.618
1894	0.074	0.095	0.002
1895	0.772	0.68	0.092
1896	0.151	0.436	0.422
1897	0.679	0.639	0.587
1898	0.434	0.668	0.663
1899	0.845	0.617	0.9
1900	0.501	0.586	0.441
1901	0.419	0.898	0.047
1902	0.708	0.154	0.162
1904	0.436	0.355	0.767
1905	0.023	0.075	0.445
1906	0.015	0.009	0.662
1907	0.164	0.297	0.532
1908	0.447	0.49	0.054
1912	0.942	0.105	0.487
1913	0.374	0.258	0.859
1914	0.454	0.766	0.343
1915	0.214	0.591	0.166
1917	0.036	0.342	0.38
1918	0.489	0.746	0.318
1919	1	0.808	0.326
1921	0.714	0.548	0.858
1922	0.125	0.167	0.216
1923	0.358	0.444	0.243
1924	0.04	0.261	0.749
1925	0.135	0.187	0.915
1926	0.486	0.441	0.759
1927	0.685	0.807	0.25
1931	0.065	0.507	0.003
1932	0.063	0.078	0.1
1933	0.779	0.768	0.011
1934	0.062	0.055	0.644
1935	0.438	0.895	0.072
1936	0.309	0.194	0.485
1937	0.011	0.003	0.718
1938	0.585	0.418	0.074
1939	0.58	0.15	0.105
1940	0.619	0.508	0.561
1942	0.622	0.702	0.669
1943	0.974	0.527	0.432
1944	0.358	0.6	0.194
1945	0.649	0.336	0.179
1946	0.909	0.496	0.634
1948	0.07	0.132	0.136
1949	0.934	0.591	0.154
1951	0.12	0.005	0.494
1952	0.263	0.302	0.066
1953	0.956	0.721	0.203
1954	0.137	0.408	0.791
1955	0.277	0.368	0.254
1956	0.904	0.729	0.834
1957	0.819	0.48	0.945
1958	0.854	0.583	0.566
1959	0.064	0.107	0.304
1960	0.423	0.378	0.044
1962	0.136	0.282	0.238
1963	0.02	0.098	0.625
1964	0.631	0.56	0.477
1965	0.857	0.842	0.104
1966	0.496	0.976	0.027
1967	0.191	0.069	0.955
1968	0.415	0.179	0.59
1969	0.561	0.89	0
1971	0.255	0.491	0.082
1972	0.111	0.084	0.183
1973	0.817	0.741	0.833
1975	0.04	0.28	0.06
