Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
5081	< 0.1		< 0.1
5086			< 0.1
5087	< 0.1		< 0.01
5088			< 0.01
5090			< 0.01
5092			< 0.01
5094			< 0.1
5099	< 0.01	< 0.1	< 0.001
5103			< 0.1
5104	< 0.1		< 0.1
5117			< 0.1
5121			< 0.1
5122			< 0.1
5124	< 0.1		< 0.1
5130	< 0.1		< 0.001
5131			< 0.1
5132			< 0.1
5133			< 0.1
5136			< 0.1
5141			< 0.1
5142			< 0.01
5146			< 0.001
5151			< 0.01
5154	< 0.1	< 0.01	
5155		< 0.1	
5165			< 0.01
5170	< 0.1	< 0.1	
5172	< 0.1		
5175			< 0.1
5176	< 0.1	< 0.1	< 0.01
5182	< 0.1	< 0.1	
5185	< 0.1		< 0.1
5189			< 0.1
5196		< 0.1	
5197		< 0.1	
5201			< 0.1
5205	< 0.1	< 0.1	< 0.1
5208			< 0.1
5210		< 0.1	
5211	< 0.01		
5212	< 0.1		
5216	< 0.1		< 0.1
5219			< 0.001
5222			< 0.1
5223	< 0.1		
5230			< 0.1
5231		< 0.1	< 0.01
5234			< 0.1
5238			< 0.1
5244			< 0.1
5246	< 0.1		< 0.1
5247		< 0.1	
5249		< 0.1	< 0.1
5250	< 0.001	< 0.1	< 0.1
5253			< 0.1
5255			< 0.1
5257	< 0.1		< 0.01
5260		< 0.1	< 0.1
5261	< 0.1		< 0.1
5262	< 0.1	< 0.1	< 0.1
5263			< 0.1
5266	< 0.1	< 0.1	< 0.01
5267			< 0.001
5269	< 0.1		< 0.1
5270		< 0.1	
5275	< 0.1		< 0.1
5276			< 0.1
5277		< 0.01	
5280			< 0.1
5281	< 0.1		
5288		< 0.1	
5289	< 0.1		
5298			< 0.1
5300			< 0.1
5301	< 0.1	< 0.1	< 0.1
5308		< 0.1	< 0.1
5309			< 0.1
5310		< 0.1	
5314			< 0.1
5315	< 0.1		< 0.1
5319		< 0.1	
5325			< 0.1
5328	< 0.1		< 0.01
5330	< 0.1		< 0.1
5331	< 0.1		< 0.01
5345	< 0.01	< 0.1	< 0.001
5350		< 0.01	
5351	< 0.1	< 0.1	
5355	< 0.1		< 0.1
5364	< 0.1	< 0.1	
5367			< 0.1
5369			< 0.1
5373			< 0.1
5375			< 0.1
5376		< 0.1	
5380	< 0.1	< 0.1	< 0.01
5382			< 0.1
5384			< 0.1
5385	< 0.1	< 0.1	< 0.01
5386			< 0.1
5387			< 0.1
5392			< 0.1
5395		< 0.1	
5397	< 0.1	< 0.1	
5398	< 0.1	< 0.1	
5400	< 0.1	< 0.1	
5402	< 0.1	< 0.1	
5405		< 0.1	
5406	< 0.1		
5408			< 0.01
5409	< 0.1	< 0.1	< 0.1
5411		< 0.1	
5416			< 0.1
5420	< 0.1	< 0.1	
5422	< 0.1		
5424	< 0.01	< 0.01	< 0.001
5425			< 0.1
5426		< 0.1	< 0.1
5429	< 0.01	< 0.1	
5433	< 0.1		< 0.1
5444	< 0.1	< 0.1	
5448		< 0.1	< 0.1
5451	< 0.1		< 0.01
5457	< 0.01	< 0.1	
5460	< 0.1	< 0.1	
5461	< 0.1	< 0.1	
5464	< 0.1	< 0.1	< 0.001
5465	< 0.1	< 0.1	< 0.1
5466	< 0.1	< 0.1	< 0.1
5467	< 0.1	< 0.01	
5472	< 0.01	< 0.01	
5475	< 0.1	< 0.01	
5476	< 0.1	< 0.1	
5478	< 0.001	< 0.001	< 0.1
5479	< 0.1	< 0.1	
5482	< 0.1		< 0.1
5483		< 0.1	
5487		< 0.1	
5490			< 0.1
5492			< 0.01
5494	< 0.1		
5495			< 0.01
5497	< 0.1	< 0.1	
5500	< 0.1		
5501	< 0.1	< 0.1	
5502		< 0.1	
5503	< 0.1		< 0.1
5508	< 0.1	< 0.1	
5509			< 0.1
5512			< 0.1
5513			< 0.1
5522			< 0.1
5527			< 0.1
5534			< 0.01
5541		< 0.1	
5542			< 0.1
5545			< 0.1
5551			< 0.1
5554	< 0.1	< 0.1	< 0.1
5601			< 0.1
5639		< 0.1	< 0.1
5647			< 0.1
5650		< 0.1	< 0.1
5653		< 0.1	
5679	< 0.1		
5699	< 0.01	< 0.01	
5704			< 0.01
5719			< 0.1
5725	< 0.01	< 0.01	< 0.01
5727	< 0.1	< 0.1	
5729	< 0.1	< 0.1	
5730		< 0.1	
5732	< 0.01	< 0.001	
5735	< 0.1	< 0.01	
5737	< 0.001	< 0.001	
5739	< 0.1	< 0.1	
5741	< 0.01	< 0.01	
5742			< 0.1
5743	< 0.1		
5746		< 0.1	
5748	< 0.1	< 0.01	
