Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
2341	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
2350			Dn, < 0.01
2352			Up, < 0.1
2361	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1
2363		Up, < 0.1	
2368			Up, < 0.1
2374		Up, < 0.1	
2375			Up, < 0.1
2380			Dn, < 0.1
2386			Dn, < 0.1
2388			Dn, < 0.1
2395			Dn, < 0.01
2400			Up, < 0.001
2402	Dn, < 0.1		Up, < 0.01
2403	Up, < 0.1	Up, < 0.01	
2405		Dn, < 0.1	
2407			Up, < 0.1
2410			Up, < 0.1
2413			Up, < 0.1
2414	Up, < 0.1	Up, < 0.01	
2417		Up, < 0.1	Dn, < 0.01
2419	Dn, < 0.1	Dn, < 0.1	
2423			Up, < 0.01
2426		Dn, < 0.1	
2427			Up, < 0.1
2428		Dn, < 0.1	
2432	Dn, < 0.1		
2433			Up, < 0.1
2434		Dn, < 0.1	
2437			Up, < 0.1
2443			Up, < 0.1
2444		Dn, < 0.1	
2446	Up, < 0.1		Dn, < 0.001
2449		Dn, < 0.1	Up, < 0.1
2450	Dn, < 0.1		
2451	Up, < 0.1		Dn, < 0.1
2458		Dn, < 0.1	
2459			Dn, < 0.1
2460			Up, < 0.1
2461	Up, < 0.1	Up, < 0.1	
2466			Dn, < 0.1
2469		Dn, < 0.1	
2470			Up, < 0.1
2471			Up, < 0.1
2476			Dn, < 0.1
2477	Dn, < 0.1		Up, < 0.1
2486			Dn, < 0.1
2489		Up, < 0.1	
2490			Up, < 0.1
2492	Dn, < 0.1	Dn, < 0.1	
2496		Up, < 0.1	
2497		Dn, < 0.1	
2500	Dn, < 0.01	Dn, < 0.01	
2504	Up, < 0.1	Up, < 0.1	
2505			Up, < 0.01
2506			Up, < 0.1
2511		Dn, < 0.1	
2513		Up, < 0.1	
2516		Dn, < 0.1	
2517			Dn, < 0.1
2521			Dn, < 0.1
2522	Up, < 0.1		
2528			Dn, < 0.1
2532	Up, < 0.1	Up, < 0.1	
2534	Up, < 0.1	Up, < 0.01	
2535		Up, < 0.1	
2538	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
2539			Up, < 0.01
2540	Up, < 0.1		Dn, < 0.1
2541			Up, < 0.1
2545			Dn, < 0.1
2549		Dn, < 0.1	
2551		Dn, < 0.1	
2553	Dn, < 0.1		
2556	Dn, < 0.1	Dn, < 0.1	
2558			Dn, < 0.1
2559	Dn, < 0.1	Dn, < 0.1	
2562		Dn, < 0.1	
2567		Dn, < 0.1	
2569			Up, < 0.1
2570		Up, < 0.1	
2573			Up, < 0.1
2574			Up, < 0.1
2578			Up, < 0.1
2580			Up, < 0.01
2582		Dn, < 0.1	
2588			Up, < 0.1
2590		Up, < 0.1	
2592	Up, < 0.1		
2593			Dn, < 0.1
2595			Up, < 0.1
2596		Dn, < 0.1	
2601			Dn, < 0.1
2603			Dn, < 0.1
2604	Dn, < 0.1		
2609	Dn, < 0.1	Dn, < 0.1	
2611			Up, < 0.1
2615			Up, < 0.1
2623			Up, < 0.1
2630	Up, < 0.1		
2632	Up, < 0.1		Dn, < 0.1
2639	Up, < 0.1	Up, < 0.01	
2642			Dn, < 0.001
2644			Up, < 0.1
2648			Up, < 0.1
2650		Up, < 0.1	Dn, < 0.1
2651			Up, < 0.1
2652			Up, < 0.1
2657	Dn, < 0.1		
2658			Dn, < 0.1
2661	Up, < 0.01	Up, < 0.1	
2668			Up, < 0.001
2670			Up, < 0.1
2676	Dn, < 0.1	Dn, < 0.1	
2679			Dn, < 0.1
2682			Dn, < 0.1
2696			Up, < 0.1
2701			Dn, < 0.1
2704			Up, < 0.01
2706	Dn, < 0.1		
2709		Dn, < 0.1	
2712			Up, < 0.1
2714			Up, < 0.1
2720	Dn, < 0.1		Up, < 0.1
2723			Dn, < 0.1
2724			Up, < 0.1
2729			Dn, < 0.1
2730			Dn, < 0.1
2734			Up, < 0.1
2736			Up, < 0.01
2738			Dn, < 0.1
2741			Dn, < 0.1
2744			Dn, < 0.1
2747	Up, < 0.1		Dn, < 0.1
2762			Dn, < 0.1
2765			Dn, < 0.1
2769			Dn, < 0.1
2771			Dn, < 0.1
2772			Up, < 0.1
2773			Dn, < 0.1
2775			Dn, < 0.001
2778	Dn, < 0.1	Dn, < 0.1	
2780		Dn, < 0.1	
2785	Up, < 0.1		Dn, < 0.1
2786			Dn, < 0.1
2787			Dn, < 0.1
2791			Dn, < 0.1
2794		Up, < 0.1	
2795	Up, < 0.1	Up, < 0.1	
2796		Up, < 0.1	
