Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
1786	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1787		Dn, < 0.1	
1788			Up, < 0.1
1794	Dn, < 0.1	Dn, < 0.01	
1795			Dn, < 0.1
1800			Dn, < 0.01
1804			Dn, < 0.01
1810	Dn, < 0.1	Dn, < 0.1	
1815	Up, < 0.1		
1819	Dn, < 0.1	Dn, < 0.1	
1820			Up, < 0.1
1825	Dn, < 0.1	Dn, < 0.1	
1826	Dn, < 0.01	Dn, < 0.01	
1834			Up, < 0.1
1839	Dn, < 0.1		
1840	Dn, < 0.1	Dn, < 0.1	
1843	Dn, < 0.1	Dn, < 0.1	
1845			Dn, < 0.1
1846	Dn, < 0.1	Dn, < 0.1	
1850			Up, < 0.1
1852	Up, < 0.1		
1857	Up, < 0.1	Up, < 0.1	
1858	Dn, < 0.1		
1859			Dn, < 0.1
1861	Dn, < 0.1	Dn, < 0.1	
1868		Dn, < 0.1	
1869		Dn, < 0.1	
1872	Dn, < 0.1	Dn, < 0.01	
1873	Dn, < 0.1		
1876	Up, < 0.1		
1877	Dn, < 0.01	Dn, < 0.01	
1881	Dn, < 0.1	Dn, < 0.1	
1883			Dn, < 0.1
1887	Up, < 0.1		Dn, < 0.1
1888			Dn, < 0.1
1890	Dn, < 0.01	Dn, < 0.1	
1893			Dn, < 0.001
1897		Dn, < 0.1	
1898	Up, < 0.01	Up, < 0.1	
1900		Dn, < 0.1	
1904		Dn, < 0.1	Up, < 0.1
1906	Dn, < 0.1	Dn, < 0.1	
1911		Dn, < 0.1	
1913			Up, < 0.1
1919			Dn, < 0.1
1920	Up, < 0.1	Up, < 0.1	Dn, < 0.1
1927		Dn, < 0.1	
1928		Dn, < 0.1	
1941	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1952	Dn, < 0.1		Up, < 0.1
1953			Dn, < 0.01
1955			Up, < 0.1
1958	Up, < 0.1		
1963		Dn, < 0.1	Up, < 0.1
1965			Dn, < 0.1
1968	Dn, < 0.1	Dn, < 0.1	
1986	Dn, < 0.1	Dn, < 0.1	
1989		Dn, < 0.1	
1990	Up, < 0.1		Dn, < 0.1
1994			Dn, < 0.1
1999			Up, < 0.1
2001	Dn, < 0.1		
2004			Dn, < 0.1
2005		Dn, < 0.1	
2015	Dn, < 0.01	Dn, < 0.01	
2017	Up, < 0.1	Up, < 0.1	
2018			Up, < 0.1
2021			Up, < 0.1
2026			Up, < 0.1
2040			Up, < 0.1
2047			Up, < 0.1
2056	Dn, < 0.1		
2057	Dn, < 0.1	Dn, < 0.1	
2059	Dn, < 0.01	Dn, < 0.1	
2062			Up, < 0.1
2066			Up, < 0.1
2072		Up, < 0.1	
2073			Dn, < 0.1
2077	Dn, < 0.1		
2081			Dn, < 0.01
2092			Dn, < 0.1
2094		Dn, < 0.1	
2098	Dn, < 0.1	Dn, < 0.1	
2103		Dn, < 0.01	
2109	Up, < 0.1		
2113	Dn, < 0.1	Dn, < 0.01	
2116			Up, < 0.1
2119	Dn, < 0.1	Dn, < 0.1	
2120			Up, < 0.1
2121	Up, < 0.001	Up, < 0.1	
2128	Up, < 0.01	Up, < 0.1	Dn, < 0.1
2134			Dn, < 0.01
2136		Dn, < 0.1	Up, < 0.01
2137	Dn, < 0.1		Up, < 0.1
2139	Dn, < 0.1		
2142	Dn, < 0.1	Dn, < 0.1	
2148	Up, < 0.1	Up, < 0.1	
2154	Up, < 0.01	Up, < 0.1	
2161			Dn, < 0.1
2166		Dn, < 0.1	
2174	Up, < 0.01		
2183			Up, < 0.01
2185			Up, < 0.1
2187	Dn, < 0.1	Dn, < 0.1	
2189	Up, < 0.1		Dn, < 0.1
2192	Dn, < 0.1		
2197	Up, < 0.001	Up, < 0.01	
2199	Dn, < 0.1	Dn, < 0.01	
2201			Up, < 0.1
2204	Dn, < 0.1		
2207	Dn, < 0.1	Dn, < 0.1	
2209	Dn, < 0.01	Dn, < 0.01	Up, < 0.1
2214	Up, < 0.1		
2218	Dn, < 0.1	Dn, < 0.1	
2219			Dn, < 0.1
2220		Dn, < 0.1	
2223		Up, < 0.1	Up, < 0.1
2224	Up, < 0.1	Up, < 0.1	
2233			Dn, < 0.1
2234			Up, < 0.1
2237		Up, < 0.1	
2241	Dn, < 0.1	Dn, < 0.01	
2245			Up, < 0.1
2246	Dn, < 0.1	Dn, < 0.01	
2254	Up, < 0.1	Up, < 0.1	
2261			Dn, < 0.1
2263	Dn, < 0.1	Dn, < 0.1	
2264			Up, < 0.1
2267			Dn, < 0.1
2268			Up, < 0.1
2269			Dn, < 0.1
2273			Dn, < 0.01
2285		Up, < 0.1	
2286	Dn, < 0.01	Dn, < 0.1	
2293		Dn, < 0.1	
2294		Dn, < 0.1	
2300	Dn, < 0.01	Dn, < 0.1	
2304	Dn, < 0.1	Dn, < 0.1	
2306			Up, < 0.01
2321			Dn, < 0.1
2322		Up, < 0.1	
2359			Dn, < 0.1
2361	Dn, < 0.1	Dn, < 0.01	Up, < 0.01
2363	Dn, < 0.1	Dn, < 0.1	
2365			Up, < 0.01
2368	Dn, < 0.1		Up, < 0.1
2369			Up, < 0.1
2372	Dn, < 0.1		
2374			Up, < 0.1
2375	Dn, < 0.1		
2380	Up, < 0.1	Up, < 0.1	
2387		Dn, < 0.1	
2391	Dn, < 0.1		
2393			Dn, < 0.1
2400			Up, < 0.1
2401			Dn, < 0.1
2403			Dn, < 0.1
2405	Dn, < 0.1	Dn, < 0.1	
2411	Dn, < 0.1	Dn, < 0.1	
2414			Up, < 0.1
2415	Dn, < 0.1	Dn, < 0.1	
2421	Dn, < 0.1		
2422	Dn, < 0.1		Up, < 0.1
2424	Dn, < 0.01	Dn, < 0.01	
2425	Dn, < 0.1		
2432	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1
2438	Dn, < 0.1		
