Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
1525	Dn, < 0.01	Dn, < 0.01	
1531			Dn, < 0.01
1534			Up, < 0.1
1537	Up, < 0.1	Up, < 0.1	
1544		Up, < 0.1	Up, < 0.1
1545		Up, < 0.1	
1549	Up, < 0.1	Up, < 0.01	
1558			Dn, < 0.1
1560	Up, < 0.01	Up, < 0.1	
1566		Dn, < 0.1	
1568		Up, < 0.1	
1580	Up, < 0.1	Up, < 0.1	
1585	Up, < 0.1		Dn, < 0.1
1588			Up, < 0.1
1596			Dn, < 0.1
1605			Up, < 0.1
1606		Dn, < 0.1	
1609			Dn, < 0.1
1619			Up, < 0.1
1632			Up, < 0.1
1638			Up, < 0.1
1658			Dn, < 0.1
1659	Dn, < 0.1	Dn, < 0.1	
1666			Dn, < 0.1
1669		Dn, < 0.1	
1673			Up, < 0.1
1678			Dn, < 0.1
1688	Dn, < 0.01	Dn, < 0.1	
1690			Dn, < 0.1
1692	Dn, < 0.1	Dn, < 0.1	
1697	Up, < 0.1		
1706	Dn, < 0.1	Dn, < 0.1	
1712			Dn, < 0.1
1718		Dn, < 0.1	
1726			Dn, < 0.1
1728			Dn, < 0.1
1742			Dn, < 0.1
1755			Dn, < 0.1
1760	Dn, < 0.1		Up, < 0.1
1761	Dn, < 0.01	Dn, < 0.1	
1764			Up, < 0.1
1767	Up, < 0.01	Up, < 0.001	
1768		Up, < 0.1	
1777		Up, < 0.1	
1784	Up, < 0.1	Up, < 0.1	
1789			Up, < 0.1
1794			Dn, < 0.1
1796	Dn, < 0.1		
1820			Dn, < 0.1
1823			Up, < 0.01
1830	Up, < 0.1	Up, < 0.1	
1835			Up, < 0.1
1837			Dn, < 0.1
1843		Up, < 0.1	
1852	Dn, < 0.01	Dn, < 0.1	Up, < 0.001
1856		Up, < 0.1	Dn, < 0.1
1860	Up, < 0.1	Up, < 0.01	
1863			Up, < 0.1
1868	Up, < 0.1	Up, < 0.1	
1869			Dn, < 0.1
1870		Dn, < 0.1	
1871			Dn, < 0.1
1882	Up, < 0.1	Up, < 0.1	Dn, < 0.1
1885	Dn, < 0.1		Up, < 0.1
1887			Dn, < 0.1
1888		Dn, < 0.1	
1903	Up, < 0.1	Up, < 0.1	
1905	Up, < 0.1	Up, < 0.01	
1910	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1915			Dn, < 0.1
1916	Dn, < 0.1	Dn, < 0.1	
1917			Up, < 0.1
1919	Up, < 0.1	Up, < 0.1	Dn, < 0.1
1920	Dn, < 0.1	Dn, < 0.1	
1940		Up, < 0.1	
1948			Dn, < 0.1
1950		Up, < 0.01	
1963	Up, < 0.1	Up, < 0.1	
1964		Dn, < 0.1	
1978	Up, < 0.1	Up, < 0.1	
1983			Up, < 0.1
1999		Up, < 0.1	
2007			Dn, < 0.1
2014			Up, < 0.01
2015	Up, < 0.1	Up, < 0.01	
2017			Dn, < 0.1
2018			Up, < 0.1
2022		Up, < 0.1	
2024		Up, < 0.1	
2028			Up, < 0.1
2032			Up, < 0.1
2034			Up, < 0.1
2045		Dn, < 0.1	Dn, < 0.1
2051			Dn, < 0.1
2056			Up, < 0.1
2060			Dn, < 0.1
2064			Dn, < 0.1
2066		Dn, < 0.1	
2069			Up, < 0.1
2077	Up, < 0.1		
2086			Up, < 0.1
2088	Dn, < 0.1		
2089		Up, < 0.1	
2090			Dn, < 0.1
2091		Up, < 0.1	
2094	Dn, < 0.1	Dn, < 0.1	
2099			Dn, < 0.1
2107		Up, < 0.01	
2108			Up, < 0.1
2111			Dn, < 0.1
2113	Dn, < 0.1		
2114			Dn, < 0.01
2121		Up, < 0.1	
2126	Up, < 0.1		
2129			Dn, < 0.1
2131			Dn, < 0.1
2133	Dn, < 0.01	Dn, < 0.1	Up, < 0.1
2137	Up, < 0.1	Up, < 0.1	
2145	Dn, < 0.1	Dn, < 0.1	
2150			Up, < 0.1
2152	Up, < 0.1		
2154			Up, < 0.1
2155			Dn, < 0.1
2169	Up, < 0.1		
2176	Up, < 0.1	Up, < 0.1	
2183			Dn, < 0.1
2204	Up, < 0.1	Up, < 0.1	
2205	Up, < 0.1		
2209		Dn, < 0.1	
2210			Up, < 0.1
2212	Dn, < 0.1		Up, < 0.1
2213			Dn, < 0.1
2217			Dn, < 0.1
2223			Dn, < 0.1
2236	Up, < 0.1		
2252	Dn, < 0.1		
2254			Dn, < 0.1
2274		Up, < 0.1	
2277			Dn, < 0.1
2286			Dn, < 0.1
2287	Up, < 0.1	Up, < 0.1	Dn, < 0.1
2293	Up, < 0.1		
2303	Dn, < 0.1	Dn, < 0.1	
2306	Dn, < 0.1		
2307			Up, < 0.1
2321			Up, < 0.1
2322			Dn, < 0.1
2324	Dn, < 0.01	Dn, < 0.1	
2325	Dn, < 0.1	Dn, < 0.1	
2327			Dn, < 0.1
2328			Up, < 0.1
2329		Up, < 0.1	Dn, < 0.1
2333	Up, < 0.1	Up, < 0.01	
2334			Up, < 0.1
2336			Dn, < 0.1
2339		Dn, < 0.1	
2343		Up, < 0.1	
2345	Dn, < 0.1	Dn, < 0.01	
2346			Dn, < 0.1
2348			Dn, < 0.1
2352	Dn, < 0.1	Dn, < 0.1	
2359		Up, < 0.1	
2364		Dn, < 0.1	
2381	Up, < 0.1	Up, < 0.1	
2382		Up, < 0.1	
2390	Dn, < 0.1		Up, < 0.1
2392			Up, < 0.1
2395			Dn, < 0.1
2400		Up, < 0.1	Dn, < 0.1
2405			Up, < 0.1
2406	Up, < 0.1	Up, < 0.1	
2407	Up, < 0.1	Up, < 0.1	
2413			Dn, < 0.1
2414			Up, < 0.1
2416			Dn, < 0.1
2418	Up, < 0.1	Up, < 0.01	
2421			Dn, < 0.1
2426			Dn, < 0.1
2430		Dn, < 0.1	
2435			Up, < 0.1
2436			Up, < 0.1
2437			Dn, < 0.1
2442	Dn, < 0.1	Dn, < 0.01	
2446			Dn, < 0.1
2451		Up, < 0.1	
2458	Up, < 0.1	Up, < 0.01	
2459	Dn, < 0.1	Dn, < 0.1	
2478			Dn, < 0.1
2485	Dn, < 0.1		
2486			Up, < 0.1
2493			Up, < 0.1
2500			Up, < 0.1
2502			Dn, < 0.1
2504		Up, < 0.1	Dn, < 0.1
2505	Dn, < 0.1		Up, < 0.1
2517		Dn, < 0.1	
2528	Dn, < 0.1		
2530	Up, < 0.1		
2534		Dn, < 0.1	
2554		Dn, < 0.1	
2556			Dn, < 0.1
2557	Dn, < 0.1		
2562			Up, < 0.1
2563	Dn, < 0.1	Dn, < 0.1	
2565			Dn, < 0.1
2566	Dn, < 0.1	Dn, < 0.1	
2569			Up, < 0.1
2571	Dn, < 0.1		Up, < 0.1
2583			Dn, < 0.1
2584			Dn, < 0.01
2588		Up, < 0.1	Dn, < 0.1
2589			Dn, < 0.1
2591		Up, < 0.1	
2601			Dn, < 0.1
2610	Up, < 0.1	Up, < 0.1	
2611	Dn, < 0.1		
2612	Up, < 0.1	Up, < 0.1	Dn, < 0.1
2621	Up, < 0.1	Up, < 0.1	
2622	Dn, < 0.1	Dn, < 0.1	
2631			Dn, < 0.1
2633		Up, < 0.1	
2638			Dn, < 0.1
2641	Dn, < 0.1		
2646	Dn, < 0.1		
2649		Dn, < 0.1	
2651	Dn, < 0.1	Dn, < 0.1	
2653	Dn, < 0.1		
2654		Up, < 0.1	
2656			Dn, < 0.1
2666			Up, < 0.1
2678			Up, < 0.1
2681			Dn, < 0.1
2683			Dn, < 0.1
2684			Dn, < 0.1
2697			Dn, < 0.1
2702	Dn, < 0.1		
2704		Up, < 0.1	
2705			Up, < 0.1
2707	Dn, < 0.1	Dn, < 0.001	
2709			Dn, < 0.1
2710			Up, < 0.1
2723	Up, < 0.1	Up, < 0.1	
2725			Dn, < 0.1
2727			Up, < 0.01
2728			Up, < 0.1
2735			Dn, < 0.1
2741			Dn, < 0.01
2744			Dn, < 0.01
2749			Dn, < 0.1
2756		Up, < 0.1	
2765			Up, < 0.1
2768		Up, < 0.1	
2770	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
2777		Up, < 0.1	
2786			Dn, < 0.1
2795	Up, < 0.1		
2801			Dn, < 0.1
2808			Dn, < 0.1
2809		Up, < 0.1	
2815			Dn, < 0.1
2818	Dn, < 0.1		
2820	Dn, < 0.01	Dn, < 0.1	
2824			Dn, < 0.1
2825		Up, < 0.1	
2827		Dn, < 0.1	
2829			Dn, < 0.1
2833			Up, < 0.1
2843	Up, < 0.1		
2848			Up, < 0.1
2856			Dn, < 0.01
2861			Dn, < 0.1
2862	Dn, < 0.1	Dn, < 0.1	
2864			Dn, < 0.1
2872			Dn, < 0.1
2873			Dn, < 0.1
2882	Up, < 0.1		Up, < 0.1
2887			Dn, < 0.1
2891		Up, < 0.1	
2893			Up, < 0.1
2895	Dn, < 0.1	Dn, < 0.1	
2898			Dn, < 0.1
2903		Dn, < 0.1	
2908			Up, < 0.1
2913	Dn, < 0.01	Dn, < 0.01	
2921	Dn, < 0.1		
2926			Up, < 0.1
2927		Up, < 0.1	Dn, < 0.1
2936	Dn, < 0.1		
2953		Up, < 0.01	
2954			Dn, < 0.1
2959	Dn, < 0.1		Up, < 0.1
2963	Up, < 0.01	Up, < 0.1	Up, < 0.1
2967			Up, < 0.1
2968	Dn, < 0.1	Dn, < 0.01	
2971	Up, < 0.1	Up, < 0.01	
2977			Up, < 0.01
2978		Up, < 0.1	
2982	Dn, < 0.1		
2984			Up, < 0.1
2986			Up, < 0.1
2991			Up, < 0.1
2992		Up, < 0.01	
2996			Dn, < 0.1
2998		Up, < 0.01	
3001		Up, < 0.1	
3008			Dn, < 0.1
3012			Dn, < 0.1
3016	Up, < 0.1	Up, < 0.1	
3018		Dn, < 0.1	
3020	Up, < 0.1	Up, < 0.1	
3026	Dn, < 0.1		
3027		Up, < 0.1	Dn, < 0.1
3030	Up, < 0.1	Up, < 0.1	
3032		Up, < 0.1	
3033			Dn, < 0.1
3034	Dn, < 0.1		
3036			Dn, < 0.1
3039			Dn, < 0.1
3055	Dn, < 0.1		
3056		Up, < 0.1	
3057			Dn, < 0.1
3061			Dn, < 0.1
3062			Up, < 0.1
3066	Dn, < 0.1		
3068		Up, < 0.1	
3069			Dn, < 0.1
3070			Dn, < 0.1
3071			Dn, < 0.1
