Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
1576	Up, < 0.1	Up, < 0.1	
1577			Up, < 0.01
1580		Dn, < 0.1	
1581			Up, < 0.1
1582	Up, < 0.1	Up, < 0.1	
1584	Up, < 0.1	Up, < 0.1	
1586	Dn, < 0.01		
1594	Dn, < 0.1	Dn, < 0.01	
1595	Up, < 0.001	Up, < 0.001	
1596	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1617		Dn, < 0.1	
1623		Dn, < 0.1	
1628	Dn, < 0.01	Dn, < 0.1	Up, < 0.01
1634	Dn, < 0.1	Dn, < 0.01	Up, < 0.1
1635			Dn, < 0.1
1639			Dn, < 0.01
1647	Dn, < 0.1	Dn, < 0.1	
1654			Dn, < 0.1
1655		Dn, < 0.1	
1656	Up, < 0.1	Up, < 0.1	
1658			Dn, < 0.1
1659	Dn, < 0.1		
1669			Dn, < 0.1
1675			Dn, < 0.1
1686			Up, < 0.1
1689			Up, < 0.01
1701	Dn, < 0.1	Dn, < 0.1	
1702		Dn, < 0.1	
1704			Dn, < 0.1
1705		Dn, < 0.1	
1707		Dn, < 0.1	
1717			Up, < 0.1
1719	Dn, < 0.1		
1726	Dn, < 0.1	Dn, < 0.01	Up, < 0.1
1734			Dn, < 0.1
1736	Dn, < 0.1	Dn, < 0.01	Up, < 0.1
1742		Dn, < 0.1	
1748	Dn, < 0.1		
1750			Dn, < 0.1
1753		Dn, < 0.01	Up, < 0.1
1764	Dn, < 0.1	Dn, < 0.1	
1767			Dn, < 0.1
1775			Dn, < 0.1
1791	Dn, < 0.1	Dn, < 0.01	
1794			Dn, < 0.1
1795			Up, < 0.1
1797			Up, < 0.1
1798			Dn, < 0.1
1801	Dn, < 0.1		
1806	Dn, < 0.1		
1811			Dn, < 0.1
1825		Dn, < 0.1	Up, < 0.1
1829			Dn, < 0.1
1830	Up, < 0.1		
1833		Up, < 0.1	
1834			Dn, < 0.1
1840		Dn, < 0.1	Up, < 0.1
1841			Dn, < 0.1
1847	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1851	Dn, < 0.1	Dn, < 0.01	
1868			Dn, < 0.1
1870	Up, < 0.1		
1872		Dn, < 0.1	Up, < 0.1
1876		Dn, < 0.1	
1878			Up, < 0.01
1879			Dn, < 0.1
1882	Dn, < 0.1	Dn, < 0.01	
1883		Dn, < 0.1	
1887			Dn, < 0.1
1892			Dn, < 0.1
1893			Up, < 0.1
1895			Dn, < 0.1
1902			Dn, < 0.1
1911	Up, < 0.1	Up, < 0.1	
1914	Dn, < 0.1	Dn, < 0.1	
1915	Dn, < 0.1		
1920			Dn, < 0.01
1921	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1922			Dn, < 0.1
1925	Up, < 0.1		Dn, < 0.1
1932	Dn, < 0.1	Dn, < 0.1	
1933			Dn, < 0.1
1935		Dn, < 0.1	
1936			Up, < 0.1
1943	Dn, < 0.1		
1945			Dn, < 0.1
1952	Dn, < 0.1	Dn, < 0.1	
1958		Dn, < 0.1	
1960			Dn, < 0.1
1963			Dn, < 0.1
1968			Dn, < 0.1
1969	Dn, < 0.1		Up, < 0.1
1970		Up, < 0.1	
1971	Dn, < 0.01	Dn, < 0.001	Up, < 0.1
1973	Dn, < 0.1	Dn, < 0.01	
1976		Dn, < 0.1	
1977	Dn, < 0.1	Dn, < 0.1	
1978			Up, < 0.1
1979	Dn, < 0.1	Dn, < 0.1	
1980			Dn, < 0.1
1984	Dn, < 0.1	Dn, < 0.01	
1986			Dn, < 0.1
1990			Dn, < 0.1
1992			Dn, < 0.1
1997			Dn, < 0.01
1998	Dn, < 0.1		
2001			Up, < 0.1
2002	Dn, < 0.1	Dn, < 0.1	
2006	Up, < 0.1		
2010		Dn, < 0.1	Up, < 0.1
2013			Up, < 0.01
2016			Dn, < 0.1
2017	Dn, < 0.001	Dn, < 0.01	Up, < 0.1
2030		Dn, < 0.1	
2031		Dn, < 0.1	
2032		Dn, < 0.01	
2033	Dn, < 0.1		
2045	Dn, < 0.1	Dn, < 0.01	
2047			Up, < 0.1
2050		Dn, < 0.1	
2060			Dn, < 0.1
2067			Up, < 0.1
2070			Dn, < 0.1
2073			Dn, < 0.1
2075			Up, < 0.1
2076			Up, < 0.1
2078			Dn, < 0.1
2084			Dn, < 0.1
2096		Dn, < 0.1	
2099			Dn, < 0.1
2101			Dn, < 0.1
2102	Dn, < 0.1		
2103			Up, < 0.1
2104	Dn, < 0.1	Dn, < 0.1	
2113		Dn, < 0.1	
2114			Up, < 0.1
2119			Up, < 0.1
2125	Dn, < 0.1	Dn, < 0.1	
2127			Dn, < 0.1
2145			Up, < 0.1
2155			Up, < 0.01
2158			Dn, < 0.1
2159			Up, < 0.1
2161	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
2167		Dn, < 0.1	
2169		Up, < 0.1	
2173			Up, < 0.1
2175	Up, < 0.1	Up, < 0.1	
2180	Dn, < 0.1	Dn, < 0.1	
2181		Up, < 0.1	
2185	Dn, < 0.01		
2188			Dn, < 0.1
2191	Dn, < 0.1	Dn, < 0.1	
2195	Up, < 0.1		
2200	Dn, < 0.1	Dn, < 0.1	
2201			Dn, < 0.1
2202		Dn, < 0.1	Up, < 0.1
2204			Dn, < 0.1
2208			Dn, < 0.1
2210	Up, < 0.1	Up, < 0.1	
2211	Up, < 0.1	Up, < 0.1	
2212		Dn, < 0.1	
2214	Dn, < 0.1	Dn, < 0.1	
2217			Up, < 0.1
2220		Dn, < 0.1	
2222	Up, < 0.001	Up, < 0.001	
2230	Dn, < 0.1	Dn, < 0.1	
2232			Up, < 0.01
2242			Dn, < 0.1
2251		Dn, < 0.1	
2252			Up, < 0.1
2253			Up, < 0.1
2255	Dn, < 0.1		
2258	Up, < 0.1	Up, < 0.1	
2264		Dn, < 0.1	
2266	Dn, < 0.1		
2269	Dn, < 0.1		Up, < 0.1
2276	Dn, < 0.1	Dn, < 0.1	
2277	Dn, < 0.1		
2278	Dn, < 0.1		
2280		Dn, < 0.1	Dn, < 0.1
2291	Dn, < 0.1		Dn, < 0.1
2294	Dn, < 0.01	Dn, < 0.1	
2296		Dn, < 0.1	Up, < 0.1
2297	Dn, < 0.1	Dn, < 0.01	
2298			Up, < 0.1
2301			Up, < 0.1
2302			Up, < 0.1
2303			Up, < 0.1
2304	Dn, < 0.01	Dn, < 0.01	
2305			Up, < 0.1
2315		Up, < 0.1	
2316		Up, < 0.1	
2322	Up, < 0.1	Up, < 0.1	
2324		Up, < 0.1	
2330		Up, < 0.1	
2331		Up, < 0.1	
2333		Up, < 0.1	
2338	Up, < 0.1	Up, < 0.1	
2340			Dn, < 0.1
2342		Up, < 0.1	
2344		Up, < 0.1	
2347	Dn, < 0.1	Dn, < 0.1	
2348		Up, < 0.1	Up, < 0.1
2350	Dn, < 0.1	Dn, < 0.1	
2351		Up, < 0.1	
2352		Dn, < 0.1	
2353			Dn, < 0.1
2358		Up, < 0.1	
2360			Dn, < 0.1
2362	Up, < 0.1		
2368			Up, < 0.1
2376			Dn, < 0.1
2380		Up, < 0.1	
2384			Dn, < 0.1
2388		Up, < 0.1	
2389	Dn, < 0.1	Dn, < 0.1	
2390	Dn, < 0.1		Up, < 0.1
2392		Dn, < 0.1	
2393		Dn, < 0.1	Up, < 0.1
2397		Up, < 0.1	
2404			Dn, < 0.1
2405			Dn, < 0.1
2408			Up, < 0.01
2410		Up, < 0.1	
2419			Dn, < 0.1
2426			Dn, < 0.1
2427		Dn, < 0.1	
2428	Up, < 0.1		Dn, < 0.1
2429			Dn, < 0.1
2434	Up, < 0.1	Up, < 0.001	
2454			Dn, < 0.1
2456			Dn, < 0.1
2464			Dn, < 0.1
2465			Dn, < 0.1
2470			Dn, < 0.1
2472			Dn, < 0.1
2473			Dn, < 0.1
2475	Up, < 0.1		
2487			Up, < 0.1
2489	Dn, < 0.1		
2501			Dn, < 0.1
2508			Dn, < 0.01
2515	Up, < 0.1		
2519			Up, < 0.1
2527	Up, < 0.1		
2528		Dn, < 0.1	
2533	Dn, < 0.1	Dn, < 0.1	
2537	Dn, < 0.1		
2549			Dn, < 0.1
2550			Up, < 0.01
2556		Dn, < 0.01	
2561			Dn, < 0.1
2563			Up, < 0.1
2573	Dn, < 0.1	Dn, < 0.1	
2577			Up, < 0.1
2582			Dn, < 0.1
2586		Up, < 0.1	
2588			Dn, < 0.1
2589	Up, < 0.1	Up, < 0.1	
2597			Up, < 0.1
2602			Up, < 0.1
2606	Up, < 0.1		Dn, < 0.1
2611		Up, < 0.1	
2615		Up, < 0.1	
2619		Up, < 0.1	
2620	Dn, < 0.1	Dn, < 0.1	
2624	Dn, < 0.001	Dn, < 0.001	Up, < 0.001
2626	Dn, < 0.1		
2638	Dn, < 0.01	Dn, < 0.01	
2640	Dn, < 0.1	Dn, < 0.1	
2644		Up, < 0.1	
2648	Up, < 0.1	Up, < 0.1	
2652	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
2655			Up, < 0.1
2657			Up, < 0.1
2659			Up, < 0.1
2670			Up, < 0.1
2672		Dn, < 0.1	Up, < 0.1
2680		Up, < 0.1	
2683		Dn, < 0.1	
2684			Up, < 0.1
2688			Dn, < 0.1
2689			Up, < 0.1
2693	Up, < 0.1	Up, < 0.1	
2695			Dn, < 0.1
2698	Dn, < 0.1	Dn, < 0.1	
2701		Up, < 0.01	
2704		Up, < 0.1	
2706		Up, < 0.1	
2707			Dn, < 0.01
2713	Up, < 0.1	Up, < 0.01	Dn, < 0.01
2719	Dn, < 0.1		
2729		Up, < 0.1	Up, < 0.1
2734	Dn, < 0.1	Dn, < 0.01	
2738		Up, < 0.1	Up, < 0.1
2742	Up, < 0.1	Up, < 0.1	
2752		Dn, < 0.1	
2757	Dn, < 0.1	Dn, < 0.01	
2758	Dn, < 0.1		
2760			Dn, < 0.01
2767			Up, < 0.01
2769	Dn, < 0.1	Dn, < 0.1	
2776		Up, < 0.1	
2783			Dn, < 0.01
2784	Up, < 0.001	Up, < 0.001	Dn, < 0.1
2786		Up, < 0.1	
2787			Up, < 0.1
2788		Up, < 0.1	
2791			Dn, < 0.1
2792		Up, < 0.1	
2793			Up, < 0.1
2797		Up, < 0.1	
2798			Up, < 0.1
2803			Dn, < 0.1
2806	Dn, < 0.1		
2813		Up, < 0.1	
2822			Dn, < 0.1
2823	Up, < 0.1	Up, < 0.1	
2824		Up, < 0.1	
2825		Up, < 0.01	
2835		Up, < 0.1	
2837	Dn, < 0.01	Dn, < 0.1	Up, < 0.1
2839	Dn, < 0.01	Dn, < 0.01	Up, < 0.01
2841	Up, < 0.1		Dn, < 0.01
2842			Dn, < 0.1
2843	Dn, < 0.01	Dn, < 0.1	
2845		Up, < 0.1	
2848	Dn, < 0.1		
2851		Up, < 0.1	
2854	Up, < 0.1	Up, < 0.1	
2855			Dn, < 0.01
2862	Dn, < 0.01	Dn, < 0.01	Up, < 0.1
2871			Up, < 0.1
2875		Dn, < 0.1	
2877	Up, < 0.1	Up, < 0.1	
2879			Dn, < 0.1
2885	Dn, < 0.1	Dn, < 0.1	
2888			Up, < 0.1
2892	Dn, < 0.1		
2894		Dn, < 0.1	
2895	Up, < 0.1	Up, < 0.1	
2902	Up, < 0.1	Up, < 0.1	
2905			Up, < 0.1
2906	Dn, < 0.1	Dn, < 0.1	
2915	Up, < 0.1	Up, < 0.01	
2920	Up, < 0.1	Up, < 0.01	
2921	Dn, < 0.01	Dn, < 0.01	
2927	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
2929	Dn, < 0.1		
2944	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
2946			Up, < 0.1
2947		Dn, < 0.1	
2949	Dn, < 0.1	Dn, < 0.1	
2956			Up, < 0.1
2983		Up, < 0.1	
2987	Dn, < 0.1		Up, < 0.1
2995			Up, < 0.1
3003	Up, < 0.1		
3005	Dn, < 0.01	Dn, < 0.1	
3017			Dn, < 0.1
3024			Dn, < 0.1
3028	Dn, < 0.1	Dn, < 0.1	
3029	Up, < 0.1	Up, < 0.1	Dn, < 0.1
3031		Up, < 0.1	
3032	Up, < 0.1	Up, < 0.1	
3039			Dn, < 0.1
3049	Dn, < 0.1	Dn, < 0.1	
3053			Dn, < 0.1
3058			Dn, < 0.1
3059		Dn, < 0.1	
3060	Up, < 0.01	Up, < 0.01	
3061			Dn, < 0.1
3065		Up, < 0.1	
3068	Up, < 0.1	Up, < 0.01	
3081		Dn, < 0.1	
3082			Up, < 0.1
3087	Dn, < 0.1	Dn, < 0.1	
3090		Up, < 0.1	
3092		Up, < 0.1	Up, < 0.1
3094	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3095			Dn, < 0.1
3099	Up, < 0.1		Dn, < 0.1
3104			Dn, < 0.1
3105	Dn, < 0.1	Dn, < 0.1	
3107		Dn, < 0.1	
3110	Up, < 0.1	Up, < 0.1	
3114	Up, < 0.01	Up, < 0.001	
3115	Up, < 0.1	Up, < 0.01	
3116	Dn, < 0.01	Dn, < 0.01	Up, < 0.01
3120	Dn, < 0.1		
3121	Dn, < 0.1	Dn, < 0.1	
3124	Up, < 0.1	Up, < 0.1	
3127	Up, < 0.1	Up, < 0.1	
3130	Up, < 0.1	Up, < 0.1	
3131			Up, < 0.1
3133	Dn, < 0.1		
3136	Dn, < 0.1		
3138			Dn, < 0.1
3144		Dn, < 0.1	
3146	Dn, < 0.1	Dn, < 0.1	
3147	Up, < 0.01	Up, < 0.01	
3153			Up, < 0.1
3159	Dn, < 0.1		
3160	Dn, < 0.1	Dn, < 0.1	
3164			Dn, < 0.1
3165	Dn, < 0.01	Dn, < 0.01	
3168		Up, < 0.1	
3169			Up, < 0.1
3170		Dn, < 0.1	
3174	Up, < 0.1	Up, < 0.01	
3175			Dn, < 0.001
3177	Dn, < 0.1	Dn, < 0.1	
3178		Up, < 0.1	
3179	Up, < 0.1		Dn, < 0.1
3182	Up, < 0.1	Up, < 0.01	
3186			Up, < 0.1
3189			Up, < 0.1
3190	Dn, < 0.01	Dn, < 0.01	
3193	Dn, < 0.1		Up, < 0.01
3195	Up, < 0.1	Up, < 0.01	
3196			Dn, < 0.1
3198	Up, < 0.1	Up, < 0.1	
3199		Up, < 0.1	
3200		Up, < 0.01	
3204		Up, < 0.1	
3206	Up, < 0.01	Up, < 0.001	
3215	Up, < 0.1	Up, < 0.1	Up, < 0.1
3219	Dn, < 0.1		Up, < 0.1
3227	Up, < 0.01	Up, < 0.001	
3228	Up, < 0.1	Up, < 0.1	
