Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
2512	< 0.1		
2517	< 0.01	< 0.01	
2520	< 0.01	< 0.01	
2524			< 0.1
2527	< 0.1	< 0.01	
2528		< 0.1	
2533	< 0.01	< 0.1	
2534		< 0.1	
2535	< 0.01	< 0.01	
2539		< 0.1	
2541	< 0.01	< 0.01	
2545	< 0.1	< 0.1	
2548			< 0.1
2558	< 0.1	< 0.1	
2559			< 0.1
2562	< 0.1	< 0.1	
2563			< 0.01
2568	< 0.1	< 0.1	
2572			< 0.1
2573			< 0.1
2574			< 0.1
2579			< 0.1
2580		< 0.01	
2582			< 0.01
2583		< 0.1	
2589			< 0.1
2591	< 0.1		< 0.01
2598	< 0.01	< 0.1	
2600	< 0.1	< 0.1	
2601			< 0.1
2603	< 0.01	< 0.01	
2609			< 0.1
2611			< 0.1
2615			< 0.1
2616	< 0.1	< 0.1	
2619	< 0.1	< 0.1	
2621	< 0.1	< 0.1	< 0.01
2626	< 0.1	< 0.1	< 0.1
2627		< 0.1	< 0.01
2639			< 0.1
2641			< 0.1
2642	< 0.1	< 0.01	
2646			< 0.1
2650			< 0.1
2652	< 0.1	< 0.1	
2653			< 0.1
2658	< 0.01	< 0.1	< 0.1
2659			< 0.1
2660			< 0.1
2664		< 0.1	
2665			< 0.1
2667	< 0.1	< 0.1	
2673			< 0.1
2674			< 0.1
2678			< 0.1
2687	< 0.1	< 0.1	
2690	< 0.1		< 0.1
2691	< 0.1		< 0.001
2696		< 0.1	< 0.1
2697	< 0.01	< 0.1	
2698	< 0.1	< 0.1	< 0.01
2699	< 0.1	< 0.01	
2700	< 0.01	< 0.1	
2702			< 0.1
2703			< 0.1
2705	< 0.1		
2706			< 0.1
2711	< 0.1	< 0.1	
2714	< 0.1	< 0.1	< 0.1
2715		< 0.1	< 0.1
2716	< 0.1		< 0.1
2726		< 0.1	
2729			< 0.1
2734			< 0.1
2735			< 0.1
2743			< 0.1
2744			< 0.1
2748	< 0.1	< 0.1	
2753	< 0.1	< 0.1	< 0.1
2754		< 0.1	< 0.1
2755			< 0.1
2760	< 0.1		
2761	< 0.1		
2763			< 0.1
2764			< 0.1
2768			< 0.1
2772			< 0.1
2777			< 0.01
2778	< 0.1	< 0.1	
2785	< 0.01	< 0.01	< 0.1
2786	< 0.1	< 0.1	< 0.01
2789	< 0.1		
2790	< 0.01	< 0.01	< 0.1
2791			< 0.1
2793	< 0.1	< 0.1	< 0.01
2796			< 0.1
2798			< 0.01
2802			< 0.1
2810		< 0.1	
2818			< 0.1
2821			< 0.1
2824	< 0.01	< 0.01	
2826	< 0.1	< 0.1	
2836			< 0.1
2837	< 0.01	< 0.1	
2841			< 0.1
2845	< 0.1	< 0.1	
2846	< 0.1		< 0.1
2847			< 0.1
2850			< 0.1
2853	< 0.1	< 0.1	< 0.1
2855	< 0.1	< 0.1	
2863	< 0.1	< 0.1	< 0.1
2867			< 0.1
2868			< 0.1
2871			< 0.1
2873			< 0.1
2875	< 0.1		< 0.1
2876			< 0.01
2880			< 0.1
2882	< 0.1		< 0.001
2884	< 0.1	< 0.1	
2890		< 0.1	
2892	< 0.1		
2896		< 0.1	< 0.1
2897			< 0.1
2900	< 0.1		
2903			< 0.1
2910			< 0.1
2912			< 0.1
2913			< 0.1
2914	< 0.001	< 0.001	< 0.1
2915			< 0.1
2920			< 0.1
2927	< 0.1	< 0.1	
2931			< 0.1
2935	< 0.1	< 0.1	
2944			< 0.1
2950	< 0.01	< 0.1	
2953			< 0.1
2955		< 0.1	
2963			< 0.1
2966	< 0.1		
2968	< 0.1	< 0.1	
2969			< 0.1
2973	< 0.1	< 0.1	
2974			< 0.01
2976	< 0.1	< 0.1	< 0.01
2978			< 0.1
2984			< 0.1
2985		< 0.1	
2986			< 0.1
2987			< 0.1
2988			< 0.1
2989			< 0.1
2991			< 0.1
2992			< 0.1
2994	< 0.1	< 0.01	
3004			< 0.1
3010			< 0.1
3014		< 0.1	< 0.01
3016		< 0.1	< 0.1
3018	< 0.1	< 0.01	
3028			< 0.1
3032	< 0.01	< 0.1	
3034		< 0.1	< 0.1
3037			< 0.1
3040		< 0.1	
3043		< 0.1	< 0.01
3046		< 0.1	< 0.1
3049			< 0.1
3051	< 0.1		
3052			< 0.1
3061	< 0.01	< 0.1	
3063	< 0.1	< 0.1	
3066			< 0.01
3069	< 0.01	< 0.01	
3071			< 0.1
3073			< 0.1
3074	< 0.1	< 0.1	< 0.1
3076	< 0.1		
3085			< 0.01
3089			< 0.001
3102			< 0.1
3104			< 0.1
3105			< 0.01
3106			< 0.1
3108	< 0.1	< 0.1	
3112			< 0.1
3116	< 0.1	< 0.1	
3117		< 0.1	
3119			< 0.1
3120		< 0.1	
3127			< 0.1
3128			< 0.1
3129			< 0.1
3132		< 0.1	
3134	< 0.1	< 0.1	
3135	< 0.1	< 0.1	< 0.1
3143		< 0.1	
3149			< 0.1
3151			< 0.1
3152			< 0.1
3155	< 0.1	< 0.1	
3159		< 0.1	
3162	< 0.1	< 0.1	
3163	< 0.01	< 0.1	
3164	< 0.1		
3167			< 0.1
3170		< 0.1	< 0.1
3171			< 0.1
3173	< 0.01	< 0.01	
3174			< 0.01
3179		< 0.1	< 0.1
3186			< 0.01
3190	< 0.1	< 0.01	
3193	< 0.1	< 0.1	
3195	< 0.1	< 0.1	
3202			< 0.1
3203		< 0.1	< 0.1
3205	< 0.01	< 0.01	
3208	< 0.1	< 0.1	
3209	< 0.1		
3211			< 0.1
3214	< 0.1	< 0.1	
3217		< 0.1	
3221			< 0.1
3223	< 0.1	< 0.1	
3224		< 0.1	< 0.1
3227			< 0.01
3235			< 0.1
3237	< 0.1	< 0.1	< 0.1
3238			< 0.1
3240	< 0.1	< 0.01	
3241			< 0.1
3245			< 0.1
3246	< 0.1	< 0.1	
3248		< 0.1	< 0.01
3249	< 0.1	< 0.1	
3254	< 0.1		
3261	< 0.1	< 0.1	< 0.1
3269			< 0.1
3271		< 0.1	
3272			< 0.1
3273			< 0.01
3278			< 0.1
3283	< 0.1		< 0.01
3290			< 0.1
3294			< 0.1
3309	< 0.1		< 0.1
3314	< 0.1		
3315	< 0.1	< 0.1	
3323	< 0.1	< 0.1	
3326	< 0.1	< 0.1	
3334		< 0.1	
3346	< 0.1	< 0.1	
3347		< 0.1	
3359			< 0.01
3362		< 0.1	
3365	< 0.1	< 0.1	
3367	< 0.1	< 0.1	
3384	< 0.1		
3386			< 0.1
3389		< 0.1	
3396	< 0.1	< 0.001	
3399	< 0.1	< 0.1	
3411		< 0.1	
3414	< 0.01	< 0.01	
3416	< 0.1	< 0.1	
3418			< 0.1
3421			< 0.1
3427		< 0.1	< 0.1
3432			< 0.01
3437		< 0.1	
3441	< 0.1	< 0.01	
3444	< 0.1	< 0.1	
3450			< 0.1
3451	< 0.1	< 0.1	
3457			< 0.1
3465			< 0.1
3466			< 0.1
3482			< 0.1
3483			< 0.1
3492	< 0.1	< 0.1	< 0.1
3493			< 0.01
3494			< 0.1
3498		< 0.01	
3501			< 0.1
3506			< 0.1
3507		< 0.1	
3510			< 0.1
3513			< 0.01
3514			< 0.1
3523		< 0.1	< 0.1
3530		< 0.1	< 0.1
3549	< 0.1	< 0.1	
3553		< 0.1	
3558			< 0.1
3561	< 0.1		
3566			< 0.1
3567			< 0.1
3568			< 0.1
3569		< 0.1	
3577		< 0.1	
3591	< 0.1	< 0.1	< 0.1
3597		< 0.1	
3599	< 0.1		
3603		< 0.1	
3613			< 0.1
3625			< 0.1
3632	< 0.001	< 0.01	
3633			< 0.1
3634			< 0.1
3640	< 0.1	< 0.01	
3641		< 0.1	< 0.1
3644			< 0.01
3647			< 0.1
3656			< 0.01
3658			< 0.1
3660	< 0.1	< 0.1	< 0.1
3663	< 0.1	< 0.1	
3666	< 0.1	< 0.1	
3669	< 0.1		
3676			< 0.1
3679		< 0.1	< 0.1
3685			< 0.01
3689			< 0.1
3696		< 0.1	
3698	< 0.1		
3699	< 0.1	< 0.1	
3711	< 0.1		
3713			< 0.1
3717	< 0.1		< 0.1
3720		< 0.1	
3724	< 0.1		
3725			< 0.1
3726		< 0.1	
3731		< 0.1	
3732		< 0.1	
3740		< 0.1	
3741		< 0.1	< 0.1
3745			< 0.1
3746	< 0.1	< 0.01	< 0.01
3759	< 0.1	< 0.1	
3762			< 0.1
3777	< 0.1		
3780			< 0.1
3784			< 0.1
3788	< 0.1	< 0.1	
3806		< 0.1	< 0.1
3810			< 0.1
3825		< 0.1	< 0.1
3830		< 0.1	
3833	< 0.1	< 0.1	
3835	< 0.1		< 0.1
3841			< 0.01
3843	< 0.1	< 0.1	< 0.01
3844	< 0.1		< 0.1
3849	< 0.01		
3850			< 0.1
3854			< 0.1
3855		< 0.1	< 0.1
3857	< 0.1		
3860			< 0.1
3863			< 0.1
3872	< 0.01	< 0.1	< 0.1
3873		< 0.1	
3875	< 0.1		
3878			< 0.01
3882			< 0.1
3891			< 0.1
3899			< 0.1
3915			< 0.1
3925			< 0.1
3933	< 0.1	< 0.1	
3939	< 0.1	< 0.1	
3940			< 0.1
3941	< 0.1	< 0.1	
3944	< 0.1		
3948	< 0.1		
3957	< 0.1		
3961		< 0.1	< 0.1
3965	< 0.1	< 0.1	< 0.1
3966	< 0.1	< 0.1	
3970	< 0.01		
3976			< 0.1
3979		< 0.1	< 0.1
3983	< 0.01	< 0.1	
3990	< 0.1		< 0.01
3992			< 0.1
3994	< 0.1	< 0.1	
3995			< 0.1
4000	< 0.1		
4001			< 0.1
4003			< 0.1
4007	< 0.1		
4028			< 0.1
4029			< 0.1
4030	< 0.1		
4031			< 0.1
4036	< 0.1	< 0.1	
4039	< 0.01	< 0.1	
4048	< 0.1	< 0.01	
4050	< 0.1	< 0.1	
4053			< 0.1
4057			< 0.1
4059			< 0.1
4062	< 0.01		< 0.1
4065		< 0.1	
4067	< 0.1	< 0.1	
4073			< 0.01
4082			< 0.1
4085	< 0.1		
4102	< 0.1		
4108	< 0.01	< 0.1	
4119	< 0.1		
