Eigvals	3
27.156727192277668	22.363768134824728	12.390016392162508

Proportion explained	3
0.5301325865930588	0.3595171425597708	0.11035027084717038

Species	12	3
X940324	-0.025308558040421356	0.005997208982259794	0.0040362474108849525
X940325	0.043595662191363634	0.004617642771582752	0.020046496008159484
X940329	-0.05141648688351993	-0.014375421110721171	-0.026984274624579953
X940332	-0.01765322440469916	-0.023498544489942905	-0.0032120648420449383
X940335	-0.030328801042629923	0.014983310218986315	-0.028198458408034414
X940338	-0.020402172812135442	-0.03671261282997184	-0.022888746085373186
X940339	0.03406164478053131	-0.005675199384755163	0.03128947739047125
X940347	0.015087225148593765	0.010286912870122277	-0.006834313156535346
X940349	-0.0014612695748255709	0.011617531562334693	-0.01438181858787223
X940351	-0.004059426112849407	-0.007284046608346062	-0.014878517619036401
X940353	0.04120973402571442	0.024746317347199693	0.01958011153181879
X940354	0.007952831089960507	0.007333136793703547	0.0006492746074631973
X940355	-0.05826681203071245	-0.04735957145213392	-0.01760972408465385
X940364	-0.02140351571792096	-0.023662207830635485	0.0041000100512709504
X940368	0.025009026416164065	-0.016871897202996086	0.00897880611649246
X940374	0.03856585471193635	-0.025471227074001224	-0.008668222695051266
X940375	-0.006274009228469756	0.005558428026179633	-0.015258039279372535
X940379	-0.00702535654815847	0.00890170585778867	-0.0050866070088515175
X940383	-0.012718735232376677	-0.01463443665739583	-0.008171911602170828
X940391	-0.015150531001062182	0.019411584622015473	-0.02340325876708963
X940404	0.03321498803015741	0.025435180759191843	-0.0009418291589930042
X940411	0.002002632527722717	0.020172899961608204	0.0283568295335752
X940413	0.05695940344534338	0.002813999380144472	-0.03971596731659818
X940420	-0.0014182054782066625	-0.013831589951067983	-0.0017834247347461875
X940443	-0.035884115349822256	-0.054658094598274726	-0.0028768900733754845
X940444	-0.02071030221224254	0.017912977753472843	-0.022464125937297588
X940445	0.01510869279178942	0.02571941496218454	-0.007367716684238227
X940450	-0.020974331980124244	-0.0036879686592072663	-0.01870284194554613
X940451	-0.1434148614275445	0.028164136035180868	0.12397705453528539
X940456	-0.00791177439574934	0.005318891569494934	-0.0018347653814873152
X940465	-0.0025307522819938157	0.009086469481221703	0.021517158784915783
X940466	-0.009728022028670333	0.007693258265244119	-0.021993804789112812
X940474	-0.001747292407698863	0.017922478197523115	0.013003302755998696
X940481	0.03510386781067175	0.018230161791912995	-0.012647284285116418
X940483	-0.009729950057059362	-0.0022271723654966346	-0.002597372569364251
X940484	0.034892657933388097	-0.01817838169217313	0.016556559621135666
X940487	0.00141328303794729	0.04116329264721521	-0.004899601425258106
X940488	-0.046234683170725294	0.020869409394954304	-0.04862981620533761
X940497	-0.00399841781841377	-0.02653925625784874	-0.012516630198164175
X940498	0.01868519164443371	0.041096910892935795	-0.014970791159179568
X940501	0.0008472863287532314	-0.05758834464912871	-0.009506862593134118
